qseqid,Orthogroup
10968,OG0013424
10971,OG0008804
109712,OG0001923
109737,OG0001035
10974,OG0083940
10983,OG0009975
10989,OG0043249
10992,OG0026577
109922,OG0000562
109929,OG0000012
10993,OG0008339
109932,OG0000012
10994,OG0143831
10996,OG0043250
110008,OG0001147
110053,OG0002827
110060,OG0009134
11007,OG0083941
11009,OG0000860
11010,OG0027734
11016,OG0019282
110188,OG0001618
11021,OG0482118
11022,OG0032682
110271,OG0002580
1103,OG0005899
11032,OG0116965
110351,OG0000012
11037,OG0027740
11038,OG0097853
11039,OG0043252
110413,OG0005348
11046,OG0064495
11049,OG0008339
11050,OG0032620
110537,OG0000262
11054,OG0097855
110557,OG0184007
110565,OG0184007
11058,OG0002503
11061,OG0015597
110667,OG0000018
110685,OG0001904
11070,OG0083917
11072,OG0250967
110725,OG0000201
11073,OG0482127
110754,OG0001164
110794,OG0482044
110844,OG0001525
11085,OG0026576
110943,OG0000037
110947,OG0001672
110967,OG0083930
11097,OG0083713
11099,OG0040018
110998,OG0000042
111043,OG0037088
11108,OG0040019
111100,OG0001548
111141,OG0482097
111153,OG0006849
11117,OG0143836
111183,OG0000074
11120,OG0037195
11124,OG0008203
111272,OG0004257
111285,OG0003184
1113,OG0183842
11130,OG0116969
11132,OG0008852
111355,OG0010837
111361,OG0000122
11137,OG0184018
111378,OG0008551
111385,OG0000166
11139,OG0250968
1114,OG0002962
11146,OG0037138
111468,OG0007717
11148,OG0116970
111508,OG0000210
11151,OG0011318
11152,OG0116970
11154,OG0116803
11155,OG0025427
1116,OG0000313
111675,OG0001446
11170,OG0028593
111701,OG0000369
11180,OG0073215
111834,OG0000155
111852,OG0000302
111860,OG0002680
11188,OG0012407
11197,OG0018640
11198,OG0018640
11199,OG0018640
112014,OG0000181
11202,OG0097600
112022,OG0001981
112040,OG0010518
11207,OG0250969
11210,OG0116972
112116,OG0000356
11223,OG0037197
112250,OG0482266
11227,OG0250970
112282,OG0002150
11229,OG0482143
11231,OG0482144
112332,OG0000220
112384,OG0000042
11247,OG0015723
11252,OG0073219
11254,OG0073220
112544,OG0000494
112560,OG0003286
11258,OG0031892
112586,OG0004071
11259,OG0032641
11260,OG0037198
11262,OG0032645
11268,OG0002968
112684,OG0002373
11269,OG0034802
11274,OG0029129
112744,OG0057466
112750,OG0000437
11277,OG0184020
112786,OG0001045
11281,OG0012624
11288,OG0027654
1129,OG0015357
11290,OG0143950
11292,OG0083947
11294,OG0482152
113118,OG0000598
113120,OG0003552
113136,OG0000569
113138,OG0000356
11314,OG0015597
11317,OG0097856
113233,OG0007091
113243,OG0000289
113265,OG0000675
11327,OG0037199
11333,OG0097857
113341,OG0001370
1134,OG0019255
113486,OG0480662
11350,OG0083948
113506,OG0000138
113507,OG0000379
113518,OG0143744
113568,OG0480673
113578,OG0000040
11358,OG0143952
113588,OG0116686
11359,OG0482169
11360,OG0482170
113612,OG0012072
113617,OG0022640
113626,OG0480687
113627,OG0003916
113635,OG0000014
11364,OG0009158
113657,OG0008972
113696,OG0000075
113697,OG0480702
1137,OG0005853
113710,OG0003253
113716,OG0001197
113717,OG0001197
113719,OG0057303
113726,OG0002090
11376,OG0482175
113768,OG0000238
11377,OG0482176
11378,OG0083950
113794,OG0000001
113798,OG0480716
113801,OG0002902
11382,OG0001493
113823,OG0000235
11385,OG0097859
113861,OG0029187
11390,OG0000029
11391,OG0037062
113918,OG0037139
113945,OG0000092
113948,OG0001377
113953,OG0000256
113956,OG0051531
113958,OG0002753
113959,OG0000418
113969,OG0000032
113981,OG0000083
113989,OG0004161
113991,OG0015360
113999,OG0000001
1140,OG0480775
11401,OG0047052
114032,OG0000083
114034,OG0001417
114038,OG0003251
114049,OG0480765
11405,OG0097860
11406,OG0032597
11407,OG0482177
114075,OG0000058
114078,OG0001184
114081,OG0017501
114101,OG0015357
114103,OG0000504
114107,OG0480773
114109,OG0003515
114115,OG0480777
11413,OG0064503
114145,OG0005122
11415,OG0019906
114151,OG0480792
11416,OG0064504
114169,OG0480799
114170,OG0007535
114175,OG0097549
114182,OG0000675
114188,OG0002150
1142,OG0097199
114210,OG0183846
114247,OG0480817
114259,OG0480818
114261,OG0004100
114264,OG0143773
114265,OG0480821
114267,OG0000002
114269,OG0480823
114276,OG0097554
114284,OG0480833
114286,OG0064345
114291,OG0250728
114309,OG0000256
11432,OG0482185
114323,OG0014675
114333,OG0022282
114335,OG0018017
114342,OG0002270
114347,OG0250733
114354,OG0000020
114357,OG0480844
11436,OG0026528
114364,OG0000103
114368,OG0480850
11437,OG0057456
114372,OG0005277
114373,OG0083699
114376,OG0064350
114386,OG0083700
11440,OG0250977
114409,OG0017031
114420,OG0083701
114429,OG0000029
114435,OG0000245
114439,OG0097563
11444,OG0116803
114447,OG0001656
114450,OG0000034
11446,OG0116970
114470,OG0480868
114473,OG0250739
114494,OG0083704
114497,OG0000209
11450,OG0482187
114504,OG0083705
114505,OG0480876
114508,OG0083706
114554,OG0000666
114559,OG0000392
11456,OG0143954
114561,OG0480888
114574,OG0001261
114578,OG0480894
114587,OG0000001
114588,OG0001876
114594,OG0480898
114596,OG0183863
11460,OG0482188
114622,OG0004517
11464,OG0025435
114644,OG0002838
114663,OG0034760
114671,OG0480924
114674,OG0480926
114676,OG0011965
114685,OG0057331
114689,OG0003732
114690,OG0001905
114694,OG0083716
1147,OG0250722
114705,OG0000001
114752,OG0250752
11476,OG0047100
114777,OG0480962
114780,OG0000075
114787,OG0001949
114793,OG0005632
11481,OG0026594
114811,OG0000145
114817,OG0018022
114818,OG0005424
114835,OG0004346
114839,OG0003821
114848,OG0000549
11485,OG0034803
11488,OG0037200
114881,OG0057150
114891,OG0000597
114895,OG0001093
114903,OG0000009
114910,OG0480992
114911,OG0480993
114917,OG0480995
11492,OG0097864
114923,OG0097598
114940,OG0116741
114949,OG0005866
114954,OG0004551
114962,OG0481009
11497,OG0011105
114974,OG0026562
114975,OG0481014
114977,OG0051668
1150,OG0097544
11500,OG0116975
115001,OG0002063
115010,OG0481022
115018,OG0008462
115020,OG0000447
115025,OG0001074
11504,OG0012112
115042,OG0000027
11505,OG0143870
115052,OG0000017
115065,OG0000282
115070,OG0003847
115085,OG0032653
115089,OG0005651
11509,OG0004875
115090,OG0000001
115094,OG0000144
115098,OG0009977
115103,OG0008329
115104,OG0000100
115109,OG0083741
115110,OG0481047
115123,OG0000028
115125,OG0481055
115127,OG0027787
115134,OG0047017
115161,OG0000577
115176,OG0481067
115185,OG0097619
1152,OG0001030
11520,OG0083954
115200,OG0001597
115206,OG0481078
115214,OG0006673
115215,OG0000063
115218,OG0073057
115220,OG0025428
115221,OG0057343
115224,OG0000765
115232,OG0001003
115261,OG0016578
115281,OG0481101
115297,OG0019639
1153,OG0045696
115321,OG0083752
115330,OG0481109
115345,OG0012630
115355,OG0097625
115356,OG0064380
115357,OG0001542
115358,OG0000307
115364,OG0003581
115370,OG0002390
115382,OG0000037
115416,OG0000106
115426,OG0000110
11543,OG0000002
115433,OG0000011
115437,OG0000010
115440,OG0481133
115465,OG0007898
115476,OG0481139
115477,OG0250788
115490,OG0481146
115495,OG0017635
11550,OG0057457
115509,OG0003227
115514,OG0001708
115518,OG0000376
11553,OG0482202
115554,OG0083761
115560,OG0007815
11558,OG0184022
115602,OG0481171
115604,OG0481172
115607,OG0006442
115614,OG0000356
115638,OG0002668
115645,OG0481178
115648,OG0481179
115649,OG0481180
11565,OG0007690
115655,OG0034770
115664,OG0018616
115677,OG0003682
115687,OG0003655
115689,OG0006867
115695,OG0001963
115709,OG0481189
115741,OG0481199
115748,OG0481203
115758,OG0000092
115775,OG0009508
115779,OG0097641
115789,OG0000245
115796,OG0005058
115801,OG0001100
11581,OG0011974
115815,OG0000010
115816,OG0002468
115839,OG0143818
115855,OG0001151
115856,OG0000499
115863,OG0003057
115866,OG0001909
115869,OG0004334
115873,OG0481230
115888,OG0022674
115892,OG0097652
115896,OG0014410
115906,OG0481243
115907,OG0481244
115919,OG0143827
115920,OG0073086
11593,OG0083957
115930,OG0039985
11595,OG0061672
115977,OG0001664
115981,OG0183922
115982,OG0073088
11599,OG0482208
115994,OG0008076
115998,OG0000190
11600,OG0250980
116011,OG0001728
11602,OG0482209
116029,OG0481275
116040,OG0010084
116051,OG0000133
116058,OG0000190
116061,OG0000014
116088,OG0001518
1161,OG0000424
116101,OG0000529
116102,OG0030798
116109,OG0097658
116123,OG0000001
116133,OG0000503
116136,OG0012293
116157,OG0083790
11617,OG0009234
116188,OG0000445
116195,OG0481315
1162,OG0064340
116209,OG0481317
116212,OG0029135
116213,OG0097666
116214,OG0000009
116222,OG0000190
116230,OG0000028
11624,OG0116979
116240,OG0000001
116246,OG0064403
116263,OG0007864
11627,OG0043253
116291,OG0481330
116345,OG0009832
116369,OG0000092
116372,OG0002040
116376,OG0000459
116402,OG0000572
116426,OG0000241
11643,OG0482215
116443,OG0000012
11645,OG0482218
116458,OG0009074
116478,OG0481370
116485,OG0001603
116490,OG0000113
1165,OG0000589
116502,OG0000001
11652,OG0040022
116520,OG0000075
116527,OG0097685
116535,OG0004023
11654,OG0040022
116547,OG0064412
116550,OG0183940
116557,OG0481396
116561,OG0481400
116562,OG0481401
116563,OG0481402
116567,OG0001128
116603,OG0481414
116605,OG0005650
116606,OG0481415
116627,OG0000009
116636,OG0007359
116642,OG0000002
116646,OG0481423
116687,OG0072825
116713,OG0000245
11674,OG0183960
116741,OG0250839
116742,OG0481449
116747,OG0000029
116748,OG0002907
11675,OG0482219
11676,OG0025382
116775,OG0000087
116783,OG0002179
116785,OG0000053
116788,OG0481457
116789,OG0034780
116796,OG0000592
116802,OG0001202
116803,OG0000634
116807,OG0001171
116812,OG0250844
116813,OG0002950
116830,OG0083820
11684,OG0250982
116877,OG0017020
116894,OG0006901
116899,OG0011025
116900,OG0001018
116903,OG0116837
116915,OG0001127
116918,OG0000640
116932,OG0005686
116936,OG0003648
116937,OG0481495
116939,OG0481496
11694,OG0250983
11696,OG0073230
116960,OG0000001
116963,OG0481509
116966,OG0000867
116972,OG0481511
116973,OG0000136
116979,OG0003944
116980,OG0051707
116987,OG0034715
11699,OG0001816
116992,OG0481513
116995,OG0097721
11703,OG0250984
117045,OG0057382
117061,OG0000092
117063,OG0001443
117074,OG0027795
117106,OG0064425
117116,OG0034782
117127,OG0030777
117142,OG0481539
11717,OG0083958
117182,OG0001939
11719,OG0002505
11720,OG0116981
117202,OG0032597
117225,OG0250873
117226,OG0481555
117227,OG0481556
117249,OG0002965
117251,OG0481558
117289,OG0015738
11729,OG0039897
117291,OG0001974
117297,OG0481571
117300,OG0481574
117305,OG0481577
117317,OG0097738
117319,OG0000153
117355,OG0007778
117377,OG0037123
117381,OG0007442
117388,OG0481591
11739,OG0040023
117391,OG0000004
117395,OG0005440
1174,OG0000244
117408,OG0015033
11741,OG0482232
117434,OG0005761
117439,OG0481602
117443,OG0000509
11745,OG0000021
117459,OG0481606
117470,OG0481611
117472,OG0083842
117473,OG0000008
117477,OG0481612
11748,OG0026576
117496,OG0481620
117500,OG0020802
117501,OG0000245
117504,OG0083846
117524,OG0026541
11753,OG0116982
117542,OG0481634
117553,OG0143882
117559,OG0037178
117567,OG0481639
11757,OG0000616
117578,OG0481641
11758,OG0097873
117588,OG0481648
11759,OG0482234
117613,OG0001188
117635,OG0481658
11764,OG0011764
117648,OG0000111
117650,OG0046993
117659,OG0007554
117661,OG0073146
117674,OG0073148
117679,OG0005829
117698,OG0007376
117699,OG0007376
117705,OG0023470
117706,OG0003378
117708,OG0007991
117711,OG0001335
117713,OG0481680
117714,OG0481681
117715,OG0000188
117731,OG0481683
117734,OG0481685
117791,OG0005075
117796,OG0116874
117812,OG0481695
117813,OG0481696
117814,OG0001893
117820,OG0481698
11783,OG0083925
117833,OG0015744
117856,OG0481705
117865,OG0073154
117871,OG0000023
117881,OG0083867
117908,OG0000296
117912,OG0481714
117913,OG0043150
11792,OG0011763
117948,OG0000661
11795,OG0001051
117965,OG0481724
117967,OG0481728
117968,OG0250902
117975,OG0481731
117995,OG0002693
118013,OG0481736
118014,OG0007044
118038,OG0000027
118040,OG0012823
118051,OG0000144
118054,OG0073161
118055,OG0481745
11807,OG0116984
118078,OG0143895
118086,OG0143896
11809,OG0097875
118098,OG0000004
118099,OG0481759
118107,OG0040007
118108,OG0000610
118135,OG0000546
118139,OG0000042
118146,OG0097779
118157,OG0481776
11816,OG0482245
118177,OG0481778
118179,OG0001198
11818,OG0184026
118186,OG0014386
118187,OG0000702
118190,OG0097780
118211,OG0032674
118212,OG0000861
118214,OG0000662
11822,OG0482247
118227,OG0020808
11823,OG0482248
11824,OG0482249
118245,OG0004152
118248,OG0024724
11826,OG0047103
118260,OG0057424
118266,OG0002062
11827,OG0002778
118273,OG0000025
118277,OG0051735
118287,OG0481802
118301,OG0002958
118313,OG0002958
118329,OG0001110
118331,OG0008917
118342,OG0481809
118359,OG0481811
118393,OG0116904
118411,OG0481819
11842,OG0184027
118424,OG0073177
118426,OG0097790
118429,OG0000303
118435,OG0000307
11844,OG0009162
118441,OG0481837
118443,OG0001301
118446,OG0481838
118447,OG0481839
118450,OG0481841
118494,OG0003500
118505,OG0481860
118516,OG0481861
118520,OG0073183
118522,OG0009441
118528,OG0002716
118539,OG0481868
118543,OG0008492
118550,OG0037182
118552,OG0006613
118558,OG0073186
118561,OG0481872
118565,OG0018620
118572,OG0010839
118588,OG0008668
118599,OG0116910
11860,OG0000219
118611,OG0027800
118614,OG0481890
118615,OG0481891
118618,OG0000109
118625,OG0000025
118651,OG0000167
118658,OG0004211
118659,OG0481906
118660,OG0250926
118676,OG0000001
118678,OG0002876
118681,OG0047085
118689,OG0002153
118693,OG0064470
118699,OG0003137
118705,OG0007555
118707,OG0000001
118708,OG0009436
11871,OG0064508
11874,OG0143960
118756,OG0014130
118762,OG0015042
118763,OG0000302
118765,OG0097807
118767,OG0481922
11877,OG0022679
11878,OG0022679
118788,OG0003206
118789,OG0481926
118811,OG0481932
118814,OG0481938
118830,OG0025411
118833,OG0021880
118849,OG0000037
118859,OG0026542
118869,OG0481952
118870,OG0481954
118880,OG0007462
118892,OG0007332
118894,OG0004328
1189,OG0083692
118906,OG0000314
118916,OG0481961
118917,OG0481966
118928,OG0008888
11893,OG0482262
118936,OG0004236
11894,OG0057460
118949,OG0001973
118955,OG0481971
118957,OG0002708
118959,OG0006348
118967,OG0002366
118972,OG0250902
118982,OG0097821
119003,OG0006024
119010,OG0481989
119058,OG0000262
119060,OG0000262
11908,OG0097876
119088,OG0482006
119091,OG0116941
119094,OG0003703
11911,OG0005249
119116,OG0002088
119117,OG0482017
119126,OG0097576
11914,OG0005249
119142,OG0000000
119143,OG0000001
119170,OG0064482
119176,OG0020809
11918,OG0023483
119180,OG0000667
11919,OG0023483
119194,OG0072829
119199,OG0000610
1192,OG0001143
11920,OG0083861
119202,OG0000861
11921,OG0015030
119222,OG0002573
119228,OG0000029
119265,OG0482059
119269,OG0001409
11929,OG0116989
1193,OG0008515
119324,OG0011806
119333,OG0000256
119343,OG0001005
119372,OG0011118
11938,OG0037201
119385,OG0482092
119389,OG0482095
119391,OG0482096
119396,OG0007827
11942,OG0015597
11945,OG0000258
119459,OG0029226
119464,OG0001096
119469,OG0018055
119483,OG0011505
119492,OG0002932
119505,OG0482112
119507,OG0005151
119509,OG0116962
119516,OG0000105
119525,OG0482117
119527,OG0000518
119534,OG0007711
119535,OG0000149
119545,OG0000645
119546,OG0064494
11955,OG0051637
119561,OG0482128
119566,OG0482130
119589,OG0482134
11960,OG0043254
11961,OG0482273
119619,OG0002030
11964,OG0000660
119640,OG0004591
119642,OG0002564
119649,OG0013636
119658,OG0004441
119664,OG0001450
119666,OG0482146
119682,OG0030819
119716,OG0002690
119722,OG0051586
119732,OG0030744
11974,OG0032661
11975,OG0004328
119751,OG0482178
119754,OG0000009
119777,OG0001270
11978,OG0097878
119782,OG0024354
11979,OG0097879
11980,OG0073238
119801,OG0482198
119802,OG0000007
119806,OG0012116
119810,OG0001908
11982,OG0016826
119820,OG0000503
119843,OG0482205
119844,OG0073226
119852,OG0482211
119871,OG0000241
119880,OG0001040
1199,OG0051658
11990,OG0043255
119905,OG0482226
119907,OG0482229
119909,OG0019961
119930,OG0001022
119951,OG0032601
119961,OG0482251
11998,OG0116948
119991,OG0482259
120,OG0064323
120040,OG0482274
120062,OG0001251
120075,OG0482283
120077,OG0000505
120083,OG0000034
12009,OG0002337
120096,OG0083962
120109,OG0000964
120112,OG0025376
120123,OG0000096
120126,OG0002271
12014,OG0001070
120149,OG0083965
120160,OG0184034
120162,OG0029228
120168,OG0116997
12020,OG0482278
120222,OG0002883
120226,OG0002591
12023,OG0097880
120230,OG0000001
12024,OG0482279
12025,OG0482281
120255,OG0000638
120262,OG0083969
120276,OG0008729
120296,OG0024390
120298,OG0117004
120300,OG0083971
120301,OG0117005
120302,OG0083972
120311,OG0008473
12033,OG0045720
120334,OG0000077
120340,OG0482363
120368,OG0482368
120370,OG0482369
120371,OG0064522
120406,OG0000262
120414,OG0000369
120418,OG0004156
12044,OG0000053
120440,OG0000171
120443,OG0029231
12045,OG0005611
120461,OG0000057
120462,OG0008834
120463,OG0482386
120464,OG0482388
120466,OG0482390
120472,OG0018038
120480,OG0482398
12049,OG0006325
120497,OG0482405
12050,OG0004233
120507,OG0000001
120511,OG0001114
120512,OG0482407
120517,OG0004252
120528,OG0184054
120530,OG0000718
120535,OG0003191
120536,OG0004675
120542,OG0000001
120553,OG0000233
12059,OG0057461
120601,OG0083989
120609,OG0482482
120620,OG0023474
120629,OG0000001
120631,OG0482518
120641,OG0027763
12065,OG0042028
120667,OG0000860
12067,OG0000053
120674,OG0000186
120676,OG0000252
120677,OG0002782
120681,OG0482529
1207,OG0250723
120701,OG0073261
120714,OG0480663
12072,OG0116994
12074,OG0482286
12080,OG0482291
120806,OG0001002
12083,OG0002473
12085,OG0007421
120875,OG0000027
12089,OG0057369
120955,OG0017984
12096,OG0116995
12097,OG0004507
120981,OG0002379
12101,OG0051492
12104,OG0000099
121096,OG0000152
1211,OG0480793
121111,OG0001260
121146,OG0000000
12115,OG0083713
12129,OG0116996
1213,OG0097545
121331,OG0000999
121380,OG0002158
1214,OG0480794
12140,OG0008013
12141,OG0083964
121465,OG0004968
12147,OG0001018
121490,OG0000338
1215,OG0097546
12154,OG0250990
121543,OG0003120
12155,OG0482306
121572,OG0003730
12158,OG0047106
12159,OG0047106
12160,OG0482308
12161,OG0250991
12162,OG0083966
121622,OG0001849
12163,OG0184033
121643,OG0000815
12166,OG0073241
121695,OG0004352
1217,OG0000924
12172,OG0057330
121747,OG0004556
12177,OG0482310
121901,OG0001462
12191,OG0013426
12192,OG0013426
12194,OG0482314
121940,OG0043185
12195,OG0001969
12199,OG0019971
122,OG0017505
12203,OG0026529
12207,OG0097885
122121,OG0000001
12214,OG0482315
12216,OG0022668
12218,OG0116998
12220,OG0250992
12226,OG0482318
1223,OG0480797
12230,OG0143961
12233,OG0023483
12235,OG0010836
122368,OG0005686
12237,OG0482321
122388,OG0003030
12239,OG0482322
12240,OG0184036
12241,OG0482323
12245,OG0047107
122551,OG0001738
12259,OG0039920
12261,OG0250995
122619,OG0037154
12264,OG0032688
122643,OG0001635
122650,OG0000777
12267,OG0047108
122714,OG0003384
12272,OG0005003
12275,OG0006556
122755,OG0000002
12282,OG0006763
12284,OG0011395
122869,OG0000134
122891,OG0000708
1229,OG0097547
122948,OG0000001
1230,OG0143768
123015,OG0000254
12304,OG0000756
123081,OG0000426
123094,OG0008189
1231,OG0480798
12317,OG0064516
1232,OG0250724
12321,OG0250998
12327,OG0482338
123294,OG0000512
1233,OG0097548
12333,OG0010295
12334,OG0051764
123361,OG0034775
12338,OG0037132
123422,OG0000111
123445,OG0000235
123473,OG0000630
123515,OG0037170
123541,OG0000734
12357,OG0250999
12358,OG0014863
123630,OG0000656
123641,OG0002111
123648,OG0011549
12365,OG0251000
12370,OG0117001
12375,OG0000583
12376,OG0000583
123780,OG0039994
123799,OG0000029
123824,OG0002311
12387,OG0014693
12388,OG0027744
123929,OG0001022
12401,OG0000053
124035,OG0073132
12405,OG0251003
12406,OG0184040
124060,OG0000357
12411,OG0007297
124110,OG0017335
12418,OG0010658
12420,OG0040027
12423,OG0033918
12425,OG0005153
124327,OG0000037
12433,OG0021882
12437,OG0029229
124376,OG0000153
124402,OG0018040
124404,OG0002321
12456,OG0482352
12458,OG0117003
12459,OG0024390
124602,OG0001035
12461,OG0073245
12463,OG0027805
12466,OG0482353
124673,OG0001809
12468,OG0021883
12473,OG0482354
12474,OG0183925
124766,OG0000544
124781,OG0002247
12481,OG0482356
124817,OG0004193
124819,OG0083872
12482,OG0482357
124823,OG0000258
12485,OG0005462
12486,OG0482358
12487,OG0117006
12488,OG0143965
124899,OG0001315
12490,OG0007201
124944,OG0036746
124947,OG0083884
12495,OG0083973
12497,OG0016581
124985,OG0002401
1250,OG0480801
12500,OG0083974
12506,OG0013424
125084,OG0006929
12511,OG0057468
125117,OG0000001
12513,OG0000306
12515,OG0251008
12516,OG0117007
12517,OG0083680
1252,OG0116706
12525,OG0003369
125257,OG0000914
1253,OG0023483
12531,OG0482360
12536,OG0043137
125370,OG0010763
1254,OG0011318
125432,OG0116919
12544,OG0071740
125465,OG0000158
1255,OG0005249
12552,OG0002443
12553,OG0002676
125550,OG0000075
