qseqid,Orthogroup
A0A1B3PEJ5;|A0A6S8BSM1.1|(obsolete);,OG0003785
A0A1J0I0B7;,OG0000246
A0A6S7ZK78.1|(obsolete);,OG0051766
A0A6S7ZK79.1|(obsolete);,OG0000192
A0A6S7ZKB2.1|(obsolete);,OG0000075
A0A6S7ZKE8.1|(obsolete);,OG0009038
A0A6S7ZKJ0.1|(obsolete);,OG0014524
A0A6S7ZKK5.1|(obsolete);,OG0004107
A0A6S7ZKQ4.1|(obsolete);,OG0030764
A0A6S7ZKY8.1|(obsolete);,OG0013632
A0A6S7ZL04.1|(obsolete);,OG0024337
A0A6S7ZL06.1|(obsolete);,OG0004678
A0A6S7ZL08.1|(obsolete);,OG0000384
A0A6S7ZL21.1|(obsolete);,OG0000544
A0A6S7ZL30.1|(obsolete);,OG0000074
A0A6S7ZL41.1|(obsolete);,OG0001366
A0A6S7ZL97.1|(obsolete);,OG0001344
A0A6S7ZLB5.1|(obsolete);,OG0000170
A0A6S7ZLB8.1|(obsolete);,OG0000328
A0A6S7ZLD9.1|(obsolete);,OG0007826
A0A6S7ZLH2.1|(obsolete);,OG0001016
A0A6S7ZLR6.1|(obsolete);,OG0027792
A0A6S7ZLT8.1|(obsolete);,OG0000730
A0A6S7ZM08.1|(obsolete);,OG0000811
A0A6S7ZM13.1|(obsolete);,OG0009486
A0A6S7ZM28.1|(obsolete);,OG0000872
A0A6S7ZM50.1|(obsolete);,OG0020801
A0A6S7ZM94.1|(obsolete);,OG0024364
A0A6S7ZMB1.1|(obsolete);,OG0000781
A0A6S7ZMC6.1|(obsolete);,OG0001485
A0A6S7ZMH2.1|(obsolete);,OG0002623
A0A6S7ZMH6.1|(obsolete);,OG0001350
A0A6S7ZMJ1.1|(obsolete);,OG0002595
A0A6S7ZMN3.1|(obsolete);,OG0001962
A0A6S7ZMP2.1|(obsolete);,OG0000327
A0A6S7ZMQ1.1|(obsolete);,OG0003153
A0A6S7ZMR2.1|(obsolete);,OG0000549
A0A6S7ZMV4.1|(obsolete);,OG0000917
A0A6S7ZMV5.1|(obsolete);,OG0014386
A0A6S7ZMX4.1|(obsolete);,OG0000933
A0A6S7ZMZ6.1|(obsolete);,OG0073225
A0A6S7ZN11.1|(obsolete);,OG0083603
A0A6S7ZN30.1|(obsolete);,OG0000965
A0A6S7ZN41.1|(obsolete);,OG0000957
A0A6S7ZN53.1|(obsolete);,OG0018019
A0A6S7ZN73.1|(obsolete);,OG0001626
A0A6S7ZNE2.1|(obsolete);,OG0000307
A0A6S7ZNF1.1|(obsolete);,OG0001417
A0A6S7ZNH5.1|(obsolete);,OG0002411
A0A6S7ZNI6.1|(obsolete);,OG0014614
A0A6S7ZNJ0.1|(obsolete);,OG0002963
A0A6S7ZNL5.1|(obsolete);,OG0008564
A0A6S7ZNL9.1|(obsolete);,OG0000029
A0A6S7ZNV7.1|(obsolete);,OG0000251
A0A6S7ZNX3.1|(obsolete);,OG0023476
A0A6S7ZNY6.1|(obsolete);,OG0000873
A0A6S7ZNZ2.1|(obsolete);,OG0000077
A0A6S7ZP73.1|(obsolete);,OG0000086
A0A6S7ZP76.1|(obsolete);,OG0002209
A0A6S7ZP82.1|(obsolete);,OG0057445
A0A6S7ZP96.1|(obsolete);,OG0000500
A0A6S7ZPA1.1|(obsolete);,OG0000393
A0A6S7ZPA6.1|(obsolete);,OG0001571
A0A6S7ZPE5.1|(obsolete);,OG0002148
A0A6S7ZPH8.1|(obsolete);,OG0000907
A0A6S7ZPJ3.1|(obsolete);,OG0001889
A0A6S7ZPN3.1|(obsolete);,OG0007598
A0A6S7ZPP2.1|(obsolete);,OG0001918
A0A6S7ZPS1.1|(obsolete);,OG0000379
A0A6S7ZPT8.1|(obsolete);,OG0000607
A0A6S7ZPU6.1|(obsolete);,OG0083969
A0A6S7ZPV0.1|(obsolete);,OG0001112
A0A6S7ZPX6.1|(obsolete);,OG0001035
A0A6S7ZQ31.1|(obsolete);,OG0026542
A0A6S7ZQ40.1|(obsolete);,OG0003235
A0A6S7ZQ83.1|(obsolete);,OG0000789
A0A6S7ZQ90.1|(obsolete);,OG0008945
A0A6S7ZQB6.1|(obsolete);,OG0000113
A0A6S7ZQD1.1|(obsolete);,OG0008565
A0A6S7ZQD5.1|(obsolete);,OG0017517
A0A6S7ZQD7.1|(obsolete);,OG0003146
A0A6S7ZQH8.1|(obsolete);,OG0097731
A0A6S7ZQI5.1|(obsolete);,OG0000338
A0A6S7ZQJ4.1|(obsolete);,OG0002568
A0A6S7ZQM8.1|(obsolete);,OG0000735
A0A6S7ZQQ3.1|(obsolete);,OG0002717
A0A6S7ZQQ4.1|(obsolete);,OG0000453
A0A6S7ZQS0.1|(obsolete);,OG0001182
A0A6S7ZQX0.1|(obsolete);,OG0002584
A0A6S7ZQX9.1|(obsolete);,OG0000793
A0A6S7ZQZ4.1|(obsolete);,OG0001962
A0A6S7ZR76.1|(obsolete);,OG0002194
A0A6S7ZR91.1|(obsolete);,OG0001244
A0A6S7ZRD2.1|(obsolete);,OG0004657
A0A6S7ZRD5.1|(obsolete);,OG0002768
A0A6S7ZRP1.1|(obsolete);,OG0002427
A0A6S7ZRQ2.1|(obsolete);,OG0004767
A0A6S7ZRR3.1|(obsolete);,OG0002607
A0A6S7ZRS1.1|(obsolete);,OG0000403
A0A6S7ZRS3.1|(obsolete);,OG0008189
A0A6S7ZRT6.1|(obsolete);,OG0001331
A0A6S7ZRX3.1|(obsolete);,OG0004625
A0A6S7ZRX9.1|(obsolete);,OG0000453
A0A6S7ZS78.1|(obsolete);,OG0116775
A0A6S7ZS84.1|(obsolete);,OG0037168
A0A6S7ZSA2.1|(obsolete);,OG0027733
A0A6S7ZSB3.1|(obsolete);,OG0000914
A0A6S7ZSE8.1|(obsolete);,OG0000589
A0A6S7ZSG4.1|(obsolete);,OG0000254
A0A6S7ZSI1.1|(obsolete);,OG0027785
A0A6S7ZSJ0.1|(obsolete);,OG0000789
A0A6S7ZSJ6.1|(obsolete);,OG0000444
A0A6S7ZSN5.1|(obsolete);,OG0002965
A0A6S7ZSP5.1|(obsolete);,OG0004299
A0A6S7ZSW4.1|(obsolete);,OG0083880
A0A6S7ZSZ2.1|(obsolete);,OG0005534
A0A6S7ZT07.1|(obsolete);,OG0073233
A0A6S7ZT09.1|(obsolete);,OG0000163
A0A6S7ZT18.1|(obsolete);,OG0000149
A0A6S7ZT34.1|(obsolete);,OG0001867
A0A6S7ZT39.1|(obsolete);,OG0002199
A0A6S7ZT85.1|(obsolete);,OG0004063
A0A6S7ZT99.1|(obsolete);,OG0002224
A0A6S7ZTA8.1|(obsolete);,OG0004930
A0A6S7ZTB1.1|(obsolete);,OG0000145
A0A6S7ZTB9.1|(obsolete);,OG0002655
A0A6S7ZTF3.1|(obsolete);,OG0000046
A0A6S7ZTH0.1|(obsolete);,OG0002435
A0A6S7ZTK3.1|(obsolete);,OG0009082
A0A6S7ZTK4.1|(obsolete);,OG0019272
A0A6S7ZTM4.1|(obsolete);,OG0000574
A0A6S7ZTM9.1|(obsolete);,OG0004415
A0A6S7ZTP0.1|(obsolete);,OG0003412
A0A6S7ZTT7.1|(obsolete);,OG0002660
A0A6S7ZTU3.1|(obsolete);,OG0001628
A0A6S7ZTZ4.1|(obsolete);,OG0008078
A0A6S7ZTZ8.1|(obsolete);,OG0003120
A0A6S7ZU59.1|(obsolete);,OG0003149
A0A6S7ZU84.1|(obsolete);,OG0005034
A0A6S7ZU96.1|(obsolete);,OG0032635
A0A6S7ZUB9.1|(obsolete);,OG0000412
A0A6S7ZUC3.1|(obsolete);,OG0000862
A0A6S7ZUJ0.1|(obsolete);,OG0010630
A0A6S7ZUK9.1|(obsolete);,OG0010768
A0A6S7ZUM2.1|(obsolete);,OG0000114
A0A6S7ZUM3.1|(obsolete);,OG0002049
A0A6S7ZUQ5.1|(obsolete);,OG0000000
A0A6S7ZUR3.1|(obsolete);,OG0002317
A0A6S7ZUR5.1|(obsolete);,OG0001706
A0A6S7ZUT4.1|(obsolete);,OG0000216
A0A6S7ZUT8.1|(obsolete);,OG0003682
A0A6S7ZUU9.1|(obsolete);,OG0000141
A0A6S7ZUV8.1|(obsolete);,OG0003204
A0A6S7ZUY1.1|(obsolete);,OG0001004
A0A6S7ZV10.1|(obsolete);,OG0000049
A0A6S7ZV12.1|(obsolete);,OG0001330
A0A6S7ZV41.1|(obsolete);,OG0001511
A0A6S7ZV54.1|(obsolete);,OG0001263
A0A6S7ZV92.1|(obsolete);,OG0002252
A0A6S7ZV93.1|(obsolete);,OG0004352
A0A6S7ZVA6.1|(obsolete);,OG0002783
A0A6S7ZVA9.1|(obsolete);,OG0002773
A0A6S7ZVB3.1|(obsolete);,OG0047083
A0A6S7ZVD4.1|(obsolete);,OG0002695
A0A6S7ZVF3.1|(obsolete);,OG0000702
A0A6S7ZVH9.1|(obsolete);,OG0009036
A0A6S7ZVI4.1|(obsolete);,OG0016106
A0A6S7ZVM9.1|(obsolete);,OG0003287
A0A6S7ZVQ7.1|(obsolete);,OG0010560
A0A6S7ZVR8.1|(obsolete);,OG0003126
A0A6S7ZVS4.1|(obsolete);,OG0000029
A0A6S7ZVT0.1|(obsolete);,OG0000377
A0A6S7ZVT1.1|(obsolete);,OG0025431
A0A6S7ZVT2.1|(obsolete);,OG0001725
A0A6S7ZVT3.1|(obsolete);,OG0000735
A0A6S7ZVU6.1|(obsolete);,OG0002644
A0A6S7ZVX2.1|(obsolete);,OG0001516
A0A6S7ZVY4.1|(obsolete);,OG0001451
A0A6S7ZW00.1|(obsolete);,OG0029224
A0A6S7ZW43.1|(obsolete);,OG0000817
A0A6S7ZW45.1|(obsolete);,OG0000152
A0A6S7ZW62.1|(obsolete);,OG0002083
A0A6S7ZW85.1|(obsolete);,OG0000020
A0A6S7ZW96.1|(obsolete);,OG0002037
A0A6S7ZWC5.1|(obsolete);,OG0000027
A0A6S7ZWC6.1|(obsolete);,OG0001206
A0A6S7ZWD4.1|(obsolete);,OG0097852
A0A6S7ZWD6.1|(obsolete);,OG0000094
A0A6S7ZWG1.1|(obsolete);,OG0004810
A0A6S7ZWG4.1|(obsolete);,OG0001298
A0A6S7ZWH1.1|(obsolete);,OG0000604
A0A6S7ZWU2.1|(obsolete);,OG0003424
A0A6S7ZWU3.1|(obsolete);,OG0001033
A0A6S7ZWU5.1|(obsolete);,OG0016550
A0A6S7ZWW1.1|(obsolete);,OG0016234
A0A6S7ZWW7.1|(obsolete);,OG0005843
A0A6S7ZX17.1|(obsolete);,OG0001127
A0A6S7ZX25.1|(obsolete);,OG0001478
A0A6S7ZX45.1|(obsolete);,OG0004531
A0A6S7ZX82.1|(obsolete);,OG0002549
A0A6S7ZX94.1|(obsolete);,OG0002724
A0A6S7ZXD5.1|(obsolete);,OG0002558
A0A6S7ZXD8.1|(obsolete);,OG0002013
A0A6S7ZXG2.1|(obsolete);,OG0000610
A0A6S7ZXG7.1|(obsolete);,OG0021850
A0A6S7ZXJ7.1|(obsolete);,OG0000268
A0A6S7ZXJ9.1|(obsolete);,OG0002933
A0A6S7ZXL4.1|(obsolete);,OG0018590
A0A6S7ZXM9.1|(obsolete);,OG0008058
A0A6S7ZXP4.1|(obsolete);,OG0008688
A0A6S7ZXS8.1|(obsolete);,OG0013638
A0A6S7ZXY2.1|(obsolete);,OG0001731
A0A6S7ZXZ0.1|(obsolete);,OG0002459
A0A6S7ZXZ6.1|(obsolete);,OG0001012
A0A6S7ZY07.1|(obsolete);,OG0002189
A0A6S7ZY08.1|(obsolete);,OG0004733
A0A6S7ZY12.1|(obsolete);,OG0019958
A0A6S7ZY16.1|(obsolete);,OG0015366
A0A6S7ZY25.1|(obsolete);,OG0000006
A0A6S7ZY32.1|(obsolete);,OG0001893
A0A6S7ZY47.1|(obsolete);,OG0001110
A0A6S7ZY65.1|(obsolete);,OG0001766
A0A6S7ZY73.1|(obsolete);,OG0000070
A0A6S7ZY96.1|(obsolete);,OG0004079
A0A6S7ZY97.1|(obsolete);,OG0001378
A0A6S7ZYC6.1|(obsolete);,OG0002401
A0A6S7ZYF7.1|(obsolete);,OG0000029
A0A6S7ZYN0.1|(obsolete);,OG0000075
A0A6S7ZYR2.1|(obsolete);,OG0000307
A0A6S7ZYS9.1|(obsolete);,OG0001038
A0A6S7ZYT2.1|(obsolete);,OG0005888
A0A6S7ZZ15.1|(obsolete);,OG0034728
A0A6S7ZZ82.1|(obsolete);,OG0000014
A0A6S7ZZI1.1|(obsolete);,OG0000534
A0A6S7ZZJ3.1|(obsolete);,OG0000553
A0A6S7ZZM8.1|(obsolete);,OG0000871
A0A6S7ZZQ7.1|(obsolete);,OG0005517
A0A6S7ZZS3.1|(obsolete);,OG0011342
A0A6S7ZZU1.1|(obsolete);,OG0015745
A0A6S7ZZU3.1|(obsolete);,OG0001614
A0A6S7ZZZ0.1|(obsolete);,OG0001108
A0A6S8A006.1|(obsolete);,OG0057312
A0A6S8A049.1|(obsolete);,OG0017504
A0A6S8A063.1|(obsolete);,OG0073213
A0A6S8A065.1|(obsolete);,OG0000661
A0A6S8A073.1|(obsolete);,OG0007832
A0A6S8A085.1|(obsolete);,OG0012394
A0A6S8A097.1|(obsolete);,OG0000767
A0A6S8A0B4.1|(obsolete);,OG0001800
A0A6S8A0B8.1|(obsolete);,OG0000122
A0A6S8A0C4.1|(obsolete);,OG0008759
A0A6S8A0I2.1|(obsolete);,OG0000002
A0A6S8A0M0.1|(obsolete);,OG0003979
A0A6S8A0W4.1|(obsolete);,OG0000153
A0A6S8A0X4.1|(obsolete);,OG0023464
A0A6S8A105.1|(obsolete);,OG0000549
A0A6S8A135.1|(obsolete);,OG0002980
A0A6S8A187.1|(obsolete);,OG0000471
A0A6S8A197.1|(obsolete);,OG0000306
A0A6S8A1B1.1|(obsolete);,OG0002658
A0A6S8A1B9.1|(obsolete);,OG0003548
A0A6S8A1D3.1|(obsolete);,OG0002733
A0A6S8A1F9.1|(obsolete);,OG0007601
A0A6S8A1I8.1|(obsolete);,OG0003009
A0A6S8A1J5.1|(obsolete);,OG0029169
A0A6S8A1M4.1|(obsolete);,OG0001370
A0A6S8A1N3.1|(obsolete);,OG0007107
A0A6S8A1P1.1|(obsolete);,OG0000054
A0A6S8A1Q5.1|(obsolete);,OG0001072
A0A6S8A1V2.1|(obsolete);,OG0001937
A0A6S8A1X5.1|(obsolete);,OG0027741
A0A6S8A1Z6.1|(obsolete);,OG0004155
A0A6S8A210.1|(obsolete);,OG0006402
A0A6S8A213.1|(obsolete);,OG0002720
A0A6S8A235.1|(obsolete);,OG0002613
A0A6S8A272.1|(obsolete);,OG0002192
A0A6S8A2B6.1|(obsolete);,OG0008028
A0A6S8A2B7.1|(obsolete);,OG0016561
A0A6S8A2J1.1|(obsolete);,OG0003196
A0A6S8A2P3.1|(obsolete);,OG0006708
A0A6S8A2Q1.1|(obsolete);,OG0000036
A0A6S8A2Q9.1|(obsolete);,OG0020775
A0A6S8A2T1.1|(obsolete);,OG0003481
A0A6S8A2W0.1|(obsolete);,OG0001805
A0A6S8A2W1.1|(obsolete);,OG0001232
A0A6S8A2Z7.1|(obsolete);,OG0000427
A0A6S8A305.1|(obsolete);,OG0002778
A0A6S8A309.1|(obsolete);,OG0003416
A0A6S8A321.1|(obsolete);,OG0001946
A0A6S8A376.1|(obsolete);,OG0003214
A0A6S8A399.1|(obsolete);,OG0000393
A0A6S8A3A9.1|(obsolete);,OG0000329
A0A6S8A3D2.1|(obsolete);,OG0003439
A0A6S8A3G1.1|(obsolete);,OG0001414
A0A6S8A3H4.1|(obsolete);,OG0006506
A0A6S8A3K2.1|(obsolete);,OG0002281
A0A6S8A3L2.1|(obsolete);,OG0002579
A0A6S8A3M5.1|(obsolete);,OG0005929
A0A6S8A3P9.1|(obsolete);,OG0003061
A0A6S8A3R0.1|(obsolete);,OG0001040
A0A6S8A3U0.1|(obsolete);,OG0001983
A0A6S8A402.1|(obsolete);,OG0002507
A0A6S8A417.1|(obsolete);,OG0005382
A0A6S8A430.1|(obsolete);,OG0009512
A0A6S8A437.1|(obsolete);,OG0003592
A0A6S8A471.1|(obsolete);,OG0000167
A0A6S8A473.1|(obsolete);,OG0000074
A0A6S8A493.1|(obsolete);,OG0000442
A0A6S8A4A5.1|(obsolete);,OG0001631
A0A6S8A4A7.1|(obsolete);,OG0026567
A0A6S8A4D2.1|(obsolete);,OG0005314
A0A6S8A4E1.1|(obsolete);,OG0002150
A0A6S8A4H0.1|(obsolete);,OG0003348
A0A6S8A4J1.1|(obsolete);,OG0002261
A0A6S8A4L3.1|(obsolete);,OG0000384
A0A6S8A4M1.1|(obsolete);,OG0000626
A0A6S8A4S2.1|(obsolete);,OG0001525
A0A6S8A4S7.1|(obsolete);,OG0000427
A0A6S8A4V0.1|(obsolete);,OG0037194
A0A6S8A514.1|(obsolete);,OG0000025
A0A6S8A529.1|(obsolete);,OG0018029
A0A6S8A543.1|(obsolete);,OG0000477
A0A6S8A573.1|(obsolete);,OG0000349
A0A6S8A588.1|(obsolete);,OG0001157
A0A6S8A5D6.1|(obsolete);,OG0000551
A0A6S8A5F0.1|(obsolete);,OG0001794
A0A6S8A5J0.1|(obsolete);,OG0001869
A0A6S8A5L4.1|(obsolete);,OG0002807
A0A6S8A5L5.1|(obsolete);,OG0001096
A0A6S8A5M2.1|(obsolete);,OG0000238
A0A6S8A5P0.1|(obsolete);,OG0007284
A0A6S8A5P4.1|(obsolete);,OG0010201
A0A6S8A5T6.1|(obsolete);,OG0003958
A0A6S8A5V4.1|(obsolete);,OG0002600
A0A6S8A5V5.1|(obsolete);,OG0001214
A0A6S8A5V6.1|(obsolete);,OG0003999
A0A6S8A5X8.1|(obsolete);,OG0000294
A0A6S8A5Y8.1|(obsolete);,OG0012497
A0A6S8A5Z3.1|(obsolete);,OG0000249
A0A6S8A622.1|(obsolete);,OG0004559
A0A6S8A628.1|(obsolete);,OG0001450
A0A6S8A655.1|(obsolete);,OG0005961
A0A6S8A692.1|(obsolete);,OG0004164
A0A6S8A6F9.1|(obsolete);,OG0000010
A0A6S8A6G0.1|(obsolete);,OG0000153
A0A6S8A6G1.1|(obsolete);,OG0000597
A0A6S8A6G3.1|(obsolete);,OG0002645
A0A6S8A6H4.1|(obsolete);,OG0083763
A0A6S8A6L8.1|(obsolete);,OG0000029
A0A6S8A6Q5.1|(obsolete);,OG0000340
A0A6S8A6U3.1|(obsolete);,OG0003205
A0A6S8A6X8.1|(obsolete);,OG0002432
A0A6S8A6Z3.1|(obsolete);,OG0003051
A0A6S8A705.1|(obsolete);,OG0004022
A0A6S8A724.1|(obsolete);,OG0002264
A0A6S8A754.1|(obsolete);,OG0002038
A0A6S8A785.1|(obsolete);,OG0002247
A0A6S8A788.1|(obsolete);,OG0000036
A0A6S8A799.1|(obsolete);,OG0000849
A0A6S8A7D0.1|(obsolete);,OG0000070
A0A6S8A7E6.1|(obsolete);,OG0006266
A0A6S8A7H0.1|(obsolete);,OG0037162
A0A6S8A7I3.1|(obsolete);,OG0013778
A0A6S8A7I6.1|(obsolete);,OG0004016
A0A6S8A7L1.1|(obsolete);,OG0000048
A0A6S8A7M8.1|(obsolete);,OG0003683
A0A6S8A7N1.1|(obsolete);,OG0001293
A0A6S8A7S4.1|(obsolete);,OG0003090
A0A6S8A7V2.1|(obsolete);,OG0003729
A0A6S8A7Z6.1|(obsolete);,OG0000030
A0A6S8A802.1|(obsolete);,OG0002725
A0A6S8A843.1|(obsolete);,OG0002010
A0A6S8A885.1|(obsolete);,OG0000969
A0A6S8A8A9.1|(obsolete);,OG0002611
A0A6S8A8B8.1|(obsolete);,OG0002116
A0A6S8A8C6.1|(obsolete);,OG0000294
A0A6S8A8D0.1|(obsolete);,OG0003604
A0A6S8A8F8.1|(obsolete);,OG0000748
A0A6S8A8G5.1|(obsolete);,OG0002934
A0A6S8A8H2.1|(obsolete);,OG0014681
A0A6S8A8H6.1|(obsolete);,OG0001996
A0A6S8A8L9.1|(obsolete);,OG0026591
A0A6S8A8X6.1|(obsolete);,OG0000777
A0A6S8A8Y7.1|(obsolete);,OG0001602
A0A6S8A902.1|(obsolete);,OG0001091
A0A6S8A926.1|(obsolete);,OG0000515
A0A6S8A931.1|(obsolete);,OG0002861
A0A6S8A933.1|(obsolete);,OG0000005
A0A6S8A959.1|(obsolete);,OG0004234
A0A6S8A981.1|(obsolete);,OG0008703
A0A6S8A9A3.1|(obsolete);,OG0015742
A0A6S8A9B7.1|(obsolete);,OG0004567
A0A6S8A9F4.1|(obsolete);,OG0000148
A0A6S8A9F5.1|(obsolete);,OG0011802
A0A6S8A9F9.1|(obsolete);,OG0010660
A0A6S8A9I5.1|(obsolete);,OG0003724
A0A6S8A9K8.1|(obsolete);,OG0004146
A0A6S8A9L1.1|(obsolete);,OG0000002
A0A6S8A9L9.1|(obsolete);,OG0001272
A0A6S8A9N1.1|(obsolete);,OG0002197
A0A6S8A9Q4.1|(obsolete);,OG0003673
A0A6S8A9T4.1|(obsolete);,OG0000096
A0A6S8A9V9.1|(obsolete);,OG0000269
A0A6S8A9W7.1|(obsolete);,OG0000236
A0A6S8A9W8.1|(obsolete);,OG0000075
A0A6S8A9Z7.1|(obsolete);,OG0002233
A0A6S8AA02.1|(obsolete);,OG0000333
A0A6S8AA57.1|(obsolete);,OG0001378
A0A6S8AA98.1|(obsolete);,OG0000872
A0A6S8AAA2.1|(obsolete);,OG0005043
A0A6S8AAA3.1|(obsolete);,OG0002703
A0A6S8AAA5.1|(obsolete);,OG0001566
A0A6S8AAB1.1|(obsolete);,OG0000037
A0A6S8AAC8.1|(obsolete);,OG0002415
A0A6S8AAG2.1|(obsolete);,OG0002686
A0A6S8AAG3.1|(obsolete);,OG0000193
A0A6S8AAI9.1|(obsolete);,OG0000701
A0A6S8AAM5.1|(obsolete);,OG0000464
A0A6S8AAT9.1|(obsolete);,OG0000354
A0A6S8AAW2.1|(obsolete);,OG0000116
A0A6S8AAZ9.1|(obsolete);,OG0000438
A0A6S8AB04.1|(obsolete);,OG0000962
A0A6S8AB32.1|(obsolete);,OG0001134
A0A6S8AB42.1|(obsolete);,OG0004391
A0A6S8AB53.1|(obsolete);,OG0002969
A0A6S8AB57.1|(obsolete);,OG0004599
A0A6S8AB61.1|(obsolete);,OG0073256
A0A6S8AB69.1|(obsolete);,OG0003967
A0A6S8AB82.1|(obsolete);,OG0002360
A0A6S8AB87.1|(obsolete);,OG0010882
A0A6S8AB99.1|(obsolete);,OG0000501
A0A6S8ABA4.1|(obsolete);,OG0000532
A0A6S8ABF6.1|(obsolete);,OG0002983
A0A6S8ABF8.1|(obsolete);,OG0000180
A0A6S8ABJ6.1|(obsolete);,OG0000937
A0A6S8ABK1.1|(obsolete);,OG0000114
A0A6S8ABL2.1|(obsolete);,OG0002852
A0A6S8ABM7.1|(obsolete);,OG0003561
A0A6S8ABN1.1|(obsolete);,OG0000544
A0A6S8ABP4.1|(obsolete);,OG0000860
A0A6S8ABR8.1|(obsolete);,OG0144016
A0A6S8ABS6.1|(obsolete);,OG0000952
A0A6S8ABT4.1|(obsolete);,OG0002891
A0A6S8ABV4.1|(obsolete);,OG0004254
A0A6S8ABX7.1|(obsolete);,OG0002205
A0A6S8ABZ0.1|(obsolete);,OG0000148
A0A6S8AC02.1|(obsolete);,OG0002855
A0A6S8AC51.1|(obsolete);,OG0043262
A0A6S8AC72.1|(obsolete);,OG0000034
A0A6S8AC80.1|(obsolete);,OG0000861
A0A6S8AC83.1|(obsolete);,OG0097785
A0A6S8ACA4.1|(obsolete);,OG0003694
A0A6S8ACC3.1|(obsolete);,OG0006236
A0A6S8ACE0.1|(obsolete);,OG0002114
A0A6S8ACF7.1|(obsolete);,OG0000927
A0A6S8ACH3.1|(obsolete);,OG0000389
A0A6S8ACH8.1|(obsolete);,OG0001035
A0A6S8ACI7.1|(obsolete);,OG0005671
A0A6S8ACK6.1|(obsolete);,OG0002723
A0A6S8ACL7.1|(obsolete);,OG0024063
A0A6S8ACL8.1|(obsolete);,OG0000094
A0A6S8ACM1.1|(obsolete);,OG0000210
