goAcc,desc
GO:0004345,glucose-6-phosphate dehydrogenase activity
GO:0004347,glucose-6-phosphate isomerase activity
GO:0004348,glucosylceramidase activity
GO:0004349,glutamate 5-kinase activity
GO:0004350,glutamate-5-semialdehyde dehydrogenase activity
GO:0004351,glutamate decarboxylase activity
GO:0004352,glutamate dehydrogenase (NAD+) activity
GO:0004356,glutamate-ammonia ligase activity
GO:0004357,glutamate-cysteine ligase activity
GO:0004358,glutamate N-acetyltransferase activity
GO:0004359,glutaminase activity
GO:0004360,glutamine-fructose-6-phosphate transaminase (isomerizing) activity
GO:0004362,glutathione-disulfide reductase (NADPH) activity
GO:0004363,glutathione synthase activity
GO:0004364,glutathione transferase activity
GO:0004365,glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
GO:0004366,glycerol-3-phosphate O-acyltransferase activity
GO:0004367,glycerol-3-phosphate dehydrogenase [NAD+] activity
GO:0004368,glycerol-3-phosphate dehydrogenase (quinone) activity
GO:0004370,glycerol kinase activity
GO:0004371,glycerone kinase activity
GO:0004372,glycine hydroxymethyltransferase activity
GO:0004376,glycolipid mannosyltransferase activity
GO:0004378,"GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity"
GO:0004379,glycylpeptide N-tetradecanoyltransferase activity
GO:0004383,guanylate cyclase activity
GO:0004385,guanylate kinase activity
GO:0004386,helicase activity
GO:0004392,heme oxygenase (decyclizing) activity
GO:0004396,hexokinase activity
GO:0004399,histidinol dehydrogenase activity
GO:0004400,histidinol-phosphate transaminase activity
GO:0004402,histone acetyltransferase activity
GO:0004407,histone deacetylase activity
GO:0004408,holocytochrome-c synthase activity
GO:0004411,"homogentisate 1,2-dioxygenase activity"
GO:0004412,homoserine dehydrogenase activity
GO:0004413,homoserine kinase activity
GO:0004414,homoserine O-acetyltransferase activity
GO:0004416,hydroxyacylglutathione hydrolase activity
GO:0004418,hydroxymethylbilane synthase activity
GO:0004419,hydroxymethylglutaryl-CoA lyase activity
GO:0004420,hydroxymethylglutaryl-CoA reductase (NADPH) activity
GO:0004421,hydroxymethylglutaryl-CoA synthase activity
GO:0004422,hypoxanthine phosphoribosyltransferase activity
GO:0004423,iduronate-2-sulfatase activity
GO:0004424,imidazoleglycerol-phosphate dehydratase activity
GO:0004425,indole-3-glycerol-phosphate synthase activity
GO:0004427,inorganic diphosphatase activity
GO:0004435,phosphatidylinositol phospholipase C activity
GO:0004439,"phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity"
GO:0004445,inositol-polyphosphate 5-phosphatase activity
GO:0004450,isocitrate dehydrogenase (NADP+) activity
GO:0004451,isocitrate lyase activity
GO:0004452,isopentenyl-diphosphate delta-isomerase activity
GO:0004455,ketol-acid reductoisomerase activity
GO:0004462,lactoylglutathione lyase activity
GO:0004467,long-chain fatty acid-CoA ligase activity
GO:0004473,malate dehydrogenase (decarboxylating) (NADP+) activity
GO:0004474,malate synthase activity
GO:0004476,mannose-6-phosphate isomerase activity
GO:0004478,methionine adenosyltransferase activity
GO:0004479,methionyl-tRNA formyltransferase activity
GO:0004484,mRNA guanylyltransferase activity
GO:0004489,methylenetetrahydrofolate reductase (NAD(P)H) activity
GO:0004491,methylmalonate-semialdehyde dehydrogenase (acylating) activity
GO:0004494,methylmalonyl-CoA mutase activity
GO:0004496,mevalonate kinase activity
GO:0004497,monooxygenase activity
GO:0004499,"N,N-dimethylaniline monooxygenase activity"
GO:0004500,dopamine beta-monooxygenase activity
GO:0004502,kynurenine 3-monooxygenase activity
GO:0004512,inositol-3-phosphate synthase activity
GO:0004514,nicotinate-nucleotide diphosphorylase (carboxylating) activity
GO:0004516,nicotinate phosphoribosyltransferase activity
GO:0004518,nuclease activity
GO:0004519,endonuclease activity
GO:0004521,endoribonuclease activity
GO:0004523,RNA-DNA hybrid ribonuclease activity
GO:0004527,exonuclease activity
GO:0004534,5'-3' exoribonuclease activity
GO:0004535,poly(A)-specific ribonuclease activity
GO:0004540,ribonuclease activity
GO:0004550,nucleoside diphosphate kinase activity
GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds"
GO:0004559,alpha-mannosidase activity
GO:0004563,beta-N-acetylhexosaminidase activity
GO:0004567,beta-mannosidase activity
GO:0004568,chitinase activity
GO:0004571,"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity"
GO:0004577,N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity
GO:0004579,dolichyl-diphosphooligosaccharide-protein glycotransferase activity
GO:0004582,dolichyl-phosphate beta-D-mannosyltransferase activity
GO:0004585,ornithine carbamoyltransferase activity
GO:0004586,ornithine decarboxylase activity
GO:0004587,ornithine-oxo-acid transaminase activity
GO:0004588,orotate phosphoribosyltransferase activity
GO:0004590,orotidine-5'-phosphate decarboxylase activity
GO:0004591,oxoglutarate dehydrogenase (succinyl-transferring) activity
GO:0004592,pantoate-beta-alanine ligase activity
GO:0004594,pantothenate kinase activity
GO:0004596,peptide alpha-N-acetyltransferase activity
GO:0004601,peroxidase activity
GO:0004602,glutathione peroxidase activity
GO:0004604,phosphoadenylyl-sulfate reductase (thioredoxin) activity
GO:0004605,phosphatidate cytidylyltransferase activity
GO:0004608,phosphatidylethanolamine N-methyltransferase activity
GO:0004609,phosphatidylserine decarboxylase activity
GO:0004612,phosphoenolpyruvate carboxykinase (ATP) activity
GO:0004614,phosphoglucomutase activity
GO:0004615,phosphomannomutase activity
GO:0004616,phosphogluconate dehydrogenase (decarboxylating) activity
GO:0004617,phosphoglycerate dehydrogenase activity
GO:0004618,phosphoglycerate kinase activity
GO:0004619,phosphoglycerate mutase activity
GO:0004620,phospholipase activity
GO:0004622,lysophospholipase activity
GO:0004623,phospholipase A2 activity
GO:0004630,phospholipase D activity
GO:0004631,phosphomevalonate kinase activity
GO:0004633,phosphopantothenoylcysteine decarboxylase activity
GO:0004634,phosphopyruvate hydratase activity
GO:0004635,phosphoribosyl-AMP cyclohydrolase activity
GO:0004636,phosphoribosyl-ATP diphosphatase activity
GO:0004637,phosphoribosylamine-glycine ligase activity
GO:0004638,phosphoribosylaminoimidazole carboxylase activity
GO:0004639,phosphoribosylaminoimidazolesuccinocarboxamide synthase activity
GO:0004640,phosphoribosylanthranilate isomerase activity
GO:0004641,phosphoribosylformylglycinamidine cyclo-ligase activity
GO:0004642,phosphoribosylformylglycinamidine synthase activity
GO:0004643,phosphoribosylaminoimidazolecarboxamide formyltransferase activity
GO:0004644,phosphoribosylglycinamide formyltransferase activity
GO:0004647,phosphoserine phosphatase activity
GO:0004648,O-phospho-L-serine:2-oxoglutarate aminotransferase activity
GO:0004652,polynucleotide adenylyltransferase activity
GO:0004654,polyribonucleotide nucleotidyltransferase activity
GO:0004655,porphobilinogen synthase activity
GO:0004656,procollagen-proline 4-dioxygenase activity
GO:0004657,proline dehydrogenase activity
GO:0004658,propionyl-CoA carboxylase activity
GO:0004659,prenyltransferase activity
GO:0004663,Rab geranylgeranyltransferase activity
GO:0004664,prephenate dehydratase activity
GO:0004665,prephenate dehydrogenase (NADP+) activity
GO:0004671,protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity
GO:0004672,protein kinase activity
GO:0004673,protein histidine kinase activity
GO:0004674,protein serine/threonine kinase activity
GO:0004675,transmembrane receptor protein serine/threonine kinase activity
GO:0004679,AMP-activated protein kinase activity
GO:0004683,calmodulin-dependent protein kinase activity
GO:0004691,cAMP-dependent protein kinase activity
GO:0004692,cGMP-dependent protein kinase activity
GO:0004693,cyclin-dependent protein serine/threonine kinase activity
GO:0004698,calcium-dependent protein kinase C activity
GO:0004704,NF-kappaB-inducing kinase activity
GO:0004707,MAP kinase activity
GO:0004708,MAP kinase kinase activity
GO:0004709,MAP kinase kinase kinase activity
GO:0004713,protein tyrosine kinase activity
GO:0004719,protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
GO:0004721,phosphoprotein phosphatase activity
GO:0004722,protein serine/threonine phosphatase activity
GO:0004725,protein tyrosine phosphatase activity
GO:0004729,oxygen-dependent protoporphyrinogen oxidase activity
GO:0004730,pseudouridylate synthase activity
GO:0004731,purine-nucleoside phosphorylase activity
GO:0004733,pyridoxamine-phosphate oxidase activity
GO:0004735,pyrroline-5-carboxylate reductase activity
GO:0004736,pyruvate carboxylase activity
GO:0004739,pyruvate dehydrogenase (acetyl-transferring) activity
GO:0004741,[pyruvate dehydrogenase (lipoamide)] phosphatase activity
GO:0004742,dihydrolipoyllysine-residue acetyltransferase activity
GO:0004743,pyruvate kinase activity
GO:0004746,riboflavin synthase activity
GO:0004747,ribokinase activity
GO:0004749,ribose phosphate diphosphokinase activity
GO:0004750,ribulose-phosphate 3-epimerase activity
GO:0004751,ribose-5-phosphate isomerase activity
GO:0004756,"selenide, water dikinase activity"
GO:0004758,serine C-palmitoyltransferase activity
GO:0004775,succinate-CoA ligase (ADP-forming) activity
GO:0004776,succinate-CoA ligase (GDP-forming) activity
GO:0004781,sulfate adenylyltransferase (ATP) activity
GO:0004783,sulfite reductase (NADPH) activity
GO:0004784,superoxide dismutase activity
GO:0004788,thiamine diphosphokinase activity
GO:0004791,thioredoxin-disulfide reductase activity
GO:0004792,thiosulfate sulfurtransferase activity
GO:0004793,threonine aldolase activity
GO:0004794,L-threonine ammonia-lyase activity
GO:0004797,thymidine kinase activity
GO:0004798,thymidylate kinase activity
GO:0004799,thymidylate synthase activity
GO:0004801,transaldolase activity
GO:0004802,transketolase activity
GO:0004806,triglyceride lipase activity
GO:0004807,triose-phosphate isomerase activity
GO:0004809,tRNA (guanine-N2-)-methyltransferase activity
GO:0004812,aminoacyl-tRNA ligase activity
GO:0004813,alanine-tRNA ligase activity
GO:0004814,arginine-tRNA ligase activity
GO:0004815,aspartate-tRNA ligase activity
GO:0004816,asparagine-tRNA ligase activity
GO:0004817,cysteine-tRNA ligase activity
GO:0004818,glutamate-tRNA ligase activity
GO:0004819,glutamine-tRNA ligase activity
GO:0004820,glycine-tRNA ligase activity
GO:0004821,histidine-tRNA ligase activity
GO:0004822,isoleucine-tRNA ligase activity
GO:0004823,leucine-tRNA ligase activity
GO:0004824,lysine-tRNA ligase activity
GO:0004825,methionine-tRNA ligase activity
GO:0004826,phenylalanine-tRNA ligase activity
GO:0004827,proline-tRNA ligase activity
GO:0004828,serine-tRNA ligase activity
GO:0004829,threonine-tRNA ligase activity
GO:0004830,tryptophan-tRNA ligase activity
GO:0004831,tyrosine-tRNA ligase activity
GO:0004832,valine-tRNA ligase activity
GO:0004834,tryptophan synthase activity
GO:0004835,tubulin-tyrosine ligase activity
GO:0004842,ubiquitin-protein transferase activity
GO:0004844,uracil DNA N-glycosylase activity
GO:0004845,uracil phosphoribosyltransferase activity
GO:0004849,uridine kinase activity
GO:0004850,uridine phosphorylase activity
GO:0004851,uroporphyrin-III C-methyltransferase activity
GO:0004852,uroporphyrinogen-III synthase activity
GO:0004853,uroporphyrinogen decarboxylase activity
GO:0004856,xylulokinase activity
GO:0004867,serine-type endopeptidase inhibitor activity
GO:0004869,cysteine-type endopeptidase inhibitor activity
GO:0004888,transmembrane signaling receptor activity
GO:0004930,G protein-coupled receptor activity
GO:0004965,G protein-coupled GABA receptor activity
GO:0005047,signal recognition particle binding
GO:0005085,guanyl-nucleotide exchange factor activity
GO:0005093,Rab GDP-dissociation inhibitor activity
GO:0005096,GTPase activator activity
GO:0005179,hormone activity
GO:0005198,structural molecule activity
GO:0005216,ion channel activity
GO:0005230,extracellular ligand-gated ion channel activity
GO:0005245,voltage-gated calcium channel activity
GO:0005247,voltage-gated chloride channel activity
GO:0005249,voltage-gated potassium channel activity
GO:0005267,potassium channel activity
GO:0005319,lipid transporter activity
GO:0005337,nucleoside transmembrane transporter activity
GO:0005375,copper ion transmembrane transporter activity
GO:0005381,iron ion transmembrane transporter activity
GO:0005388,P-type calcium transporter activity
GO:0005432,calcium:sodium antiporter activity
GO:0005471,ATP:ADP antiporter activity
GO:0005484,SNAP receptor activity
GO:0005506,iron ion binding
GO:0005507,copper ion binding
GO:0005509,calcium ion binding
GO:0005515,protein binding
GO:0005524,ATP binding
GO:0005525,GTP binding
GO:0005542,folic acid binding
GO:0005576,extracellular region
GO:0005622,intracellular anatomical structure
GO:0005634,nucleus
GO:0005643,nuclear pore
GO:0005658,alpha DNA polymerase:primase complex
GO:0005663,DNA replication factor C complex
GO:0005665,"RNA polymerase II, core complex"
GO:0005667,transcription regulator complex
GO:0005669,transcription factor TFIID complex
GO:0005673,transcription factor TFIIE complex
GO:0005680,anaphase-promoting complex
GO:0005681,spliceosomal complex
GO:0005694,chromosome
GO:0005730,nucleolus
GO:0005732,sno(s)RNA-containing ribonucleoprotein complex
GO:0005737,cytoplasm
GO:0005739,mitochondrion
GO:0005740,mitochondrial envelope
GO:0005741,mitochondrial outer membrane
GO:0005743,mitochondrial inner membrane
GO:0005744,TIM23 mitochondrial import inner membrane translocase complex
GO:0005758,mitochondrial intermembrane space
GO:0005759,mitochondrial matrix
GO:0005761,mitochondrial ribosome
GO:0005764,lysosome
GO:0005773,vacuole
GO:0005777,peroxisome
GO:0005778,peroxisomal membrane
GO:0005779,integral component of peroxisomal membrane
GO:0005783,endoplasmic reticulum
GO:0005785,signal recognition particle receptor complex
GO:0005786,"signal recognition particle, endoplasmic reticulum targeting"
GO:0005787,signal peptidase complex
GO:0005789,endoplasmic reticulum membrane
GO:0005794,Golgi apparatus
GO:0005798,Golgi-associated vesicle
GO:0005801,cis-Golgi network
GO:0005815,microtubule organizing center
GO:0005835,fatty acid synthase complex
GO:0005839,proteasome core complex
GO:0005840,ribosome
GO:0005850,eukaryotic translation initiation factor 2 complex
GO:0005852,eukaryotic translation initiation factor 3 complex
GO:0005853,eukaryotic translation elongation factor 1 complex
GO:0005856,cytoskeleton
GO:0005871,kinesin complex
GO:0005874,microtubule
GO:0005875,microtubule associated complex
GO:0005887,integral component of plasma membrane
GO:0005891,voltage-gated calcium channel complex
GO:0005942,phosphatidylinositol 3-kinase complex
GO:0005950,anthranilate synthase complex
GO:0005952,cAMP-dependent protein kinase complex
GO:0005956,protein kinase CK2 complex
GO:0005960,glycine cleavage complex
GO:0005964,phosphorylase kinase complex
GO:0005971,ribonucleoside-diphosphate reductase complex
GO:0005975,carbohydrate metabolic process
GO:0005978,glycogen biosynthetic process
GO:0005992,trehalose biosynthetic process
GO:0006003,"fructose 2,6-bisphosphate metabolic process"
GO:0006006,glucose metabolic process
GO:0006007,glucose catabolic process
GO:0006012,galactose metabolic process
GO:0006013,mannose metabolic process
GO:0006014,D-ribose metabolic process
GO:0006021,inositol biosynthetic process
GO:0006044,N-acetylglucosamine metabolic process
GO:0006071,glycerol metabolic process
GO:0006072,glycerol-3-phosphate metabolic process
GO:0006081,cellular aldehyde metabolic process
GO:0006091,generation of precursor metabolites and energy
GO:0006094,gluconeogenesis
GO:0006096,glycolytic process
GO:0006097,glyoxylate cycle
GO:0006098,pentose-phosphate shunt
GO:0006099,tricarboxylic acid cycle
GO:0006106,fumarate metabolic process
GO:0006108,malate metabolic process
GO:0006109,regulation of carbohydrate metabolic process
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone"
GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c"
GO:0006139,nucleobase-containing compound metabolic process
GO:0006164,purine nucleotide biosynthetic process
GO:0006166,purine ribonucleoside salvage
GO:0006177,GMP biosynthetic process
GO:0006183,GTP biosynthetic process
GO:0006188,IMP biosynthetic process
GO:0006189,'de novo' IMP biosynthetic process
GO:0006206,pyrimidine nucleobase metabolic process
GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process
GO:0006213,pyrimidine nucleoside metabolic process
GO:0006221,pyrimidine nucleotide biosynthetic process
GO:0006222,UMP biosynthetic process
GO:0006228,UTP biosynthetic process
GO:0006231,dTMP biosynthetic process
GO:0006233,dTDP biosynthetic process
GO:0006235,dTTP biosynthetic process
GO:0006241,CTP biosynthetic process
GO:0006259,DNA metabolic process
GO:0006260,DNA replication
GO:0006265,DNA topological change
GO:0006268,DNA unwinding involved in DNA replication
GO:0006269,"DNA replication, synthesis of RNA primer"
GO:0006270,DNA replication initiation
GO:0006275,regulation of DNA replication
GO:0006278,RNA-dependent DNA biosynthetic process
GO:0006281,DNA repair
GO:0006284,base-excision repair
GO:0006289,nucleotide-excision repair
