goAcc,goName
GO:0006519,amino acid and derivative metabolic process
GO:0006534,cysteine metabolic process
GO:0006548,histidine catabolic process
GO:0006566,threonine metabolic process
GO:0006573,valine metabolic process
GO:0006826,iron ion transport
GO:0006827,high-affinity iron ion transport
GO:0006855,multidrug transport
GO:0007067,mitosis
GO:0007090,regulation of S phase of mitotic cell cycle
GO:0007242,intracellular signaling cascade
GO:0007585,respiratory gaseous exchange
GO:0007596,blood coagulation
GO:0007600,sensory perception
GO:0008026,ATP-dependent helicase activity
GO:0008037,cell recognition
GO:0008060,ARF GTPase activator activity
GO:0008067,"metabotropic glutamate, GABA-B-like receptor activity"
GO:0008075,receptor guanylate cyclase activity
GO:0008117,sphinganine-1-phosphate aldolase activity
GO:0008131,amine oxidase activity
GO:0008132,pancreatic elastase activity
GO:0008133,collagenase activity
GO:0008134,transcription factor binding
GO:0008158,hedgehog receptor activity
GO:0008159,positive transcription elongation factor activity
GO:0008174,mRNA methyltransferase activity
GO:0008192,RNA guanylyltransferase activity
GO:0008195,phosphatidate phosphatase activity
GO:0008243,plasminogen activator activity
GO:0008247,2-acetyl-1-alkylglycerophosphocholine esterase complex
GO:0008262,importin-alpha export receptor activity
GO:0008272,sulfate transport
GO:0008294,calcium- and calmodulin-responsive adenylate cyclase activity
GO:0008319,prenyl protein specific endopeptidase activity
GO:0008326,site-specific DNA-methyltransferase (cytosine-specific) activity
GO:0008330,protein tyrosine/threonine phosphatase activity
GO:0008336,gamma-butyrobetaine dioxygenase activity
GO:0008338,MAP kinase 1 activity
GO:0008339,MP kinase activity
GO:0008378,galactosyltransferase activity
GO:0008398,sterol 14-demethylase activity
GO:0008415,acyltransferase activity
GO:0008416,"delta5-delta2,4-dienoyl-CoA isomerase activity"
GO:0008417,fucosyltransferase activity
GO:0008422,beta-glucosidase activity
GO:0008430,selenium binding
GO:0008440,inositol trisphosphate 3-kinase activity
GO:0008441,"3'(2'),5'-bisphosphate nucleotidase activity"
GO:0008443,phosphofructokinase activity
GO:0008445,D-aspartate oxidase activity
GO:0008450,O-sialoglycoprotein endopeptidase activity
GO:0008451,X-Pro aminopeptidase activity
GO:0008462,endopeptidase Clp activity
GO:0008464,gamma-glutamyl hydrolase activity
GO:0008467,heparin-glucosamine 3-O-sulfotransferase activity
GO:0008470,isovaleryl-CoA dehydrogenase activity
GO:0008473,ornithine cyclodeaminase activity
GO:0008477,purine nucleosidase activity
GO:0008480,sarcosine dehydrogenase activity
GO:0008481,sphinganine kinase activity
GO:0008508,bile acid:sodium symporter activity
GO:0008518,reduced folate carrier activity
GO:0008532,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity"
GO:0008533,astacin activity
GO:0008538,proteasome activator activity
GO:0008545,JUN kinase kinase activity
GO:0008547,protein-synthesizing GTPase activity
GO:0008549,dynamin GTPase activity
GO:0008565,protein transporter activity
GO:0008567,dynein ATPase activity
GO:0008570,myosin ATPase activity
GO:0008576,vesicle-fusing ATPase activity
GO:0008579,JUN kinase phosphatase activity
GO:0008601,protein phosphatase type 2A regulator activity
GO:0008605,protein kinase CK2 regulator activity
GO:0008607,phosphorylase kinase regulator activity
GO:0008678,2-deoxy-D-gluconate 3-dehydrogenase activity
GO:0008703,5-amino-6-(5-phosphoribosylamino)uracil reductase activity
GO:0008704,5-carboxymethyl-2-hydroxymuconate delta-isomerase activity
GO:0008705,methionine synthase activity
GO:0008717,D-alanyl-D-alanine endopeptidase activity
GO:0008718,D-amino-acid dehydrogenase activity
GO:0008725,DNA-3-methyladenine glycosylase I activity
GO:0008732,L-allo-threonine aldolase activity
GO:0008733,L-arabinose isomerase activity
GO:0008738,L-fuculose-phosphate aldolase activity
GO:0008743,L-threonine 3-dehydrogenase activity
GO:0008750,"NAD(P)+ transhydrogenase (AB-specific) activity"
GO:0008755,O antigen polymerase activity
GO:0008758,"UDP-2,3-diacylglucosamine hydrolase activity"
GO:0008759,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity
GO:0008766,"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity"
GO:0008772,[isocitrate dehydrogenase (NADP+)] kinase activity
GO:0008777,acetylornithine deacetylase activity
GO:0008796,bis(5'-nucleosyl)-tetraphosphatase activity
GO:0008803,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity
GO:0008815,citrate (pro-3S)-lyase activity
GO:0008819,cobinamide kinase activity
GO:0008825,cyclopropane-fatty-acyl-phospholipid synthase activity
GO:0008843,endochitinase activity
GO:0008846,endopeptidase La activity
GO:0008856,exodeoxyribonuclease X activity
GO:0008858,exonuclease VIII activity
GO:0008869,galactonate dehydratase activity
GO:0008875,gluconate dehydrogenase activity
GO:0008878,glucose-1-phosphate adenylyltransferase activity
GO:0008889,glycerophosphodiester phosphodiesterase activity
GO:0008891,glycolate oxidase activity
GO:0008898,homocysteine S-methyltransferase activity
GO:0008905,mannose-phosphate guanylyltransferase activity
GO:0008915,lipid-A-disaccharide synthase activity
GO:0008921,"lipopolysaccharide-1,6-galactosyltransferase activity"
GO:0008933,lytic transglycosylase activity
GO:0008943,glyceraldehyde-3-phosphate dehydrogenase activity
GO:0008944,oligopeptidase A activity
GO:0008945,oligopeptidase B activity
GO:0008951,palmitoleoyl [acyl-carrier-protein]-dependent acyltransferase activity
GO:0008969,phosphohistidine phosphatase activity
GO:0008986,"pyruvate, water dikinase activity"
GO:0008991,serine-type signal peptidase activity
GO:0008997,ribonuclease R activity
GO:0009003,signal peptidase activity
GO:0009004,signal peptidase I activity
GO:0009007,site-specific DNA-methyltransferase (adenine-specific) activity
GO:0009008,DNA-methyltransferase activity
GO:0009042,valine-pyruvate transaminase activity
GO:0009049,aspartic-type signal peptidase activity
GO:0009081,branched chain family amino acid metabolic process
GO:0009186,deoxyribonucleoside diphosphate metabolic process
GO:0009228,thiamin biosynthetic process
GO:0009288,flagellin-based flagellum
GO:0009296,flagellum biogenesis
GO:0009308,amine metabolic process
GO:0009320,phosphoribosylaminoimidazole carboxylase complex
GO:0009332,glutamate-tRNA ligase complex
GO:0009335,holo-[acyl-carrier protein] synthase complex
GO:0009336,sulfate adenylyltransferase complex (ATP)
GO:0009339,glycolate oxidase complex
GO:0009342,glutamate synthase complex (NADPH)
GO:0009345,glycine-tRNA ligase complex
GO:0009346,citrate lyase complex
GO:0009348,ornithine carbamoyltransferase complex
GO:0009351,dihydrolipoamide S-acyltransferase complex
GO:0009354,dihydrolipoamide S-succinyltransferase complex
GO:0009375,ferredoxin hydrogenase complex
GO:0009377,HslUV protease activity
GO:0009383,rRNA (cytosine-C5-967)-methyltransferase activity
GO:0009396,folic acid and derivative biosynthetic process
GO:0009401,phosphoenolpyruvate-dependent sugar phosphotransferase system
GO:0009405,pathogenesis
GO:0009481,aa3-type cytochrome c oxidase
GO:0009482,ba3-type cytochrome c oxidase
GO:0009483,caa3-type cytochrome c oxidase
GO:0009485,cbb3-type cytochrome c oxidase
GO:0009703,nitrate reductase (NADH) activity
GO:0010302,2-oxoglutarate-dependent dioxygenase activity
GO:0015020,glucuronosyltransferase activity
GO:0015072,"phosphatidylinositol 3-kinase, class I, catalyst activity"
GO:0015073,"phosphatidylinositol 3-kinase, class I, regulator activity"
GO:0015137,citrate transmembrane transporter activity
GO:0015238,drug transporter activity
GO:0015321,sodium-dependent phosphate transmembrane transporter activity
GO:0015343,siderophore-iron transmembrane transporter activity
GO:0015462,protein-transmembrane transporting ATPase activity
GO:0015520,tetracycline:hydrogen antiporter activity
GO:0015645,fatty-acid ligase activity
GO:0015904,tetracycline transport
GO:0015922,aspartate oxidase activity
GO:0015923,mannosidase activity
GO:0015924,mannosyl-oligosaccharide mannosidase activity
GO:0015925,galactosidase activity
GO:0015926,glucosidase activity
GO:0015927,trehalase activity
GO:0015928,fucosidase activity
GO:0015929,hexosaminidase activity
GO:0015939,pantothenate metabolic process
GO:0015992,proton transport
GO:0016032,viral reproduction
GO:0016043,cellular component organization and biogenesis
GO:0016051,carbohydrate biosynthetic process
GO:0016160,amylase activity
GO:0016163,nitrogenase activity
GO:0016166,phytoene dehydrogenase activity
GO:0016205,selenocysteine methyltransferase activity
GO:0016207,4-coumarate-CoA ligase activity
GO:0016211,ammonia ligase activity
GO:0016213,linoleoyl-CoA desaturase activity
GO:0016222,"procollagen-proline, 2-oxoglutarate-4-dioxygenase complex"
GO:0016231,beta-N-acetylglucosaminidase activity
GO:0016232,HNK-1 sulfotransferase activity
GO:0016253,UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase activity
GO:0016273,arginine N-methyltransferase activity
GO:0016278,lysine N-methyltransferase activity
GO:0016284,alanine aminopeptidase activity
GO:0016285,cytosol alanyl aminopeptidase activity
GO:0016289,CoA hydrolase activity
GO:0016290,palmitoyl-CoA hydrolase activity
GO:0016291,acyl-CoA thioesterase activity
GO:0016295,myristoyl-[acyl-carrier-protein] hydrolase activity
GO:0016296,palmitoyl-[acyl-carrier-protein] hydrolase activity
GO:0016297,acyl-[acyl-carrier-protein] hydrolase activity
GO:0016308,1-phosphatidylinositol-4-phosphate 5-kinase activity
GO:0016404,15-hydroxyprostaglandin dehydrogenase (NAD+) activity
GO:0016406,carnitine O-acyltransferase activity
GO:0016408,C-acyltransferase activity
GO:0016411,acylglycerol O-acyltransferase activity
GO:0016412,serine O-acyltransferase activity
GO:0016413,O-acetyltransferase activity
GO:0016414,O-octanoyltransferase activity
GO:0016415,octanoyltransferase activity
GO:0016416,O-palmitoyltransferase activity
GO:0016417,S-acyltransferase activity
GO:0016418,S-acetyltransferase activity
GO:0016419,S-malonyltransferase activity
GO:0016420,malonyltransferase activity
GO:0016423,tRNA (guanine) methyltransferase activity
GO:0016424,tRNA (guanosine) methyltransferase activity
GO:0016426,tRNA (adenine)-methyltransferase activity
GO:0016427,tRNA (cytosine)-methyltransferase activity
GO:0016431,tRNA (uridine) methyltransferase activity
GO:0016433,rRNA (adenine) methyltransferase activity
GO:0016434,rRNA (cytosine) methyltransferase activity
GO:0016436,rRNA (uridine) methyltransferase activity
GO:0016439,tRNA-pseudouridine synthase activity
GO:0016454,C-palmitoyltransferase activity
GO:0016455,RNA polymerase II transcription mediator activity
GO:0016465,chaperonin ATPase complex
GO:0016469,proton-transporting two-sector ATPase complex
GO:0016481,negative regulation of transcription
GO:0016512,endothelin-converting enzyme 1 activity
GO:0016563,transcription activator activity
GO:0016564,transcription repressor activity
GO:0016585,chromatin remodeling complex
GO:0016600,flotillin complex
GO:0016629,12-oxophytodienoate reductase activity
GO:0016654,"oxidoreductase activity, acting on NADH or NADPH, disulfide as acceptor"
GO:0016656,monodehydroascorbate reductase (NADH) activity
GO:0016671,"oxidoreductase activity, acting on sulfur group of donors, disulfide as acceptor"
GO:0016688,L-ascorbate peroxidase activity
GO:0016742,"hydroxymethyl-, formyl- and related transferase activity"
GO:0016748,succinyltransferase activity
GO:0016749,N-succinyltransferase activity
GO:0016750,O-succinyltransferase activity
GO:0016752,sinapoyltransferase activity
GO:0016753,O-sinapoyltransferase activity
GO:0016755,"transferase activity, transferring amino-acyl groups"
GO:0016756,glutathione gamma-glutamylcysteinyltransferase activity
GO:0016759,cellulose synthase activity
GO:0016763,"transferase activity, transferring pentosyl groups"
GO:0016769,"transferase activity, transferring nitrogenous groups"
GO:0016774,"phosphotransferase activity, carboxyl group as acceptor"
GO:0016808,proprotein convertase activity
GO:0016812,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides"
GO:0016813,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines"
GO:0016820,"hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances"
GO:0016847,1-aminocyclopropane-1-carboxylate synthase activity
GO:0016849,phosphorus-oxygen lyase activity
GO:0016855,"racemase and epimerase activity, acting on amino acids and derivatives"
GO:0016866,intramolecular transferase activity
GO:0016876,"ligase activity, forming aminoacyl-tRNA and related compounds"
GO:0016882,cyclo-ligase activity
GO:0016906,sterol 3-beta-glucosyltransferase activity
GO:0016908,MAP kinase 2 activity
GO:0016909,SAP kinase activity
GO:0016919,nardilysin activity
GO:0016937,short-branched-chain-acyl-CoA dehydrogenase activity
GO:0016960,class II ribonucleotide reductase activity
GO:0016986,transcription initiation factor activity
GO:0017004,cytochrome complex assembly
GO:0017017,MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0017023,myosin phosphatase complex
GO:0017076,purine nucleotide binding
GO:0017083,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase activity
GO:0017087,mitochondrial processing peptidase complex
GO:0017088,X-Pro dipeptidyl-peptidase activity
GO:0017089,glycolipid transporter activity
GO:0017090,meprin A complex
GO:0017095,heparan sulfate 6-O-sulfotransferase activity
GO:0017099,very-long-chain-acyl-CoA dehydrogenase activity
GO:0017134,fibroblast growth factor binding
GO:0017161,"inositol-1,3,4-trisphosphate 4-phosphatase activity"
GO:0017168,5-oxoprolinase (ATP-hydrolyzing) activity
GO:0017175,IMP-GMP specific 5'-nucleotidase activity
GO:0017183,peptidyl-diphthamide biosynthetic process from peptidyl-histidine
GO:0018030,peptidyl-lysine N6-myristoyltransferase activity
GO:0018031,peptidyl-lysine N6-palmitoyltransferase activity
GO:0018071,"NAD(P)-cysteine ADP-ribosyltransferase activity"
GO:0018110,histone arginine kinase activity
GO:0018121,"NAD(P)-asparagine ADP-ribosyltransferase activity"
GO:0018127,"NAD(P)-serine ADP-ribosyltransferase activity"
GO:0018129,peptidyl-oxazoline dehydrogenase activity
GO:0018136,peptidyl-thiazoline dehydrogenase activity
GO:0018169,ribosomal S6-glutamic acid ligase activity
GO:0018346,protein amino acid prenylation
GO:0018421,UDP-N-acetylglucosamine:serine-protein N-acetylglucosamine-1-phosphotransferase activity
GO:0018422,GDP-mannose:serine-protein mannose-1-phosphotransferase activity
GO:0018423,protein-leucine O-methyltransferase activity
GO:0018446,pinocarveol dehydrogenase activity
GO:0018447,chloral hydrate dehydrogenase activity
GO:0018448,hydroxymethylmethylsilanediol oxidase activity
GO:0018449,1-phenylethanol dehydrogenase activity
GO:0018450,myrtenol dehydrogenase activity
GO:0018451,epoxide dehydrogenase activity
GO:0018452,5-exo-hydroxycamphor dehydrogenase activity
GO:0018453,2-hydroxytetrahydrofuran dehydrogenase activity
GO:0018494,carvone reductase activity
GO:0018495,2-hydroxycyclohexane-1-carboxyl-CoA dehydrogenase activity
GO:0018496,"2,6-dihydroxycyclohexane-1-carboxyl-CoA dehydrogenase activity"
GO:0018497,"1-chloro-2,2-bis(4-chlorophenyl)ethane dehydrogenase activity"
GO:0018498,"2,3-dihydroxy-2,3-dihydro-phenylpropionate dehydrogenase activity"
GO:0018499,"cis-2,3-dihydrodiol DDT dehydrogenase activity"
GO:0018500,"trans-9R,10R-dihydrodiolphenanthrene dehydrogenase activity"
GO:0018501,cis-chlorobenzene dihydrodiol dehydrogenase activity
GO:0018502,"2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase activity"
GO:0018503,"trans-1,2-dihydrodiolphenanthrene dehydrogenase activity"
GO:0018585,fluorene oxygenase activity
GO:0018586,mono-butyltin dioxygenase activity
GO:0018587,limonene 8-monooxygenase activity
GO:0018588,tri-n-butyltin dioxygenase activity
GO:0018589,di-n-butyltin dioxygenase activity
GO:0018590,methylsilanetriol hydroxylase activity
GO:0018591,methyl tertiary butyl ether 3-monooxygenase activity
GO:0018592,4-nitrocatechol 4-monooxygenase activity
GO:0018593,4-chlorophenoxyacetate monooxygenase activity
GO:0018594,tert-butyl alcohol 2-monooxygenase activity
GO:0018595,alpha-pinene monooxygenase activity
GO:0018596,dimethylsilanediol hydroxylase activity
GO:0018597,ammonia monooxygenase activity
GO:0018598,hydroxymethylsilanetriol oxidase activity
GO:0018599,2-hydroxyisobutyrate 3-monooxygenase activity
GO:0018600,alpha-pinene dehydrogenase activity
GO:0018602,"2,4-dichlorophenoxyacetate alpha-ketoglutarate dioxygenase activity"
GO:0018658,salicylate 1-monooxygenase activity
GO:0018685,alkane 1-monooxygenase activity
GO:0018707,1-phenanthrol methyltransferase activity
GO:0018711,benzoyl acetate-CoA thiolase activity
GO:0018712,3-hydroxybutyryl-CoA thiolase activity
GO:0018713,3-ketopimelyl-CoA thiolase activity
GO:0018715,9-phenanthrol UDP-glucuronosyltransferase activity
GO:0018716,1-phenanthrol glycosyltransferase activity
GO:0018717,9-phenanthrol glycosyltransferase activity
GO:0018718,"1,2-dihydroxy-phenanthrene glycosyltransferase activity"
GO:0018719,6-aminohexanoate transaminase activity
GO:0018720,phenol kinase activity
GO:0018721,"trans-9R,10R-dihydrodiolphenanthrene sulfotransferase activity"
GO:0018722,1-phenanthrol sulfotransferase activity
GO:0018723,3-phenanthrol sulfotransferase activity
GO:0018724,4-phenanthrol sulfotransferase activity
GO:0018725,"trans-3,4-dihydrodiolphenanthrene sulfotransferase activity"
GO:0018726,9-phenanthrol sulfotransferase activity
GO:0018727,2-phenanthrol sulfotransferase activity
