goAcc,desc
GO:0000461,"endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000464,"endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000467,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000469,cleavage involved in rRNA processing
GO:0000470,maturation of LSU-rRNA
GO:0000472,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000479,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000480,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
GO:0000492,box C/D snoRNP assembly
GO:0000493,box H/ACA snoRNP assembly
GO:0000494,box C/D RNA 3'-end processing
GO:0000502,proteasome complex
GO:0000506,glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
GO:0000706,meiotic DNA double-strand break processing
GO:0000712,resolution of meiotic recombination intermediates
GO:0000722,telomere maintenance via recombination
GO:0000723,telomere maintenance
GO:0000725,recombinational repair
GO:0000727,double-strand break repair via break-induced replication
GO:0000729,DNA double-strand break processing
GO:0000731,DNA synthesis involved in DNA repair
GO:0000735,removal of nonhomologous ends
GO:0000737,"DNA catabolic process, endonucleolytic"
GO:0000741,karyogamy
GO:0000742,karyogamy involved in conjugation with cellular fusion
GO:0000747,conjugation with cellular fusion
GO:0000749,response to pheromone triggering conjugation with cellular fusion
GO:0000750,pheromone-dependent signal transduction involved in conjugation with cellular fusion
GO:0000754,adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion
GO:0000776,kinetochore
GO:0000779,"condensed chromosome, centromeric region"
GO:0000781,"chromosome, telomeric region"
GO:0000791,euchromatin
GO:0000792,heterochromatin
GO:0000793,condensed chromosome
GO:0000794,condensed nuclear chromosome
GO:0000795,synaptonemal complex
GO:0000796,condensin complex
GO:0000806,Y chromosome
GO:0000811,GINS complex
GO:0000812,Swr1 complex
GO:0000813,ESCRT I complex
GO:0000814,ESCRT II complex
GO:0000815,ESCRT III complex
GO:0000819,sister chromatid segregation
GO:0000820,regulation of glutamine family amino acid metabolic process
GO:0000821,regulation of arginine metabolic process
GO:0000827,"inositol-1,3,4,5,6-pentakisphosphate kinase activity"
GO:0000829,inositol heptakisphosphate kinase activity
GO:0000832,inositol hexakisphosphate 5-kinase activity
GO:0000837,Doa10p ubiquitin ligase complex
GO:0000839,Hrd1p ubiquitin ligase ERAD-L complex
GO:0000902,cell morphogenesis
GO:0000906,"6,7-dimethyl-8-ribityllumazine synthase activity"
GO:0000911,cytokinesis by cell plate formation
GO:0000912,assembly of actomyosin apparatus involved in cytokinesis
GO:0000914,phragmoplast assembly
GO:0000916,actomyosin contractile ring contraction
GO:0000917,division septum assembly
GO:0000920,septum digestion after cytokinesis
GO:0000923,equatorial microtubule organizing center
GO:0000930,gamma-tubulin complex
GO:0000931,gamma-tubulin large complex
GO:0000932,P-body
GO:0000935,division septum
GO:0000938,GARP complex
GO:0000956,nuclear-transcribed mRNA catabolic process
GO:0000957,mitochondrial RNA catabolic process
GO:0000959,mitochondrial RNA metabolic process
GO:0000963,mitochondrial RNA processing
GO:0000966,RNA 5'-end processing
GO:0000967,rRNA 5'-end processing
GO:0000972,transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0000973,posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0000974,Prp19 complex
GO:0000976,transcription cis-regulatory region binding
GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0000987,cis-regulatory region sequence-specific DNA binding
GO:0000993,RNA polymerase II complex binding
GO:0000994,RNA polymerase III core binding
GO:0000995,RNA polymerase III general transcription initiation factor activity
GO:0001006,RNA polymerase III type 3 promoter sequence-specific DNA binding
GO:0001046,core promoter sequence-specific DNA binding
GO:0001054,RNA polymerase I activity
GO:0001055,RNA polymerase II activity
GO:0001056,RNA polymerase III activity
GO:0001067,transcription regulatory region nucleic acid binding
GO:0001099,basal RNA polymerase II transcription machinery binding
GO:0001100,negative regulation of exit from mitosis
GO:0001101,response to acid chemical
GO:0001109,promoter clearance during DNA-templated transcription
GO:0001120,protein-DNA complex remodeling
GO:0001139,RNA polymerase II complex recruiting activity
GO:0001164,RNA polymerase I core promoter sequence-specific DNA binding
GO:0001172,"transcription, RNA-templated"
GO:0001188,RNA polymerase I preinitiation complex assembly
GO:0001193,maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter
GO:0001207,histone displacement
GO:0001216,DNA-binding transcription activator activity
GO:0001217,DNA-binding transcription repressor activity
GO:0001222,transcription corepressor binding
GO:0001223,transcription coactivator binding
GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific"
GO:0001400,mating projection base
GO:0001401,SAM complex
GO:0001402,signal transduction involved in filamentous growth
GO:0001403,invasive growth in response to glucose limitation
GO:0001405,"PAM complex, Tim23 associated import motor"
GO:0001409,guanine nucleotide transmembrane transporter activity
GO:0001501,skeletal system development
GO:0001503,ossification
GO:0001510,RNA methylation
GO:0001520,outer dense fiber
GO:0001525,angiogenesis
GO:0001533,cornified envelope
GO:0001534,radial spoke
GO:0001536,radial spoke stalk
GO:0001540,amyloid-beta binding
GO:0001541,ovarian follicle development
GO:0001556,oocyte maturation
GO:0001558,regulation of cell growth
GO:0001561,fatty acid alpha-oxidation
GO:0001568,blood vessel development
GO:0001570,vasculogenesis
GO:0001578,microtubule bundle formation
GO:0001649,osteoblast differentiation
GO:0001650,fibrillar center
GO:0001653,peptide receptor activity
GO:0001654,eye development
GO:0001659,temperature homeostasis
GO:0001664,G protein-coupled receptor binding
GO:0001666,response to hypoxia
GO:0001667,ameboidal-type cell migration
GO:0001669,acrosomal vesicle
GO:0001672,regulation of chromatin assembly or disassembly
GO:0001673,male germ cell nucleus
GO:0001676,long-chain fatty acid metabolic process
GO:0001678,cellular glucose homeostasis
GO:0001701,in utero embryonic development
GO:0001702,gastrulation with mouth forming second
GO:0001707,mesoderm formation
GO:0001708,cell fate specification
GO:0001716,L-amino-acid oxidase activity
GO:0001726,ruffle
GO:0001727,lipid kinase activity
GO:0001731,formation of translation preinitiation complex
GO:0001732,formation of cytoplasmic translation initiation complex
GO:0001733,galactosylceramide sulfotransferase activity
GO:0001736,establishment of planar polarity
GO:0001750,photoreceptor outer segment
GO:0001755,neural crest cell migration
GO:0001756,somitogenesis
GO:0001764,neuron migration
GO:0001775,cell activation
GO:0001780,neutrophil homeostasis
GO:0001782,B cell homeostasis
GO:0001786,phosphatidylserine binding
GO:0001818,negative regulation of cytokine production
GO:0001819,positive regulation of cytokine production
GO:0001822,kidney development
GO:0001823,mesonephros development
GO:0001833,inner cell mass cell proliferation
GO:0001834,trophectodermal cell proliferation
GO:0001835,blastocyst hatching
GO:0001843,neural tube closure
GO:0001845,phagolysosome assembly
GO:0001878,response to yeast
GO:0001881,receptor recycling
GO:0001885,endothelial cell development
GO:0001889,liver development
GO:0001890,placenta development
GO:0001891,phagocytic cup
GO:0001895,retina homeostasis
GO:0001917,photoreceptor inner segment
GO:0001932,regulation of protein phosphorylation
GO:0001933,negative regulation of protein phosphorylation
GO:0001934,positive regulation of protein phosphorylation
GO:0001937,negative regulation of endothelial cell proliferation
GO:0001938,positive regulation of endothelial cell proliferation
GO:0001942,hair follicle development
GO:0001947,heart looping
GO:0001955,blood vessel maturation
GO:0001956,positive regulation of neurotransmitter secretion
GO:0001958,endochondral ossification
GO:0001965,G-protein alpha-subunit binding
GO:0001974,blood vessel remodeling
GO:0001975,response to amphetamine
GO:0002002,regulation of angiotensin levels in blood
GO:0002020,protease binding
GO:0002021,response to dietary excess
GO:0002026,regulation of the force of heart contraction
GO:0002027,regulation of heart rate
GO:0002039,p53 binding
GO:0002040,sprouting angiogenesis
GO:0002052,positive regulation of neuroblast proliferation
GO:0002064,epithelial cell development
GO:0002082,regulation of oxidative phosphorylation
GO:0002083,4-hydroxybenzoate decaprenyltransferase activity
GO:0002084,protein depalmitoylation
GO:0002088,lens development in camera-type eye
GO:0002098,tRNA wobble uridine modification
GO:0002100,tRNA wobble adenosine to inosine editing
GO:0002101,tRNA wobble cytosine modification
GO:0002109,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA,5S)"
GO:0002118,aggressive behavior
GO:0002119,nematode larval development
GO:0002128,tRNA nucleoside ribose methylation
GO:0002134,UTP binding
GO:0002143,tRNA wobble position uridine thiolation
GO:0002155,regulation of thyroid hormone mediated signaling pathway
GO:0002158,osteoclast proliferation
GO:0002161,aminoacyl-tRNA editing activity
GO:0002164,larval development
GO:0002177,manchette
GO:0002181,cytoplasmic translation
GO:0002182,cytoplasmic translational elongation
GO:0002188,translation reinitiation
GO:0002189,ribose phosphate diphosphokinase complex
GO:0002191,cap-dependent translational initiation
GO:0002196,Ser-tRNA(Ala) hydrolase activity
GO:0002221,pattern recognition receptor signaling pathway
GO:0002224,toll-like receptor signaling pathway
GO:0002225,positive regulation of antimicrobial peptide production
GO:0002229,defense response to oomycetes
GO:0002230,positive regulation of defense response to virus by host
GO:0002232,leukocyte chemotaxis involved in inflammatory response
GO:0002233,leukocyte chemotaxis involved in immune response
GO:0002237,response to molecule of bacterial origin
GO:0002239,response to oomycetes
GO:0002244,hematopoietic progenitor cell differentiation
GO:0002246,wound healing involved in inflammatory response
GO:0002253,activation of immune response
GO:0002262,myeloid cell homeostasis
GO:0002281,macrophage activation involved in immune response
GO:0002353,plasma kallikrein-kinin cascade
GO:0002376,immune system process
GO:0002395,immune response in nasopharyngeal-associated lymphoid tissue
GO:0002437,inflammatory response to antigenic stimulus
GO:0002455,humoral immune response mediated by circulating immunoglobulin
GO:0002520,immune system development
GO:0002639,positive regulation of immunoglobulin production
GO:0002688,regulation of leukocyte chemotaxis
GO:0002699,positive regulation of immune effector process
GO:0002758,innate immune response-activating signal transduction
GO:0002759,regulation of antimicrobial humoral response
GO:0002769,natural killer cell inhibitory signaling pathway
GO:0002862,negative regulation of inflammatory response to antigenic stimulus
GO:0002903,negative regulation of B cell apoptotic process
GO:0002926,tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation
GO:0002931,response to ischemia
GO:0002938,tRNA guanine ribose methylation
GO:0002943,tRNA dihydrouridine synthesis
GO:0002949,tRNA threonylcarbamoyladenosine modification
GO:0002953,5'-deoxynucleotidase activity
GO:0003006,developmental process involved in reproduction
GO:0003007,heart morphogenesis
GO:0003008,system process
GO:0003009,skeletal muscle contraction
GO:0003056,regulation of vascular associated smooth muscle contraction
GO:0003073,regulation of systemic arterial blood pressure
GO:0003085,negative regulation of systemic arterial blood pressure
GO:0003091,renal water homeostasis
GO:0003093,regulation of glomerular filtration
GO:0003094,glomerular filtration
GO:0003181,atrioventricular valve morphogenesis
GO:0003187,ventriculo bulbo valve morphogenesis
GO:0003228,atrial cardiac muscle tissue development
GO:0003231,cardiac ventricle development
GO:0003313,heart rudiment development
GO:0003318,cell migration to the midline involved in heart development
GO:0003323,type B pancreatic cell development
GO:0003341,cilium movement
GO:0003351,epithelial cilium movement involved in extracellular fluid movement
GO:0003352,regulation of cilium movement
GO:0003356,regulation of cilium beat frequency
GO:0003376,sphingosine-1-phosphate receptor signaling pathway
GO:0003384,apical constriction involved in gastrulation
GO:0003401,axis elongation
GO:0003407,neural retina development
GO:0003688,DNA replication origin binding
GO:0003690,double-stranded DNA binding
GO:0003691,double-stranded telomeric DNA binding
GO:0003714,transcription corepressor activity
GO:0003726,double-stranded RNA adenosine deaminase activity
GO:0003727,single-stranded RNA binding
GO:0003729,mRNA binding
GO:0003785,actin monomer binding
GO:0003786,actin lateral binding
GO:0003796,lysozyme activity
GO:0003839,gamma-glutamylcyclotransferase activity
GO:0003842,1-pyrroline-5-carboxylate dehydrogenase activity
GO:0003859,3-hydroxybutyryl-CoA dehydratase activity
GO:0003860,3-hydroxyisobutyryl-CoA hydrolase activity
GO:0003868,4-hydroxyphenylpyruvate dioxygenase activity
GO:0003871,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity
GO:0003873,6-phosphofructo-2-kinase activity
GO:0003877,ATP adenylyltransferase activity
GO:0003882,CDP-diacylglycerol-serine O-phosphatidyltransferase activity
GO:0003884,D-amino-acid oxidase activity
GO:0003953,"NAD+ nucleosidase activity"
GO:0003955,"NAD(P)H dehydrogenase (quinone) activity"
GO:0003962,cystathionine gamma-synthase activity
GO:0003968,RNA-directed 5'-3' RNA polymerase activity
GO:0003974,UDP-N-acetylglucosamine 4-epimerase activity
GO:0003986,acetyl-CoA hydrolase activity
GO:0004031,aldehyde oxidase activity
GO:0004039,allophanate hydrolase activity
GO:0004040,amidase activity
GO:0004062,aryl sulfotransferase activity
GO:0004064,arylesterase activity
GO:0004075,biotin carboxylase activity
GO:0004082,bisphosphoglycerate mutase activity
GO:0004100,chitin synthase activity
GO:0004111,creatine kinase activity
GO:0004115,"3',5'-cyclic-AMP phosphodiesterase activity"
GO:0004132,dCMP deaminase activity
GO:0004146,dihydrofolate reductase activity
GO:0004150,dihydroneopterin aldolase activity
GO:0004161,dimethylallyltranstransferase activity
GO:0004168,dolichol kinase activity
GO:0004180,carboxypeptidase activity
GO:0004305,ethanolamine kinase activity
GO:0004311,farnesyltranstransferase activity
GO:0004317,3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity
GO:0004319,"enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific) activity"
GO:0004321,fatty-acyl-CoA synthase activity
GO:0004331,"fructose-2,6-bisphosphate 2-phosphatase activity"
GO:0004337,geranyltranstransferase activity
GO:0004377,"GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity"
GO:0004381,fucosylgalactoside 3-alpha-galactosyltransferase activity
GO:0004438,phosphatidylinositol-3-phosphatase activity
GO:0004471,malate dehydrogenase (decarboxylating) (NAD+) activity
GO:0004477,methenyltetrahydrofolate cyclohydrolase activity
GO:0004482,mRNA (guanine-N7-)-methyltransferase activity
GO:0004488,methylenetetrahydrofolate dehydrogenase (NADP+) activity
GO:0004490,methylglutaconyl-CoA hydratase activity
GO:0004493,methylmalonyl-CoA epimerase activity
GO:0004506,squalene monooxygenase activity
GO:0004515,nicotinate-nucleotide adenylyltransferase activity
GO:0004517,nitric-oxide synthase activity
GO:0004520,endodeoxyribonuclease activity
GO:0004525,ribonuclease III activity
GO:0004526,ribonuclease P activity
GO:0004536,deoxyribonuclease activity
GO:0004555,"alpha,alpha-trehalase activity"
GO:0004560,alpha-L-fucosidase activity
GO:0004565,beta-galactosidase activity
GO:0004595,pantetheine-phosphate adenylyltransferase activity
GO:0004610,phosphoacetylglucosamine mutase activity
GO:0004645,"1,4-alpha-oligoglucan phosphorylase activity"
GO:0004650,polygalacturonase activity
GO:0004651,polynucleotide 5'-phosphatase activity
GO:0004660,protein farnesyltransferase activity
GO:0004686,elongation factor-2 kinase activity
GO:0004712,protein serine/threonine/tyrosine kinase activity
GO:0004714,transmembrane receptor protein tyrosine kinase activity
GO:0004737,pyruvate decarboxylase activity
GO:0004738,pyruvate dehydrogenase activity
GO:0004754,"saccharopine dehydrogenase (NAD+, L-lysine-forming) activity"
GO:0004767,sphingomyelin phosphodiesterase activity
GO:0004803,transposase activity
GO:0004810,tRNA adenylyltransferase activity
GO:0004839,ubiquitin activating enzyme activity
GO:0004843,thiol-dependent deubiquitinase
GO:0004857,enzyme inhibitor activity
GO:0004860,protein kinase inhibitor activity
GO:0004861,cyclin-dependent protein serine/threonine kinase inhibitor activity
GO:0004864,protein phosphatase inhibitor activity
GO:0004865,protein serine/threonine phosphatase inhibitor activity
GO:0004995,tachykinin receptor activity
GO:0005000,vasopressin receptor activity
GO:0005034,osmosensor activity
GO:0005044,scavenger receptor activity
GO:0005048,signal sequence binding
GO:0005049,nuclear export signal receptor activity
GO:0005052,peroxisome matrix targeting signal-1 binding
GO:0005053,peroxisome matrix targeting signal-2 binding
GO:0005078,MAP-kinase scaffold activity
GO:0005080,protein kinase C binding
GO:0005092,GDP-dissociation inhibitor activity
GO:0005095,GTPase inhibitor activity
GO:0005102,signaling receptor binding
GO:0005113,patched binding
GO:0005119,smoothened binding
GO:0005158,insulin receptor binding
GO:0005178,integrin binding
GO:0005184,neuropeptide hormone activity
GO:0005185,neurohypophyseal hormone activity
GO:0005186,pheromone activity
GO:0005200,structural constituent of cytoskeleton
GO:0005201,extracellular matrix structural constituent
GO:0005219,ryanodine-sensitive calcium-release channel activity
GO:0005227,calcium activated cation channel activity
GO:0005229,intracellular calcium activated chloride channel activity
GO:0005242,inward rectifier potassium channel activity
GO:0005244,voltage-gated ion channel activity
GO:0005246,calcium channel regulator activity
GO:0005261,cation channel activity
GO:0005262,calcium channel activity
GO:0005310,dicarboxylic acid transmembrane transporter activity
GO:0005313,L-glutamate transmembrane transporter activity
GO:0005315,inorganic phosphate transmembrane transporter activity
GO:0005324,long-chain fatty acid transporter activity
GO:0005344,oxygen carrier activity
GO:0005345,purine nucleobase transmembrane transporter activity
GO:0005346,purine ribonucleotide transmembrane transporter activity
GO:0005347,ATP transmembrane transporter activity
GO:0005350,pyrimidine nucleobase transmembrane transporter activity
GO:0005367,myo-inositol:sodium symporter activity
GO:0005372,water transmembrane transporter activity
GO:0005384,manganese ion transmembrane transporter activity
GO:0005385,zinc ion transmembrane transporter activity
GO:0005412,glucose:sodium symporter activity
GO:0005436,sodium:phosphate symporter activity
GO:0005457,GDP-fucose transmembrane transporter activity
GO:0005458,GDP-mannose transmembrane transporter activity
GO:0005459,UDP-galactose transmembrane transporter activity
GO:0005460,UDP-glucose transmembrane transporter activity
GO:0005469,succinate:fumarate antiporter activity
GO:0005476,carnitine:acyl carnitine antiporter activity
GO:0005483,soluble NSF attachment protein activity
GO:0005504,fatty acid binding
GO:0005516,calmodulin binding
GO:0005518,collagen binding
GO:0005523,tropomyosin binding
GO:0005528,FK506 binding
GO:0005536,glucose binding
GO:0005543,phospholipid binding
GO:0005544,calcium-dependent phospholipid binding
GO:0005546,"phosphatidylinositol-4,5-bisphosphate binding"
GO:0005547,"phosphatidylinositol-3,4,5-trisphosphate binding"
GO:0005548,phospholipid transporter activity
GO:0005549,odorant binding
GO:0005581,collagen trimer
GO:0005604,basement membrane
GO:0005615,extracellular space
GO:0005618,cell wall
GO:0005619,ascospore wall
GO:0005628,prospore membrane
GO:0005635,nuclear envelope
GO:0005637,nuclear inner membrane
GO:0005640,nuclear outer membrane
GO:0005652,nuclear lamina
GO:0005654,nucleoplasm
GO:0005656,nuclear pre-replicative complex
GO:0005657,replication fork
GO:0005666,RNA polymerase III complex
GO:0005674,transcription factor TFIIF complex
GO:0005675,transcription factor TFIIH holo complex
GO:0005682,U5 snRNP
GO:0005683,U7 snRNP
GO:0005684,U2-type spliceosomal complex
GO:0005685,U1 snRNP
GO:0005686,U2 snRNP
GO:0005687,U4 snRNP
GO:0005688,U6 snRNP
GO:0005689,U12-type spliceosomal complex
GO:0005697,telomerase holoenzyme complex
GO:0005700,polytene chromosome
GO:0005705,polytene chromosome interband
GO:0005721,pericentric heterochromatin
GO:0005729,2-micrometer circle DNA
GO:0005736,RNA polymerase I complex
GO:0005745,m-AAA complex
GO:0005747,mitochondrial respiratory chain complex I
GO:0005750,mitochondrial respiratory chain complex III
GO:0005751,mitochondrial respiratory chain complex IV
GO:0005753,mitochondrial proton-transporting ATP synthase complex
GO:0005762,mitochondrial large ribosomal subunit
GO:0005765,lysosomal membrane
GO:0005768,endosome
GO:0005769,early endosome
GO:0005770,late endosome
GO:0005771,multivesicular body
GO:0005774,vacuolar membrane
GO:0005775,vacuolar lumen
GO:0005776,autophagosome
GO:0005782,peroxisomal matrix
GO:0005784,Sec61 translocon complex
GO:0005788,endoplasmic reticulum lumen
GO:0005791,rough endoplasmic reticulum
GO:0005793,endoplasmic reticulum-Golgi intermediate compartment
GO:0005795,Golgi stack
GO:0005797,Golgi medial cisterna
GO:0005802,trans-Golgi network
GO:0005811,lipid droplet
GO:0005813,centrosome
GO:0005814,centriole
GO:0005816,spindle pole body
GO:0005819,spindle
GO:0005823,central plaque of spindle pole body
GO:0005825,half bridge of spindle pole body
GO:0005829,cytosol
GO:0005832,chaperonin-containing T-complex
GO:0005838,proteasome regulatory particle
GO:0005844,polysome
GO:0005845,mRNA cap binding complex
GO:0005846,nuclear cap binding complex
GO:0005847,mRNA cleavage and polyadenylation specificity factor complex
GO:0005851,eukaryotic translation initiation factor 2B complex
GO:0005854,nascent polypeptide-associated complex
GO:0005858,axonemal dynein complex
GO:0005868,cytoplasmic dynein complex
GO:0005869,dynactin complex
GO:0005876,spindle microtubule
GO:0005880,nuclear microtubule
GO:0005882,intermediate filament
GO:0005884,actin filament
GO:0005885,Arp2/3 protein complex
GO:0005886,plasma membrane
GO:0005901,caveola
GO:0005902,microvillus
GO:0005903,brush border
GO:0005905,clathrin-coated pit
GO:0005911,cell-cell junction
GO:0005912,adherens junction
GO:0005915,zonula adherens
GO:0005923,bicellular tight junction
GO:0005925,focal adhesion
GO:0005929,cilium
GO:0005930,axoneme
GO:0005933,cellular bud
GO:0005934,cellular bud tip
GO:0005935,cellular bud neck
