category,detected_m,significant_m,clu1_m,clu2_m,clu3_m,clu4_m,down_m,up_m,total_detected_m,total_sig_m,total_down_m,total_up_m,total_clu1_m,total_clu2_m,total_clu3_m,total_clu4_m,p.val_sig_vs_det_m,p.val_down_vs_sig_m,p.val_up_vs_sig_m,p.val_clu1_vs_sig_m,p.val_clu2_vs_sig_m,p.val_clu3_vs_sig_m,p.val_clu4_vs_sig_m,p.adj_sig_vs_det_m,p.adj_down_vs_sig_m,p.adj_up_vs_sig_m,p.adj_clu1_vs_sig_m,p.adj_clu2_vs_sig_m,p.adj_clu3_vs_sig_m,p.adj_clu4_vs_sig_m,test_sig_vs_det_m,test_down_vs_sig_m,test_up_vs_sig_m,test_clu1_vs_sig_m,test_clu2_vs_sig_m,test_clu3_vs_sig_m,test_clu4_vs_sig_m,FIGURE_m,significant_s,clu1_s,clu2_s,clu3_s,clu4_s,down_s,up_s,total_sig_s,total_down_s,total_up_s,total_clu1_s,total_clu2_s,total_clu3_s,total_clu4_s,p.val_sig_vs_det_s,p.val_down_vs_sig_s,p.val_up_vs_sig_s,p.val_clu1_vs_sig_s,p.val_clu2_vs_sig_s,p.val_clu3_vs_sig_s,p.val_clu4_vs_sig_s,p.adj_sig_vs_det_s,p.adj_down_vs_sig_s,p.adj_up_vs_sig_s,p.adj_clu1_vs_sig_s,p.adj_clu2_vs_sig_s,p.adj_clu3_vs_sig_s,p.adj_clu4_vs_sig_s,test_sig_vs_det_s,test_down_vs_sig_s,test_up_vs_sig_s,test_clu1_vs_sig_s,test_clu2_vs_sig_s,test_clu3_vs_sig_s,test_clu4_vs_sig_s,FIGURE_s
Extracellular structures,18,3,1,0,0,2,1,2,2903,454,191,263,80,111,135,128,0.24425638990739332,0.4247360971946153,0.4247360971946153,0.3601630753716274,0.4303106704074897,0.34592709164611796,0.1710251798143237,0.24425638990739332,0.46166967086371224,0.46166967086371224,0.47389878338372027,0.48898939819032927,0.41181796624537853,0.23753497196433845,NS,NS,NS,NS,NS,NS,NS,Not in figure,1,1,0,0,0,1,0,340,129,211,62,67,93,118,0.23721235579511799,0.3794117647058824,0.3794117647058824,0.18235294117647058,0.8029411764705883,0.726470588235294,0.6529411764705882,0.23721235579511799,0.4576609404823876,0.4576609404823876,0.38930600492031764,0.912433155080214,0.8255347593582887,0.7419786096256685,NS,NS,NS,NS,NS,NS,NS,Not in figure
Function unknown,182,19,4,0,6,9,4,15,2903,454,191,263,80,111,135,128,0.010991279295247326,0.03186007532872734,0.03186007532872734,0.20845416701852337,0.004284084192506657,0.19499274324454838,0.03621907939063119,0.0343477477976479,0.08850020924646483,0.08850020924646483,0.35693874126126623,0.05355105240633321,0.27082325450631717,0.09054769847657797,UNDER,NS,NS,NS,NS,NS,NS,In figure,8,1,1,2,4,2,6,340,129,211,62,67,93,118,2.72895047110615e-4,0.23105035869743587,0.23105035869743587,0.3588641954502587,0.3410575987648466,0.31134250600940266,0.18541026785130582,0.0016738858897050921,0.36101618546474357,0.36101618546474357,0.5277414638974394,0.47369110939562026,0.40966119211763513,0.27266215860486154,UNDER,NS,NS,NS,NS,NS,NS,In figure
General function prediction only,386,55,9,7,24,15,16,39,2903,454,191,263,80,111,135,128,0.04439569931272967,0.0132618571017669,0.0132618571017669,0.14781011202033761,0.011988163457317721,0.007687494236972728,0.12619331814489934,0.07927803448701727,0.0648142629867726,0.0648142629867726,0.33593207277349463,0.09990136214431436,0.07540611614143562,0.2103221969081656,NS,NS,NS,NS,NS,NS,NS,Not in figure,44,8,3,17,16,11,33,340,129,211,62,67,93,118,0.06696922340144504,0.022042222939088075,0.022042222939088075,0.16525127840626364,0.009276318724119563,0.029180357110734245,0.1293614261721108,0.11161537233574173,0.11021111469544037,0.11021111469544037,0.38930600492031764,0.11595398405149454,0.2042191217945986,0.24877197340790538,NS,NS,NS,NS,NS,NS,NS,Not in figure
Inorganic ion transport and metabolism,59,12,3,4,5,0,7,5,2903,454,191,263,80,111,135,128,0.08115087216280403,0.12018042959043834,0.12018042959043834,0.21279416465329207,0.1895899123029226,0.15653602957975074,0.0177271568833472,0.11303732676618189,0.2503758949800799,0.2503758949800799,0.35693874126126623,0.3396858900840988,0.2361999659378581,0.07973157670322431,NS,NS,NS,NS,NS,NS,NS,Not in figure,6,1,2,3,0,3,3,340,129,211,62,67,93,118,0.159613254448627,0.26282830356231784,0.26282830356231784,0.40313503501099585,0.24387388825034903,0.1568667893554101,0.07566917002192829,0.19001577910550835,0.38651221112105566,0.38651221112105566,0.530440835540784,0.4700151830644559,0.2830390718696506,0.19506141040026767,NS,NS,NS,NS,NS,NS,NS,Not in figure
"Intracellular trafficking, secretion, and vesicular transport",165,12,6,4,0,2,10,2,2903,454,191,263,80,111,135,128,4.734937115944239e-4,0.003492039820138442,0.003492039820138442,0.007935597232093028,0.1895899123029226,0.0136000207376288,0.19107289242029013,0.0023674685579721196,0.021825248875865264,0.021825248875865264,0.09919496540116285,0.3396858900840988,0.07825738399400248,0.2514117005530134,UNDER,OVER,UNDER,NS,NS,NS,NS,In figure,5,4,0,0,1,4,1,340,129,211,62,67,93,118,3.4779428840348066e-5,0.063191972507208,0.063191972507208,0.004218665516264549,0.33132361585527204,0.20009201183569048,0.31615464116251923,2.8982857366956726e-4,0.1956987629864221,0.1956987629864221,0.035155545968871244,0.47369110939562026,0.3261554777986433,0.41599294889805166,UNDER,NS,NS,OVER,NS,NS,NS,In figure
Lipid transport and metabolism,156,27,9,10,7,1,19,8,2903,454,191,263,80,111,135,128,0.07321020786539759,0.0015810123077661577,0.0015810123077661577,0.021336135329251178,0.053091678720748124,0.1606159768377435,0.0010952278116366787,0.11303732676618189,0.013175102564717982,0.013175102564717982,0.13335084580781986,0.2212153280031172,0.2361999659378581,0.013690347645458484,NS,OVER,UNDER,NS,NS,NS,UNDER,In figure,19,9,4,5,1,13,6,340,129,211,62,67,93,118,0.09806316023636019,0.004350918019465941,0.004350918019465941,0.002119691114299135,0.22379944093092402,0.2087395057911317,0.002522819900770847,0.13619883366161137,0.09344368031448745,0.09344368031448745,0.035155545968871244,0.4700151830644559,0.3261554777986433,0.021023499173090394,NS,NS,NS,OVER,NS,NS,UNDER,Not in figure
Nuclear structure,51,1,0,0,0,1,0,1,2903,454,191,263,80,111,135,128,0.0015205833058818587,0.579295154185022,0.579295154185022,0.8237885462555067,0.7555066079295154,0.7026431718061674,0.2819383259911894,0.005430654663863782,0.6034324522760646,0.6034324522760646,0.8581130690161528,0.7869860499265786,0.7319199706314244,0.3356408642752255,UNDER,NS,NS,NS,NS,NS,NS,In figure,0,0,0,0,0,0,0,340,129,211,62,67,93,118,0.0016772902417480277,1,1,1,1,1,1,0.005990322291957242,1,1,1,1,1,1,UNDER,NS,NS,NS,NS,NS,NS,In figure
Nucleotide transport and metabolism,67,15,1,4,2,8,5,10,2903,454,191,263,80,111,135,128,0.040391245455305314,0.16975883511191062,0.16975883511191062,0.1730253390290901,0.2271248482649947,0.09246817296565842,0.0239533162694443,0.0776754720294333,0.29692099754764856,0.29692099754764856,0.35693874126126623,0.3775829682240094,0.17782340954934311,0.07973157670322431,NS,NS,NS,NS,NS,NS,NS,Not in figure,14,1,3,1,9,4,10,340,129,211,62,67,93,118,0.01135163805050714,0.17712949459430025,0.17712949459430025,0.18385849219569972,0.2546162356977602,0.05718135410248761,0.015913868966531148,0.02771557916374675,0.36101618546474357,0.36101618546474357,0.38930600492031764,0.4700151830644559,0.2042191217945986,0.07956934483265574,OVER,NS,NS,NS,NS,NS,NS,In figure
"Posttranslational modification, protein turnover, chaperones",351,47,6,15,21,5,21,26,2903,454,191,263,80,111,135,128,0.02988003537980829,0.11441111899747917,0.11441111899747917,0.11348732497306017,0.06263072398413358,0.009048733936972274,0.001711214828968525,0.07470008844952072,0.2503758949800799,0.2503758949800799,0.2887110030390513,0.22368115708619138,0.07540611614143562,0.01426012357473771,NS,NS,NS,NS,NS,NS,UNDER,Not in figure,30,5,10,12,3,15,15,340,129,211,62,67,93,118,0.010345008796316274,0.05662902377477359,0.05662902377477359,0.19503565109561513,0.029756989671362328,0.045502713043390576,0.0011937902918069704,0.02771557916374675,0.1956987629864221,0.1956987629864221,0.38930600492031764,0.24797491392801943,0.2042191217945986,0.01492237864758713,UNDER,NS,NS,NS,NS,NS,UNDER,In figure
"Replication, recombination and repair",47,3,0,0,3,0,0,3,2903,454,191,263,80,111,135,128,0.034177002355049675,0.1934661803975472,0.1934661803975472,0.5582527668260225,0.4303106704074897,0.02588199316293777,0.36927803958432365,0.07767500535238563,0.3022909068711675,0.3022909068711675,0.6645866271738363,0.48898939819032927,0.10784163817890738,0.4196341358912769,NS,NS,NS,NS,NS,NS,NS,Not in figure,1,0,0,1,0,0,1,340,129,211,62,67,93,118,0.017592485456759607,0.6205882352941177,0.6205882352941177,0.8176470588235295,0.8029411764705883,0.27352941176470585,0.6529411764705882,0.03537439993343377,0.7052139037433156,0.7052139037433156,0.9291443850267381,0.912433155080214,0.37990196078431365,0.7419786096256685,UNDER,NS,NS,NS,NS,NS,NS,In figure
RNA processing and modification,127,18,0,3,3,12,3,15,2903,454,191,263,80,111,135,128,0.09229863747256276,0.015555423116825423,0.015555423116825423,0.028343702910544655,0.17850658831046956,0.1061563494624831,5.066577471790816e-4,0.1214455756217931,0.0648142629867726,0.0648142629867726,0.14171851455272327,0.3396858900840988,0.18956490975443413,0.01266644367947704,NS,NS,NS,NS,NS,NS,OVER,Not in figure,17,0,2,0,15,2,15,340,129,211,62,67,93,118,0.08850660735979018,0.013670551110418209,0.013670551110418209,0.02974574416543657,0.19632662494485226,0.0037382575863628563,4.3716349286764425e-6,0.13619883366161137,0.09344368031448745,0.09344368031448745,0.1614547977028154,0.4700151830644559,0.046728219829535705,1.0929087321691106e-4,NS,NS,NS,NS,NS,UNDER,OVER,Not in figure
"Secondary metabolites biosynthesis, transport and catabolism",45,6,2,2,2,0,4,2,2903,454,191,263,80,111,135,128,0.1577746139664724,0.15733561214012157,0.15733561214012157,0.21546549652628932,0.2940577018700755,0.32551131343356987,0.13529492659209066,0.16434855621507544,0.29692099754764856,0.29692099754764856,0.35693874126126623,0.4014727859601149,0.40688914179196234,0.21139832280014167,NS,NS,NS,NS,NS,NS,NS,Not in figure,4,1,1,2,0,2,2,340,129,211,62,67,93,118,0.17104382833058598,0.3343701222428646,0.3343701222428646,0.4014764834402802,0.4107810678856608,0.23759038990596498,0.1800473888654347,0.19436798673930228,0.4576609404823876,0.4576609404823876,0.530440835540784,0.5405014051127116,0.3493976322146544,0.27266215860486154,NS,NS,NS,NS,NS,NS,NS,Not in figure
Signal transduction mechanisms,268,21,12,4,3,2,16,5,2903,454,191,263,80,111,135,128,3.24625410201598e-5,0.0010315799955495995,0.0010315799955495995,2.805692078737531e-5,0.18425026525882252,0.05847431419977258,0.028703367613160755,2.0289088137599875e-4,0.013175102564717982,0.013175102564717982,7.014230196843828e-4,0.3396858900840988,0.16856889494516686,0.07973157670322431,UNDER,OVER,UNDER,OVER,NS,NS,NS,In figure,17,8,3,3,3,11,6,340,129,211,62,67,93,118,9.203933241470168e-4,0.014950988850317991,0.014950988850317991,0.003993938165934693,0.24635580350222774,0.15850188024700435,0.07009532328606394,0.0038349721839459035,0.09344368031448745,0.09344368031448745,0.035155545968871244,0.4700151830644559,0.2830390718696506,0.19506141040026767,UNDER,NS,NS,OVER,NS,NS,NS,In figure
Transcription,163,13,3,3,2,5,6,7,2903,454,191,263,80,111,135,128,0.0012920220058376555,0.21114688829951217,0.21114688829951217,0.2284407944072104,0.2567564183923264,0.1409612539020461,0.16331545342925421,0.005383425024323565,0.3105101298522238,0.3105101298522238,0.35693874126126623,0.3775829682240094,0.23493542317007687,0.23753497196433845,UNDER,NS,NS,NS,NS,NS,NS,In figure,11,3,2,1,5,5,6,340,129,211,62,67,93,118,0.012194854832048569,0.21027849160291304,0.21027849160291304,0.20243912255856517,0.30080971716125177,0.12061695714757292,0.18197795416063445,0.02771557916374675,0.36101618546474357,0.36101618546474357,0.38930600492031764,0.4700151830644559,0.2830390718696506,0.27266215860486154,UNDER,NS,NS,NS,NS,NS,NS,In figure
"Translation, ribosomal structure and biogenesis",271,75,11,25,8,31,36,39,2903,454,191,263,80,111,135,128,3.9929312387194986e-8,0.05310124926966919,0.05310124926966919,0.10543846663186758,0.01777333735069972,1.6654971372021068e-5,0.0028379457597685243,9.982328096798747e-7,0.13275312317417298,0.13275312317417298,0.2887110030390513,0.11108335844187325,4.163742843005267e-4,0.017737160998553277,OVER,NS,NS,NS,NS,UNDER,OVER,In figure,60,10,16,6,28,26,34,340,129,211,62,67,93,118,1.2234031238501432e-7,0.07358106062972684,0.07358106062972684,0.14097550772918518,0.04596912185616703,2.7612998551496067e-4,0.01244701888472655,3.058507809625358e-6,0.1956987629864221,0.1956987629864221,0.38930600492031764,0.28730701160104394,0.006903249637874017,0.07779386802954094,OVER,NS,NS,NS,NS,UNDER,NS,In figure
