category,detected_m,significant_s,clu1_s,clu2_s,clu3_s,clu4_s,down_s,up_s,test_sig_vs_det_s,test_up_vs_sig_s,test_clu1_vs_sig_s,test_clu2_vs_sig_s,test_clu3_vs_sig_s,test_clu4_vs_sig_s,p.adj_sig_vs_det_s,p.adj_up_vs_sig_s,p.adj_clu1_vs_sig_s,p.adj_clu2_vs_sig_s,p.adj_clu3_vs_sig_s,p.adj_clu4_vs_sig_s
Proteasome (ko03051),47,15,3,12,0,0,15,0,NS,UNDER,NS,OVER,NS,UNDER,0.086657,2.95E-05,0.432856,0.001647,0.098379,0.013245
RNA processing and modification (RPM),123,21,0,1,2,18,1,20,NS,OVER,NS,UNDER,NS,OVER,1.17E-01,1.83E-03,2.11E-01,3.94E-02,1.75E-01,1.36E-05
Spliceosome (ko03041),56,8,0,0,1,7,0,8,NS,OVER,NS,NS,NS,OVER,1.36E-01,3.72E-02,6.53E-01,1.53E-01,4.12E-01,1.32E-02
Transcription (T),154,15,3,4,2,6,7,8,UNDER,NS,NS,NS,NS,NS,6.36E-03,3.02E-01,3.32E-01,3.35E-01,2.43E-01,2.36E-01
Transcription machinery (ko03021),50,3,0,2,0,1,2,1,UNDER,NS,NS,NS,NS,NS,1.69E-02,4.96E-01,1.00E+00,3.68E-01,5.99E-01,6.65E-01
Nuclear structure (NS),51,3,0,2,0,1,2,1,UNDER,NS,NS,NS,NS,NS,2.51E-02,3.86E-01,7.34E-01,3.09E-01,4.84E-01,4.85E-01
DNA repair and recombination proteins (ko03400),57,4,0,1,3,0,1,3,UNDER,NS,NS,NS,NS,NS,1.69E-02,5.05E-01,1.00E+00,6.58E-01,2.14E-01,3.91E-01
Chromatin structure and dynamics (CSD),59,5,1,1,0,3,2,3,UNDER,NS,NS,NS,NS,NS,4.38E-02,3.93E-01,4.70E-01,4.05E-01,3.28E-01,2.26E-01
Ubiquitin system (ko04121),61,3,0,1,2,0,1,2,UNDER,NS,NS,NS,NS,NS,4.33E-03,6.29E-01,1.00E+00,6.58E-01,3.83E-01,4.84E-01
"Posttranslational modification, protein turnover, chaperones (PMPTC)",336,53,4,26,15,8,30,23,NS,UNDER,NS,OVER,NS,UNDER,6.27E-02,3.44E-02,2.66E-01,5.82E-03,2.14E-01,7.29E-03
ko03110 Chaperones and folding catalysts,73,16,0,10,4,2,10,6,NS,NS,NS,OVER,NS,NS,1.66E-01,1.25E-01,4.33E-01,2.59E-02,4.12E-01,1.43E-01
Signal transduction mechanisms (STM),248,23,9,7,3,4,16,7,UNDER,UNDER,OVER,NS,NS,NS,1.80E-04,1.91E-02,3.16E-02,3.09E-01,2.14E-01,1.38E-01
Protein kinases (ko01001),40,2,1,1,0,0,2,0,UNDER,NS,NS,NS,NS,NS,2.28E-02,2.97E-01,4.86E-01,6.58E-01,7.70E-01,6.65E-01
Lipid transport and metabolism (LTM),152,33,8,15,8,2,23,10,NS,UNDER,NS,NS,NS,NS,7.45E-02,4.16E-03,2.11E-01,7.60E-02,2.43E-01,1.94E-03
Energy production and conversion (EPC),200,52,5,19,14,14,24,28,OVER,NS,NS,NS,NS,NS,6.36E-03,1.73E-01,3.09E-01,1.86E-01,2.14E-01,1.38E-01
Amino acid transport and metabolism (AATM),195,59,3,12,21,23,15,44,OVER,OVER,NS,NS,NS,NS,8.87E-05,1.11E-02,2.11E-01,1.71E-01,1.01E-01,1.38E-01
Amino acid related enzymes (ko01007),58,16,1,0,4,11,1,15,NS,OVER,NS,UNDER,NS,OVER,1.22E-01,5.94E-03,5.67E-01,1.11E-02,4.12E-01,1.32E-02
Nucleotide transport and metabolism (NTM),66,21,0,5,3,13,5,16,OVER,NS,NS,NS,NS,OVER,0.011294,0.113162,0.211318,0.308853,0.214078,0.020553
Carbohydrate transport and metabolism (CTM),127,21,3,7,9,2,10,11,NS,NS,NS,NS,NS,UNDER,0.11678,0.256911,0.361628,0.308853,0.154861,0.041496
