MMETSP_ID,JGI_ID,Percent_Identity,Annotations
GBG32343.1,10179,54,GBG32343.1 Hypothetical Protein FCC1311_085682 [Hondaea fermentalgiana]
GBG26317.1,101851,68.1,GBG26317.1 WD repeat-containing protein 90 [Hondaea fermentalgiana]
GBG26326.1,101858,75.7,GBG26326.1 Sodium-coupled neutral amino acid transporter 1 [Hondaea fermentalgiana]
GBG25160.1,101936,69.7,GBG25160.1 DNA repair protein RAD5 [Hondaea fermentalgiana]
GBG32348.1,10200,93.1,GBG32348.1 WD repeat-containing protein slp1 [Hondaea fermentalgiana]
GBG27134.1,102011,73.2,GBG27134.1 Lysosomal Pro-X carboxypeptidase [Hondaea fermentalgiana]
GBG27124.1,102023,81.7,GBG27124.1 Coronin-like protein [Hondaea fermentalgiana]
GBG32354.1,10207,67.9,GBG32354.1 Hypothetical Protein FCC1311_085792 [Hondaea fermentalgiana]
GBG26142.1,102094,70.6,"GBG26142.1 2-oxoglutarate dehydrogenase, mitochondrial [Hondaea fermentalgiana]"
GBG32360.1,10212,85.8,GBG32360.1 Hypothetical Protein FCC1311_085852 [Hondaea fermentalgiana]
GBG32359.1,10214,39.9,GBG32359.1 Hypothetical Protein FCC1311_085842 [Hondaea fermentalgiana]
GBG26185.1,102159,68.9,GBG26185.1 Monoacylglycerol lipase ABHD12 [Hondaea fermentalgiana]
GBG29335.1,102291,62.1,GBG29335.1 Hypothetical Protein FCC1311_055572 [Hondaea fermentalgiana]
GBG32385.1,10233,40.5,GBG32385.1 Hypothetical Protein FCC1311_086102 [Hondaea fermentalgiana]
GBG27091.1,102414,63.4,GBG27091.1 Lysophospholipid acyltransferase LPEAT1 [Hondaea fermentalgiana]
GBG27083.1,102422,68.3,"GBG27083.1 Carnitine O-acetyltransferase, partial [Hondaea fermentalgiana]"
GBG32858.1,102428,80.7,GBG32858.1 Calcium-regulated actin-bundling protein [Hondaea fermentalgiana]
GBG32399.1,10246,34.6,GBG32399.1 Hypothetical Protein FCC1311_086242 [Hondaea fermentalgiana]
GBG32401.1,10250,89,GBG32401.1 Tubulin gamma chain [Hondaea fermentalgiana]
GBG34963.1,10251,39.1,GBG34963.1 Hypothetical Protein FCC1311_111862 [Hondaea fermentalgiana]
GBG34998.1,10253,73.2,GBG34998.1 Dihydroflavonol 4-reductase [Hondaea fermentalgiana]
GBG31829.1,102543,72,GBG31829.1 Pre-mRNA-splicing factor SYF1 [Hondaea fermentalgiana]
GBG24226.1,102562,55.1,"GBG24226.1 tRNA dimethylallyltransferase, mitochondrial [Hondaea fermentalgiana]"
GBG31359.1,10260,86.8,GBG31359.1 Hypothetical Protein FCC1311_075832 [Hondaea fermentalgiana]
TFJ83979.1,102623,51.8,TFJ83979.1 hypothetical protein NSK_005074 [Nannochloropsis salina CCMP1776]
EWM29516.1,102623,51.8,EWM29516.1 3-hydroxybutyryl- dehydratase [Nannochloropsis gaditana]
GBG31357.1,10263,64.6,GBG31357.1 COBW domain-containing protein DDB_G0274527 [Hondaea fermentalgiana]
GBG31356.1,10264,93.7,GBG31356.1 Histone deacetylase 6 [Hondaea fermentalgiana]
GBG24352.1,102684,74.4,GBG24352.1 3 beta-hydroxysteroid dehydrogenase type 4 [Hondaea fermentalgiana]
GBG31353.1,10268,68.5,GBG31353.1 Inorganic phosphate transporter 1-1 [Hondaea fermentalgiana]
GBG34863.1,1026,27.9,GBG34863.1 Hypothetical Protein FCC1311_110862 [Hondaea fermentalgiana]
GBG24376.1,102706,74.5,GBG24376.1 Cytoplasmic dynein 1 intermediate chain 2 [Hondaea fermentalgiana]
GBG31348.1,10274,56.7,GBG31348.1 Hypothetical Protein FCC1311_075722 [Hondaea fermentalgiana]
GBG24405.1,102757,41.6,GBG24405.1 Hypothetical Protein FCC1311_006232 [Hondaea fermentalgiana]
GBG24435.1,102789,84.6,"GBG24435.1 Chromodomain-helicase-DNA-binding protein, putative [Hondaea fermentalgiana]"
GBG34864.1,1027,68.8,GBG34864.1 26S proteasome non-ATPase regulatory subunit 9 [Hondaea fermentalgiana]
GBG31342.1,10281,55.5,GBG31342.1 Adenylate cyclase type 10 [Hondaea fermentalgiana]
GBG29426.1,102838,57.8,GBG29426.1 Glucose-6-phosphate exchanger SLC37A2 [Hondaea fermentalgiana]
GBG31335.1,10284,54.8,GBG31335.1 Zinc metalloproteinase-disintegrin-like [Hondaea fermentalgiana]
GBG31075.1,102864,61.4,GBG31075.1 Ubiquitin carboxyl-terminal hydrolase 2 [Hondaea fermentalgiana]
GBG31086.1,102883,83.1,GBG31086.1 Homoserine dehydrogenase [Hondaea fermentalgiana]
GBG31099.1,102895,52.7,GBG31099.1 Cytosolic Fe-S cluster assembly factor NARFL [Hondaea fermentalgiana]
GBG34758.1,10289,33.4,"GBG34758.1 Protein kinase, putative [Hondaea fermentalgiana]"
GBG34865.1,1028,69.4,GBG34865.1 Hypothetical Protein FCC1311_110882 [Hondaea fermentalgiana]
GBG29077.1,102913,70.2,GBG29077.1 Protein phosphatase PTC7-like fig [Hondaea fermentalgiana]
GBG31628.1,102949,78.7,GBG31628.1 WD repeat-containing protein 5 [Hondaea fermentalgiana]
GBG31341.1,10294,60.4,GBG31341.1 Metabotropic glutamate receptor-like protein B [Hondaea fermentalgiana]
GBG28447.1,103007,87.9,GBG28447.1 Peptidyl-prolyl cis-trans isomerase [Hondaea fermentalgiana]
GBG28906.1,103031,76.7,"GBG28906.1 Peptidyl prolyl cis-trans isomerase, putative [Hondaea fermentalgiana]"
GBG31324.1,10303,59,"GBG31324.1 Rho guanine nucleotide exchange factor, putative [Hondaea fermentalgiana]"
GBG28898.1,103046,100,GBG28898.1 Calmodulin [Hondaea fermentalgiana]
GBG31321.1,10307,69.2,GBG31321.1 Hypothetical Protein FCC1311_075442 [Hondaea fermentalgiana]
GBG31320.1,10308,68.5,GBG31320.1 Hypothetical Protein FCC1311_075432 [Hondaea fermentalgiana]
GBG31320.1,10309,55.4,GBG31320.1 Hypothetical Protein FCC1311_075432 [Hondaea fermentalgiana]
GBG31319.1,10310,55.8,GBG31319.1 Hypothetical Protein FCC1311_075422 [Hondaea fermentalgiana]
GBG26067.1,103193,69.7,GBG26067.1 Proteasome-associated protein ECM29-like [Hondaea fermentalgiana]
XP_001418194.1,103220,53.2,"XP_001418194.1 predicted protein, partial [Ostreococcus lucimarinus CCE9901]"
GBG31306.1,10323,44.6,"GBG31306.1 Rho guanine nucleotide exchange factor, putative [Hondaea fermentalgiana]"
GBG31305.1,10324,40.8,GBG31305.1 Hypothetical Protein FCC1311_075282 [Hondaea fermentalgiana]
GBG31298.1,10332,41.9,GBG31298.1 WW domain-binding protein 4 [Hondaea fermentalgiana]
GBG32405.1,103353,74.8,GBG32405.1 Kinesin-like protein KIF16B [Hondaea fermentalgiana]
GBG33074.1,103368,52.7,GBG33074.1 RCC1 and BTB domain-containing protein 2 [Hondaea fermentalgiana]
GBG24128.1,103378,84.8,GBG24128.1 Protein REDUCED WALL ACETYLATION 1 [Hondaea fermentalgiana]
GBG24129.1,103380,53,GBG24129.1 E3 ubiquitin-protein ligase pub2 [Hondaea fermentalgiana]
GBG31291.1,10342,60.2,GBG31291.1 Cilia- and flagella-associated protein 46 [Hondaea fermentalgiana]
GBG31290.1,10343,59.4,GBG31290.1 Hypothetical Protein FCC1311_075132 [Hondaea fermentalgiana]
GBG28650.1,103455,67,GBG28650.1 Hypothetical Protein FCC1311_048712 [Hondaea fermentalgiana]
GBG32612.1,103547,54.8,GBG32612.1 Isoamyl acetate-hydrolyzing esterase [Hondaea fermentalgiana]
GBG32596.1,103583,51.2,GBG32596.1 Pre-mRNA-splicing factor 18 [Hondaea fermentalgiana]
GBG34114.1,103626,81.3,GBG34114.1 Synaptotagmin-1 [Hondaea fermentalgiana]
GBG27856.1,10364,61,"GBG27856.1 Phosphatidylinositol/phosphatidylcholine transfer protein SFH9, partial [Hondaea fermentalgiana]"
GBG30354.1,103650,70.1,"GBG30354.1 Ubiquitin-protein ligase, putative [Hondaea fermentalgiana]"
GBG27860.1,10377,70.1,GBG27860.1 Hypothetical Protein FCC1311_040832 [Hondaea fermentalgiana]
GBG27859.1,10378,59.8,GBG27859.1 Hypothetical Protein FCC1311_040822 [Hondaea fermentalgiana]
GBG25787.1,1037,58.3,GBG25787.1 Hypothetical Protein FCC1311_020062 [Hondaea fermentalgiana]
GBG27868.1,10382,63.4,GBG27868.1 Kinesin light chain [Hondaea fermentalgiana]
GBG27871.1,10385,74.1,GBG27871.1 Disease resistance protein RPP5 [Hondaea fermentalgiana]
GBG30436.1,10387,44.3,GBG30436.1 Hypothetical Protein FCC1311_066552 [Hondaea fermentalgiana]
GBG25184.1,10398,69.4,GBG25184.1 Protein HGH1-like [Hondaea fermentalgiana]
GBG34978.1,103990,57.2,GBG34978.1 ABC transporter G family member 31 [Hondaea fermentalgiana]
GBG34978.1,103997,66.8,GBG34978.1 ABC transporter G family member 31 [Hondaea fermentalgiana]
GBG28146.1,104016,56,GBG28146.1 Hypothetical Protein FCC1311_043692 [Hondaea fermentalgiana]
GBG25180.1,10402,48.9,GBG25180.1 Hepatocyte growth factor receptor [Hondaea fermentalgiana]
GBG25178.1,10404,48.2,GBG25178.1 Hypothetical Protein FCC1311_013952 [Hondaea fermentalgiana]
GBG25177.1,10406,37.5,GBG25177.1 Hypothetical Protein FCC1311_013942 [Hondaea fermentalgiana]
GBG23997.1,104123,80.7,"GBG23997.1 DNA replication licensing factor, putative [Hondaea fermentalgiana]"
GBG24000.1,104130,62.4,GBG24000.1 Brefeldin A-inhibited guanine nucleotide-exchange protein 1 [Hondaea fermentalgiana]
GBG32889.1,104178,66,GBG32889.1 Thymus-specific serine protease [Hondaea fermentalgiana]
GBG25166.1,10418,53.6,GBG25166.1 Unconventional myosin-Va [Hondaea fermentalgiana]
GBG25166.1,10419,72.2,GBG25166.1 Unconventional myosin-Va [Hondaea fermentalgiana]
GBG34771.1,104211,72.9,GBG34771.1 Kidney mitochondrial carrier protein 1 [Hondaea fermentalgiana]
GBG24451.1,10430,59.3,GBG24451.1 Hypothetical Protein FCC1311_006692 [Hondaea fermentalgiana]
GBG34006.1,10444,47.3,GBG34006.1 Hypothetical Protein FCC1311_102292 [Hondaea fermentalgiana]
GBG27761.1,104459,77.3,GBG27761.1 Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A [Hondaea fermentalgiana]
GBG35148.1,10451,37,"GBG35148.1 Protein kinase, putative, partial [Hondaea fermentalgiana]"
GBG34010.1,10453,47,GBG34010.1 NEDD4-like E3 ubiquitin-protein ligase WWP1 [Hondaea fermentalgiana]
GBG25257.1,104577,74.8,GBG25257.1 5-hydroxyisourate hydrolase [Hondaea fermentalgiana]
GBG29797.1,10460,37.3,GBG29797.1 Hypothetical Protein FCC1311_060172 [Hondaea fermentalgiana]
GBG30932.1,104678,49.7,GBG30932.1 Kinesin-like protein KIF15 [Hondaea fermentalgiana]
GBG34012.1,10468,60.2,GBG34012.1 Protein-lysine methyltransferase METTL21E [Hondaea fermentalgiana]
GBG32937.1,104715,62.5,GBG32937.1 Protein DETOXIFICATION 42 [Hondaea fermentalgiana]
GBG34027.1,10474,40.9,GBG34027.1 Hypothetical Protein FCC1311_102502 [Hondaea fermentalgiana]
GBG25117.1,104773,77.1,GBG25117.1 Isocitrate lyase [Hondaea fermentalgiana]
GBG25100.1,104785,62.2,GBG25100.1 Hexuronate transporter [Hondaea fermentalgiana]
GBG34020.1,10482,41.6,GBG34020.1 Hypothetical Protein FCC1311_102432 [Hondaea fermentalgiana]
GBG34017.1,10486,38.9,GBG34017.1 Hypothetical Protein FCC1311_102402 [Hondaea fermentalgiana]
GBG24879.1,104882,82.5,GBG24879.1 Calcium-transporting ATPase 1 [Hondaea fermentalgiana]
GBG34016.1,10489,38.9,GBG34016.1 Hypothetical Protein FCC1311_102392 [Hondaea fermentalgiana]
GBG24898.1,104908,58.6,GBG24898.1 Nascent polypeptide-associated complex subunit alpha [Hondaea fermentalgiana]
GBG24933.1,104965,67.3,GBG24933.1 Translational activator of cytochrome c oxidase 1 [Hondaea fermentalgiana]
GBG28643.1,10503,55.2,GBG28643.1 Cholesterol dehydrogenase [Hondaea fermentalgiana]
GBG30556.1,105041,55.4,"GBG30556.1 Dual specificity protein phosphatase, putative [Hondaea fermentalgiana]"
GBG24635.1,105049,50.9,GBG24635.1 Poly ADP-ribose polymerase [Hondaea fermentalgiana]
GBG28643.1,10504,55.2,GBG28643.1 Cholesterol dehydrogenase [Hondaea fermentalgiana]
GBG28643.1,10505,55.2,GBG28643.1 Cholesterol dehydrogenase [Hondaea fermentalgiana]
GBG30562.1,105065,97.5,GBG30562.1 Elongation factor 1-alpha 1 [Hondaea fermentalgiana]
GBG28643.1,10507,55.4,GBG28643.1 Cholesterol dehydrogenase [Hondaea fermentalgiana]
GBG30579.1,105083,64.9,GBG30579.1 Structural maintenance of chromosomes protein 1 [Hondaea fermentalgiana]
GBG28643.1,10508,57.8,GBG28643.1 Cholesterol dehydrogenase [Hondaea fermentalgiana]
GBG30488.1,10512,50.6,GBG30488.1 Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein [Hondaea fermentalgiana]
GBG34507.1,105226,70.9,GBG34507.1 Cyclin-Y-like protein 1 [Hondaea fermentalgiana]
GBG31452.1,10524,62.3,GBG31452.1 Cell division control protein 73 [Hondaea fermentalgiana]
GBG25586.1,105291,89.1,GBG25586.1 Calcium-binding mitochondrial carrier protein SCaMC-1 [Hondaea fermentalgiana]
GBG30478.1,10534,43.2,GBG30478.1 Hypothetical Protein FCC1311_066972 [Hondaea fermentalgiana]
GBG28515.1,105381,74.8,GBG28515.1 Hypothetical Protein FCC1311_047382 [Hondaea fermentalgiana]
GBG26372.1,105487,64.3,GBG26372.1 Ribosomal RNA small subunit methyltransferase H [Hondaea fermentalgiana]
GBG30465.1,10550,41.4,GBG30465.1 Hypothetical Protein FCC1311_066842 [Hondaea fermentalgiana]
GBG27907.1,105514,70.8,"GBG27907.1 Selenide, water dikinase 1 [Hondaea fermentalgiana]"
GBG27930.1,105535,75,GBG27930.1 Aspartate beta-hydroxylase domain-containing protein 2 [Hondaea fermentalgiana]
GBG30462.1,10553,41.2,GBG30462.1 Hypothetical Protein FCC1311_066812 [Hondaea fermentalgiana]
GBG28926.1,105574,79.7,GBG28926.1 ATP-dependent RNA helicase DOB1 [Hondaea fermentalgiana]
GBG28936.1,105585,64,GBG28936.1 Metallophosphoesterase MPPED2 [Hondaea fermentalgiana]
GBG30451.1,10559,81.1,GBG30451.1 Hypothetical Protein FCC1311_066702 [Hondaea fermentalgiana]
GBG28771.1,105607,69.7,GBG28771.1 Aldehyde dehydrogenase [Hondaea fermentalgiana]
GBG30448.1,10567,54.5,GBG30448.1 Src kinase-associated phosphoprotein 2 [Hondaea fermentalgiana]
GBG30446.1,10569,53.7,GBG30446.1 Plant intracellular Ras-group-related LRR protein 1 [Hondaea fermentalgiana]
GBG25396.1,105729,62.6,GBG25396.1 Protein HID1 [Hondaea fermentalgiana]
GBG32108.1,105818,40.5,GBG32108.1 Arylsulfatase [Hondaea fermentalgiana]
GBG30429.1,10590,68.8,GBG30429.1 Hypothetical Protein FCC1311_066482 [Hondaea fermentalgiana]
GBG32240.1,105921,78.2,GBG32240.1 Eukaryotic translation initiation factor 3 subunit B [Hondaea fermentalgiana]
GBG31824.1,105931,62.1,"GBG31824.1 cGMP-dependent 3',5'-cGMP phosphodiesterase A [Hondaea fermentalgiana]"
GBG30425.1,10594,36.5,GBG30425.1 Hypothetical Protein FCC1311_066442 [Hondaea fermentalgiana]
GBG31937.1,106013,63.6,GBG31937.1 Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform [Hondaea fermentalgiana]
GBG30413.1,10607,48.7,GBG30413.1 Vacuolar protein 8 [Hondaea fermentalgiana]
GBG30410.1,10610,92.4,"GBG30410.1 Dynein intermediate chain 2, axonemal [Hondaea fermentalgiana]"
GBG34123.1,106183,79.4,GBG34123.1 Ubiquitin carboxyl-terminal hydrolase [Hondaea fermentalgiana]
GBG30405.1,10618,57.7,GBG30405.1 Hypothetical Protein FCC1311_066242 [Hondaea fermentalgiana]
GBG30403.1,10620,52.8,"GBG30403.1 Sarcosine dehydrogenase, mitochondrial [Hondaea fermentalgiana]"
GBG30400.1,10623,29.1,GBG30400.1 Hypothetical Protein FCC1311_066192 [Hondaea fermentalgiana]
GBG26415.1,106243,71.9,GBG26415.1 Abnormal spindle-like microcephaly-associated protein-like [Hondaea fermentalgiana]
GBG30400.1,10624,28.5,GBG30400.1 Hypothetical Protein FCC1311_066192 [Hondaea fermentalgiana]
GBG26407.1,106262,66.5,GBG26407.1 Lateral signaling target protein 2-like [Hondaea fermentalgiana]
GBG26385.1,106283,58.1,"GBG26385.1 tRNA Cytosine-5--methyltransferase, putative [Hondaea fermentalgiana]"
GBG25036.1,106365,89.2,GBG25036.1 Vacuolar protein sorting-associated protein 29 [Hondaea fermentalgiana]
GBG34934.1,10642,29.4,GBG34934.1 Hypothetical Protein FCC1311_111572 [Hondaea fermentalgiana]
GBG31881.1,106452,63.8,"GBG31881.1 Alpha,alpha-trehalose-phosphate synthase UDP-forming 5 [Hondaea fermentalgiana]"
GBG30021.1,10648,67.8,GBG30021.1 Cinnamyl alcohol dehydrogenase 7 [Hondaea fermentalgiana]
GBG30018.1,10649,72.1,GBG30018.1 Cinnamyl alcohol dehydrogenase 8 [Hondaea fermentalgiana]
GBG34220.1,106506,69.7,GBG34220.1 Bidirectional sugar transporter SWEET17 [Hondaea fermentalgiana]
GBG30018.1,10650,73.4,GBG30018.1 Cinnamyl alcohol dehydrogenase 8 [Hondaea fermentalgiana]
GBG29192.1,106529,40.9,"GBG29192.1 26S protease regulatory subunit, putative [Hondaea fermentalgiana]"
GBG32298.1,10657,82.5,"GBG32298.1 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase [Hondaea fermentalgiana]"
GBG32300.1,10662,55.8,GBG32300.1 Hypothetical Protein FCC1311_085252 [Hondaea fermentalgiana]
GBG29904.1,106669,81,GBG29904.1 Vesicular integral-membrane protein VIP36 [Hondaea fermentalgiana]
GBG29875.1,106688,58.4,GBG29875.1 Cyclin-dependent kinase 1 [Hondaea fermentalgiana]
GBG31174.1,106712,46.3,GBG31174.1 Protein BTN1 [Hondaea fermentalgiana]
GBG32985.1,106755,75,GBG32985.1 Vitamin K epoxide reductase complex subunit 1-like protein 1 [Hondaea fermentalgiana]
GBG32313.1,10677,65.8,GBG32313.1 Enhancer of mRNA-decapping protein 4 [Hondaea fermentalgiana]
GBG25768.1,1067,45.7,GBG25768.1 Hypothetical Protein FCC1311_019872 [Hondaea fermentalgiana]
GBG24016.1,106800,63.9,GBG24016.1 Choline transporter-like protein 5 [Hondaea fermentalgiana]
GBG24031.1,106824,77.2,GBG24031.1 Aminotransferase [Hondaea fermentalgiana]
GBG32318.1,10682,58.6,GBG32318.1 Hypothetical Protein FCC1311_085432 [Hondaea fermentalgiana]
GBG34646.1,10685,59.4,GBG34646.1 Alcohol dehydrogenase 1 [Hondaea fermentalgiana]
GBG24075.1,106883,85.3,GBG24075.1 Phosphoglycerate mutase 1 [Hondaea fermentalgiana]
GBG24082.1,106896,60.3,GBG24082.1 Actin-related protein 6 [Hondaea fermentalgiana]
GBG25767.1,1068,48.2,GBG25767.1 Hypothetical Protein FCC1311_019862 [Hondaea fermentalgiana]
GBG32227.1,10696,55.5,GBG32227.1 Hypothetical Protein FCC1311_084522 [Hondaea fermentalgiana]
KAA8497166.1,107005,64.9,"KAA8497166.1 Pyridoxal reductase, chloroplastic [Porphyridium purpureum]"
GBG32234.1,10703,50.8,GBG32234.1 Carbonic anhydrase [Hondaea fermentalgiana]
GBG26648.1,107058,61.5,"GBG26648.1 Beta-carotene 3-hydroxylase, chloroplastic [Hondaea fermentalgiana]"
GBG26577.1,107117,71.1,GBG26577.1 Glycine--tRNA ligase [Hondaea fermentalgiana]
GBG26581.1,107122,99.8,GBG26581.1 Importin subunit alpha [Hondaea fermentalgiana]
GBG27936.1,10713,75.7,"GBG27936.1 Biotin synthase, mitochondrial [Hondaea fermentalgiana]"
GBG27942.1,10717,31.7,"GBG27942.1 Protein kinase, putative [Hondaea fermentalgiana]"
GBG34371.1,107242,66,GBG34371.1 Aldehyde dehydrogenase [Hondaea fermentalgiana]
GBG34371.1,107249,77.7,GBG34371.1 Aldehyde dehydrogenase [Hondaea fermentalgiana]
GBG27949.1,10724,75.7,GBG27949.1 Hypothetical Protein FCC1311_041722 [Hondaea fermentalgiana]
GBG25987.1,107289,48.8,GBG25987.1 Testis-expressed protein 9 [Hondaea fermentalgiana]
GBG23975.1,10738,57.7,"GBG23975.1 Polynucleotide kinase-3'-phosphatase, putative [Hondaea fermentalgiana]"
GBG28568.1,107407,85.5,GBG28568.1 Vacuolar protein sorting-associated protein 52-like [Hondaea fermentalgiana]
GBG28573.1,107413,81.5,GBG28573.1 Hypothetical Protein FCC1311_047952 [Hondaea fermentalgiana]
GBG34226.1,10741,86,GBG34226.1 UDP-N-acetylglucosamine transferase subunit ALG14-like [Hondaea fermentalgiana]
GBG23971.1,10745,45.9,GBG23971.1 Hypothetical Protein FCC1311_001902 [Hondaea fermentalgiana]
GBG34747.1,107639,82.7,"GBG34747.1 Protein kinase, putative [Hondaea fermentalgiana]"
GBG34240.1,10767,65.4,GBG34240.1 Magnesium transporter NIPA4 [Hondaea fermentalgiana]
GBG34245.1,10770,67.3,"GBG34245.1 MmpL efflux pump, putative [Hondaea fermentalgiana]"
GBG34249.1,10775,52,GBG34249.1 Hypothetical Protein FCC1311_104732 [Hondaea fermentalgiana]
GBG24292.1,107800,80.6,GBG24292.1 Myosin-IB [Hondaea fermentalgiana]
GBG24263.1,107841,83.5,GBG24263.1 Activating signal cointegrator 1 complex subunit 3 [Hondaea fermentalgiana]
GBG28469.1,107891,73.4,GBG28469.1 Acyltransferase mlcH [Hondaea fermentalgiana]
GBG24565.1,107962,78.7,GBG24565.1 ATP-dependent RNA helicase DHX8 [Hondaea fermentalgiana]
GBG31176.1,108074,67.1,GBG31176.1 DNA polymerase lambda [Hondaea fermentalgiana]
GBG29012.1,108155,66.3,GBG29012.1 12-oxophytodienoate reductase-like protein [Hondaea fermentalgiana]
GBG34688.1,10816,55.1,GBG34688.1 E3 ubiquitin-protein ligase RLIM [Hondaea fermentalgiana]
GBG32042.1,108194,61.9,GBG32042.1 Phosphoinositide 3-kinase regulatory subunit 4 [Hondaea fermentalgiana]
GBG32048.1,108201,73.1,GBG32048.1 NAD-dependent deacetylase sir2D [Hondaea fermentalgiana]
GBG30696.1,108237,56.2,GBG30696.1 DNA ligase 1 [Hondaea fermentalgiana]
