From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Gene Names (ORF)	Gene Names (primary)	Gene Names (synonym)
GBG23968.1	A0A2R5G2L0	unreviewed	A0A2R5G2L0_9STRA	5'-AMP-activated protein kinase subunit gamma	FCC1311_001872	Hondaea fermentalgiana	503		FCC1311_001872		
GBG23967.1	A0A2R5FYY8	unreviewed	A0A2R5FYY8_9STRA	Transcription factor MYB118	FCC1311_001862	Hondaea fermentalgiana	714		FCC1311_001862		
GBG23966.1	A0A2R5FYY2	unreviewed	A0A2R5FYY2_9STRA	Lebercilin-like protein	FCC1311_001852	Hondaea fermentalgiana	592		FCC1311_001852		
GBG23965.1	A0A2R5G0B6	unreviewed	A0A2R5G0B6_9STRA	Programmed cell death protein 2	FCC1311_001842	Hondaea fermentalgiana	680		FCC1311_001842		
GBG23964.1	A0A2R5G8F4	unreviewed	A0A2R5G8F4_9STRA	NapA type Na+/H+ antiporter	FCC1311_001832	Hondaea fermentalgiana	719		FCC1311_001832		
GBG23963.1	A0A2R5G699	unreviewed	A0A2R5G699_9STRA	Peptidylprolyl isomerase	FCC1311_001822	Hondaea fermentalgiana	267		FCC1311_001822		
GBG23962.1	A0A2R5FYY4	unreviewed	A0A2R5FYY4_9STRA	Calmodulin	FCC1311_001812	Hondaea fermentalgiana	4732		FCC1311_001812		
GBG23961.1	A0A2R5G7E7	unreviewed	A0A2R5G7E7_9STRA	PH domain-containing protein	FCC1311_001802	Hondaea fermentalgiana	1426		FCC1311_001802		
GBG23960.1	A0A2R5FZ06	unreviewed	A0A2R5FZ06_9STRA	G protein-coupled receptor	FCC1311_001792	Hondaea fermentalgiana	304		FCC1311_001792		
GBG23959.1	A0A2R5G0Y8	unreviewed	A0A2R5G0Y8_9STRA	peptidylprolyl isomerase (EC 5.2.1.8)	FCC1311_001782	Hondaea fermentalgiana	776		FCC1311_001782		
GBG23958.1	A0A2R5G2K3	unreviewed	A0A2R5G2K3_9STRA	FCP1 homology domain-containing protein	FCC1311_001772	Hondaea fermentalgiana	301		FCC1311_001772		
GBG23957.1	A0A2R5FYX9	unreviewed	A0A2R5FYX9_9STRA	Phosphorylated CTD-interacting factor 1	FCC1311_001762	Hondaea fermentalgiana	715		FCC1311_001762		
GBG23956.1	A0A2R5FYX1	unreviewed	A0A2R5FYX1_9STRA	Serine/threonine-protein phosphatase PGAM5, mitochondrial	FCC1311_001752	Hondaea fermentalgiana	326		FCC1311_001752		
GBG23955.1	A0A2R5G0A6	unreviewed	A0A2R5G0A6_9STRA	Late embryogenesis abundant protein D-29	FCC1311_001742	Hondaea fermentalgiana	293		FCC1311_001742		
GBG23954.1	A0A2R5G8E3	unreviewed	A0A2R5G8E3_9STRA	NADH-ubiquinone oxidoreductase chain 2	FCC1311_001732	Hondaea fermentalgiana	743		FCC1311_001732		
GBG23953.1	A0A2R5G690	unreviewed	A0A2R5G690_9STRA	Structural maintenance of chromosomes protein 6	FCC1311_001722	Hondaea fermentalgiana	1166		FCC1311_001722		
GBG23952.1	A0A2R5FYX3	unreviewed	A0A2R5FYX3_9STRA	Crossover junction endonuclease MUS81 (EC 3.1.22.-)	FCC1311_001712	Hondaea fermentalgiana	570		FCC1311_001712		
GBG23951.1	A0A2R5G7D5	unreviewed	A0A2R5G7D5_9STRA	3-deoxy-manno-octulosonate cytidylyltransferase	FCC1311_001702	Hondaea fermentalgiana	239		FCC1311_001702		
GBG23950.1	A0A2R5FYZ6	unreviewed	A0A2R5FYZ6_9STRA	Protein kinase, putative	FCC1311_001692	Hondaea fermentalgiana	783		FCC1311_001692		
GBG23949.1	A0A2R5G0X5	unreviewed	A0A2R5G0X5_9STRA	Protein N-lysine methyltransferase METTL21A	FCC1311_001682	Hondaea fermentalgiana	305		FCC1311_001682		
GBG23948.1	A0A2R5G2J4	unreviewed	A0A2R5G2J4_9STRA	Myosin-13	FCC1311_001672	Hondaea fermentalgiana	1514		FCC1311_001672		
GBG23947.1	A0A2R5FYW9	unreviewed	A0A2R5FYW9_9STRA	Serine protease 42	FCC1311_001662	Hondaea fermentalgiana	360		FCC1311_001662		
GBG23946.1	A0A2R5FYW1	unreviewed	A0A2R5FYW1_9STRA	Leucine-rich repeat-containing protein 40	FCC1311_001652	Hondaea fermentalgiana	281		FCC1311_001652		
GBG23945.1	A0A2R5G099	unreviewed	A0A2R5G099_9STRA	isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase)	FCC1311_001642	Hondaea fermentalgiana	1167		FCC1311_001642		
GBG23944.1	A0A2R5G8D2	unreviewed	A0A2R5G8D2_9STRA	SUI1 domain-containing protein	FCC1311_001632	Hondaea fermentalgiana	303		FCC1311_001632		
GBG23943.1	A0A2R5G679	unreviewed	A0A2R5G679_9STRA	Ubiquitin carboxyl-terminal hydrolase 47	FCC1311_001622	Hondaea fermentalgiana	1582		FCC1311_001622		
GBG23942.1	A0A2R5FYW0	unreviewed	A0A2R5FYW0_9STRA	E3 ubiquitin-protein ligase TRIP12	FCC1311_001612	Hondaea fermentalgiana	3494		FCC1311_001612		
GBG23941.1	A0A2R5G7C6	unreviewed	A0A2R5G7C6_9STRA	VWFA domain-containing protein	FCC1311_001602	Hondaea fermentalgiana	585		FCC1311_001602		
GBG23940.1	A0A2R5FYY7	unreviewed	A0A2R5FYY7_9STRA	Aldehyde dehydrogenase	FCC1311_001592	Hondaea fermentalgiana	503		FCC1311_001592		
GBG23939.1	A0A2R5G0W9	unreviewed	A0A2R5G0W9_9STRA	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	FCC1311_001582	Hondaea fermentalgiana	81		FCC1311_001582		
GBG23938.1	A0A2R5G2I6	unreviewed	A0A2R5G2I6_9STRA	SPRY domain-containing protein	FCC1311_001572	Hondaea fermentalgiana	1085		FCC1311_001572		
GBG23937.1	A0A2R5FYV9	unreviewed	A0A2R5FYV9_9STRA	DUF4211 domain-containing protein	FCC1311_001562	Hondaea fermentalgiana	437		FCC1311_001562		
GBG23936.1	A0A2R5FYV1	unreviewed	A0A2R5FYV1_9STRA	Bifunctional arginine demethylase and lysyl-hydroxylase PSR	FCC1311_005071	Hondaea fermentalgiana	381		FCC1311_005071		
GBG23935.1	A0A2R5G089	unreviewed	A0A2R5G089_9STRA	Sensory neuron membrane protein 1	FCC1311_001542	Hondaea fermentalgiana	1153		FCC1311_001542		
GBG23934.1	A0A2R5G8C0	unreviewed	A0A2R5G8C0_9STRA	26S proteasome regulatory subunit 8-like	FCC1311_001532	Hondaea fermentalgiana	517		FCC1311_001532		
GBG23933.1	A0A2R5G669	unreviewed	A0A2R5G669_9STRA	Non-structural maintenance of chromosomes element 4	FCC1311_001522	Hondaea fermentalgiana	293		FCC1311_001522		
GBG23932.1	A0A2R5FYV0	unreviewed	A0A2R5FYV0_9STRA	Lysine-specific demethylase 8	FCC1311_001512	Hondaea fermentalgiana	807		FCC1311_001512		
GBG23931.1	A0A2R5G7B3	unreviewed	A0A2R5G7B3_9STRA	Zinc metalloproteinase-disintegrin-like cobrin	FCC1311_001502	Hondaea fermentalgiana	702		FCC1311_001502		
GBG23930.1	A0A2R5FYX7	unreviewed	A0A2R5FYX7_9STRA	Rhomboid-like protein	FCC1311_001492	Hondaea fermentalgiana	717		FCC1311_001492		
GBG23929.1	A0A2R5G0W0	unreviewed	A0A2R5G0W0_9STRA	SH3 domain-containing kinase-binding protein 1	FCC1311_001482	Hondaea fermentalgiana	516		FCC1311_001482		
GBG23928.1	A0A2R5G2H2	unreviewed	A0A2R5G2H2_9STRA	TPX2 domain-containing protein	FCC1311_001472	Hondaea fermentalgiana	845		FCC1311_001472		
GBG23927.1	A0A2R5FYU9	unreviewed	A0A2R5FYU9_9STRA	FTCD_C domain-containing protein	FCC1311_001462	Hondaea fermentalgiana	205		FCC1311_001462		
GBG23926.1	A0A2R5FYT9	unreviewed	A0A2R5FYT9_9STRA	Octopine dehydrogenase	FCC1311_001452	Hondaea fermentalgiana	396		FCC1311_001452		
GBG23925.1	A0A2R5G081	unreviewed	A0A2R5G081_9STRA	BZIP domain-containing protein	FCC1311_001442	Hondaea fermentalgiana	736		FCC1311_001442		
GBG23924.1	A0A2R5G8A9	unreviewed	A0A2R5G8A9_9STRA	Trafficking protein particle complex subunit	FCC1311_001432	Hondaea fermentalgiana	186		FCC1311_001432		
GBG23923.1	A0A2R5G658	unreviewed	A0A2R5G658_9STRA	Solute carrier family 2, facilitated glucose transporter member 2	FCC1311_001422	Hondaea fermentalgiana	579		FCC1311_001422		
GBG23922.1	A0A2R5FYU0	unreviewed	A0A2R5FYU0_9STRA	Solute carrier family 2, facilitated glucose transporter member 2	FCC1311_001412	Hondaea fermentalgiana	574		FCC1311_001412		
GBG23921.1	A0A2R5G7A4	unreviewed	A0A2R5G7A4_9STRA	Glycerol-3-phosphate O-acyltransferase 1	FCC1311_022161	Hondaea fermentalgiana	626		FCC1311_022161		
GBG23920.1	A0A2R5FYW8	unreviewed	A0A2R5FYW8_9STRA	Aaa family atpase	FCC1311_001392	Hondaea fermentalgiana	726		FCC1311_001392		
GBG23919.1	A0A2R5G0V2	unreviewed	A0A2R5G0V2_9STRA	DnaJ family protein	FCC1311_001382	Hondaea fermentalgiana	365		FCC1311_001382		
GBG23918.1	A0A2R5G2G6	unreviewed	A0A2R5G2G6_9STRA	Protein Simiate	FCC1311_001372	Hondaea fermentalgiana	234		FCC1311_001372		
GBG23917.1	A0A2R5FYT8	unreviewed	A0A2R5FYT8_9STRA	Phosphodiesterase (EC 3.1.4.-)	FCC1311_001362	Hondaea fermentalgiana	995		FCC1311_001362		
GBG23916.1	A0A2R5FYS9	unreviewed	A0A2R5FYS9_9STRA	Solute carrier family 2, facilitated glucose transporter member 2	FCC1311_001352	Hondaea fermentalgiana	593		FCC1311_001352		
GBG23915.1	A0A2R5G064	unreviewed	A0A2R5G064_9STRA	G_PROTEIN_RECEP_F3_4 domain-containing protein	FCC1311_001342	Hondaea fermentalgiana	352		FCC1311_001342		
GBG23914.1	A0A2R5G897	unreviewed	A0A2R5G897_9STRA	U1 small nuclear ribonucleoprotein 70 kDa	FCC1311_001332	Hondaea fermentalgiana	252		FCC1311_001332		
GBG23913.1	A0A2R5G650	unreviewed	A0A2R5G650_9STRA	Protein sym1	FCC1311_001322	Hondaea fermentalgiana	214		FCC1311_001322		
GBG23912.1	A0A2R5FYT1	unreviewed	A0A2R5FYT1_9STRA	cGMP-dependent 3',5'-cGMP phosphodiesterase A	FCC1311_001312	Hondaea fermentalgiana	1028		FCC1311_001312		
GBG23911.1	A0A2R5G793	unreviewed	A0A2R5G793_9STRA	Ubiquitin carboxyl-terminal hydrolase 47	FCC1311_001302	Hondaea fermentalgiana	1423		FCC1311_001302		
GBG23910.1	A0A2R5FYV7	unreviewed	A0A2R5FYV7_9STRA	Alpha-N-acetylglucosaminidase	FCC1311_001292	Hondaea fermentalgiana	796		FCC1311_001292		
GBG23909.1	A0A2R5G0U3	unreviewed	A0A2R5G0U3_9STRA	EH-domain containing protein, putative	FCC1311_001282	Hondaea fermentalgiana	536		FCC1311_001282		
GBG23908.1	A0A2R5G2F7	unreviewed	A0A2R5G2F7_9STRA	Arylacetamide deacetylase	FCC1311_022311	Hondaea fermentalgiana	466		FCC1311_022311		
GBG23907.1	A0A2R5FYS8	unreviewed	A0A2R5FYS8_9STRA	BHLH domain-containing protein	FCC1311_001262	Hondaea fermentalgiana	580		FCC1311_001262		
GBG23906.1	A0A2R5FYR8	unreviewed	A0A2R5FYR8_9STRA	Chromosome segregation protein SMC	FCC1311_001252	Hondaea fermentalgiana	282		FCC1311_001252		
GBG23905.1	A0A2R5G056	unreviewed	A0A2R5G056_9STRA	Secreted protein	FCC1311_001242	Hondaea fermentalgiana	289		FCC1311_001242		
GBG23904.1	A0A2R5G887	unreviewed	A0A2R5G887_9STRA	Mediator of RNA polymerase II transcription subunit 31	FCC1311_001232	Hondaea fermentalgiana	179		FCC1311_001232		
GBG23903.1	A0A2R5G641	unreviewed	A0A2R5G641_9STRA	MATH domain-containing protein	FCC1311_001222	Hondaea fermentalgiana	425		FCC1311_001222		
GBG23902.1	A0A2R5FYS1	unreviewed	A0A2R5FYS1_9STRA	Importin subunit alpha-8	FCC1311_001212	Hondaea fermentalgiana	1344		FCC1311_001212		
GBG23901.1	A0A2R5G786	unreviewed	A0A2R5G786_9STRA	Uncharacterized protein	FCC1311_001202	Hondaea fermentalgiana	89		FCC1311_001202		
GBG23900.1	A0A2R5FYU6	unreviewed	A0A2R5FYU6_9STRA	Alternative oxidase, mitochondrial	FCC1311_001192	Hondaea fermentalgiana	320		FCC1311_001192		
GBG23899.1	A0A2R5G0S8	unreviewed	A0A2R5G0S8_9STRA	DNA-apurinic or apyrimidinic site lyase	FCC1311_001182	Hondaea fermentalgiana	688		FCC1311_001182		
GBG23898.1	A0A2R5G2E7	unreviewed	A0A2R5G2E7_9STRA	Protein prenyltransferase alpha subunit repeat-containing protein 1	FCC1311_001172	Hondaea fermentalgiana	456		FCC1311_001172		
GBG23897.1	A0A2R5FYR9	unreviewed	A0A2R5FYR9_9STRA	Ubiquitin-like domain-containing protein	FCC1311_001162	Hondaea fermentalgiana	506		FCC1311_001162		
GBG23896.1	A0A2R5FYQ8	unreviewed	A0A2R5FYQ8_9STRA	Alpha-1,6-fucosyltransferase	FCC1311_115731	Hondaea fermentalgiana	715		FCC1311_115731		
GBG23895.1	A0A2R5G045	unreviewed	A0A2R5G045_9STRA	Reticulocyte-binding protein 2-like a	FCC1311_001142	Hondaea fermentalgiana	1103		FCC1311_001142		
GBG23894.1	A0A2R5G876	unreviewed	A0A2R5G876_9STRA	Coiled-coil domain-containing protein 78	FCC1311_001132	Hondaea fermentalgiana	1743		FCC1311_001132		
GBG23893.1	A0A2R5G624	unreviewed	A0A2R5G624_9STRA	Cullin-3A	FCC1311_001122	Hondaea fermentalgiana	2099		FCC1311_001122		
GBG23892.1	A0A2R5FYR0	unreviewed	A0A2R5FYR0_9STRA	CS domain-containing protein	FCC1311_001112	Hondaea fermentalgiana	363		FCC1311_001112		
GBG23891.1	A0A2R5G776	unreviewed	A0A2R5G776_9STRA	Basal body component	FCC1311_001102	Hondaea fermentalgiana	1109		FCC1311_001102		
GBG23890.1	A0A2R5FYT7	unreviewed	A0A2R5FYT7_9STRA	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2	FCC1311_001092	Hondaea fermentalgiana	561		FCC1311_001092		
GBG23889.1	A0A2R5G0S2	unreviewed	A0A2R5G0S2_9STRA	Centrosomal protein of 135 kDa	FCC1311_001082	Hondaea fermentalgiana	1513		FCC1311_001082		
GBG23888.1	A0A2R5G2D5	unreviewed	A0A2R5G2D5_9STRA	Mannosyltransferase (EC 2.4.1.-)	FCC1311_001072	Hondaea fermentalgiana	561		FCC1311_001072		
GBG23887.1	A0A2R5FYQ9	unreviewed	A0A2R5FYQ9_9STRA	Bifunctional epoxide hydrolase 2	FCC1311_001062	Hondaea fermentalgiana	534		FCC1311_001062		
GBG23886.1	A0A2R5FYQ0	unreviewed	A0A2R5FYQ0_9STRA	MFS_1_like domain-containing protein	FCC1311_001052	Hondaea fermentalgiana	140		FCC1311_001052		
GBG23885.1	A0A2R5G035	unreviewed	A0A2R5G035_9STRA	Xaa-Pro aminopeptidase 1	FCC1311_001042	Hondaea fermentalgiana	677		FCC1311_001042		
GBG23884.1	A0A2R5G866	unreviewed	A0A2R5G866_9STRA	Formin-like protein 3	FCC1311_001032	Hondaea fermentalgiana	1368		FCC1311_001032		
GBG23883.1	A0A2R5G610	unreviewed	A0A2R5G610_9STRA	Potassium channel subfamily T member 1	FCC1311_001022	Hondaea fermentalgiana	1407		FCC1311_001022		
GBG23882.1	A0A2R5FYP8	unreviewed	A0A2R5FYP8_9STRA	WD_REPEATS_REGION domain-containing protein	FCC1311_001012	Hondaea fermentalgiana	518		FCC1311_001012		
GBG23881.1	A0A2R5G765	unreviewed	A0A2R5G765_9STRA	Gelsolin-like protein 1	FCC1311_001002	Hondaea fermentalgiana	424		FCC1311_001002		
GBG23880.1	A0A2R5FYS6	unreviewed	A0A2R5FYS6_9STRA	GLF domain-containing protein	FCC1311_000992	Hondaea fermentalgiana	807		FCC1311_000992		
GBG23879.1	A0A2R5G0Q7	unreviewed	A0A2R5G0Q7_9STRA	E3 ubiquitin-protein ligase RNF149	FCC1311_000982	Hondaea fermentalgiana	456		FCC1311_000982		
GBG23878.1	A0A2R5G2C4	unreviewed	A0A2R5G2C4_9STRA	SHR-BD domain-containing protein	FCC1311_000972	Hondaea fermentalgiana	133		FCC1311_000972		
GBG23877.1	A0A2R5FYQ1	unreviewed	A0A2R5FYQ1_9STRA	Glycine cleavage system H protein	FCC1311_000962	Hondaea fermentalgiana	123		FCC1311_000962		
GBG23876.1	A0A2R5FYN9	unreviewed	A0A2R5FYN9_9STRA	DNA-directed RNA polymerase II subunit RPB4	FCC1311_000952	Hondaea fermentalgiana	147		FCC1311_000952		
GBG23875.1	A0A2R5G027	unreviewed	A0A2R5G027_9STRA	Bardet-Biedl syndrome 7 protein	FCC1311_000942	Hondaea fermentalgiana	810		FCC1311_000942		
GBG23874.1	A0A2R5G854	unreviewed	A0A2R5G854_9STRA	CNNM transmembrane domain-containing protein	FCC1311_000932	Hondaea fermentalgiana	287		FCC1311_000932		
GBG23873.1	A0A2R5G601	unreviewed	A0A2R5G601_9STRA	CS domain-containing protein	FCC1311_000922	Hondaea fermentalgiana	267		FCC1311_000922		
GBG23872.1	A0A2R5FYP0	unreviewed	A0A2R5FYP0_9STRA	CaiB/baiF CoA-transferase family protein DDB_G0269880	FCC1311_010401	Hondaea fermentalgiana	204		FCC1311_010401		
GBG23871.1	A0A2R5G754	unreviewed	A0A2R5G754_9STRA	Succinate--hydroxymethylglutarate CoA-transferase	FCC1311_010411	Hondaea fermentalgiana	159		FCC1311_010411		
GBG23870.1	A0A2R5FYR3	unreviewed	A0A2R5FYR3_9STRA	DUF707 domain-containing protein	FCC1311_000902	Hondaea fermentalgiana	417		FCC1311_000902		
GBG23869.1	A0A2R5G0Q0	unreviewed	A0A2R5G0Q0_9STRA	Disease resistance protein TAO1	FCC1311_000892	Hondaea fermentalgiana	1109		FCC1311_000892		
GBG23868.1	A0A2R5G2B2	unreviewed	A0A2R5G2B2_9STRA	Nitrate reductase NADH	FCC1311_000882	Hondaea fermentalgiana	1670		FCC1311_000882		
GBG23867.1	A0A2R5FYP1	unreviewed	A0A2R5FYP1_9STRA	Sjoegren syndrome nuclear autoantigen 1-like	FCC1311_000872	Hondaea fermentalgiana	111		FCC1311_000872		
GBG23866.1	A0A2R5FYN0	unreviewed	A0A2R5FYN0_9STRA	Chromatin modification-related protein MEAF6	FCC1311_000862	Hondaea fermentalgiana	126		FCC1311_000862		
GBG23865.1	A0A2R5G019	unreviewed	A0A2R5G019_9STRA	Fragile X mental retardation syndrome-related protein 1	FCC1311_000852	Hondaea fermentalgiana	536		FCC1311_000852		
GBG23864.1	A0A2R5G843	unreviewed	A0A2R5G843_9STRA	Pre-mRNA-splicing factor CWC24	FCC1311_000842	Hondaea fermentalgiana	317		FCC1311_000842		
GBG23863.1	A0A2R5G5Z1	unreviewed	A0A2R5G5Z1_9STRA	DNA mismatch repair protein MutS	FCC1311_000832	Hondaea fermentalgiana	1055		FCC1311_000832		
GBG23862.1	A0A2R5FYN1	unreviewed	A0A2R5FYN1_9STRA	Centromere protein U	FCC1311_000822	Hondaea fermentalgiana	372		FCC1311_000822		
GBG23861.1	A0A2R5G744	unreviewed	A0A2R5G744_9STRA	Centrosomal protein of 162 kDa	FCC1311_000812	Hondaea fermentalgiana	1519		FCC1311_000812		
GBG23860.1	A0A2R5FYQ3	unreviewed	A0A2R5FYQ3_9STRA	NACHT, LRR and PYD domains-containing protein 12	FCC1311_000802	Hondaea fermentalgiana	1520		FCC1311_000802		
GBG23859.1	A0A2R5G0P4	unreviewed	A0A2R5G0P4_9STRA	Apoptosis-inducing factor 2	FCC1311_000792	Hondaea fermentalgiana	377		FCC1311_000792		
GBG23858.1	A0A2R5G2A8	unreviewed	A0A2R5G2A8_9STRA	Ankyrin repeat domain-containing protein 2	FCC1311_000782	Hondaea fermentalgiana	798		FCC1311_000782		
GBG23857.1	A0A2R5FYM5	unreviewed	A0A2R5FYM5_9STRA	Elongin-A	FCC1311_000772	Hondaea fermentalgiana	224		FCC1311_000772		
GBG23856.1	A0A2R5FYL9	unreviewed	A0A2R5FYL9_9STRA	Katanin p60 ATPase-containing subunit A1 (Katanin p60 subunit A1) (EC 5.6.1.1) (p60 katanin)	KATNA1 FCC1311_000762	Hondaea fermentalgiana	504		FCC1311_000762	KATNA1	
GBG23855.1	A0A2R5G010	unreviewed	A0A2R5G010_9STRA	tRNA-specific adenosine deaminase	FCC1311_000752	Hondaea fermentalgiana	162		FCC1311_000752		
GBG23854.1	A0A2R5G831	unreviewed	A0A2R5G831_9STRA	Leucine-rich repeat-containing protein 9	FCC1311_000742	Hondaea fermentalgiana	1509		FCC1311_000742		
GBG23853.1	A0A2R5G5X6	unreviewed	A0A2R5G5X6_9STRA	Methyltransferase	FCC1311_000732	Hondaea fermentalgiana	298		FCC1311_000732		
GBG23852.1	A0A2R5FYM2	unreviewed	A0A2R5FYM2_9STRA	Cysteine-rich secretory protein LCCL domain-containing 2	FCC1311_000722	Hondaea fermentalgiana	812		FCC1311_000722		
GBG23851.1	A0A2R5G735	unreviewed	A0A2R5G735_9STRA	Stress-induced-phosphoprotein 1	FCC1311_000712	Hondaea fermentalgiana	537		FCC1311_000712		
GBG23850.1	A0A2R5FYP6	unreviewed	A0A2R5FYP6_9STRA	Ceramidase	FCC1311_000702	Hondaea fermentalgiana	175		FCC1311_000702		
GBG23849.1	A0A2R5G0N1	unreviewed	A0A2R5G0N1_9STRA	Transcription initiation factor TFIID subunit 14	FCC1311_000692	Hondaea fermentalgiana	820		FCC1311_000692		
GBG23848.1	A0A2R5G297	unreviewed	A0A2R5G297_9STRA	Transcription factor MYB3R-3	FCC1311_000682	Hondaea fermentalgiana	963		FCC1311_000682		
GBG23847.1	A0A2R5FYL6	unreviewed	A0A2R5FYL6_9STRA	Assimilatory sulfite reductase (NADPH)	FCC1311_000672	Hondaea fermentalgiana	509		FCC1311_000672		
GBG23846.1	A0A2R5FYL1	unreviewed	A0A2R5FYL1_9STRA	Phage major capsid protein	FCC1311_000662	Hondaea fermentalgiana	86		FCC1311_000662		
GBG23845.1	A0A2R5FZZ9	unreviewed	A0A2R5FZZ9_9STRA	INTRADIOL_DIOXYGENAS domain-containing protein	FCC1311_000652	Hondaea fermentalgiana	352		FCC1311_000652		
GBG23844.1	A0A2R5G822	unreviewed	A0A2R5G822_9STRA	INTRADIOL_DIOXYGENAS domain-containing protein	FCC1311_000642	Hondaea fermentalgiana	324		FCC1311_000642		
GBG23843.1	A0A2R5G5W8	unreviewed	A0A2R5G5W8_9STRA	INTRADIOL_DIOXYGENAS domain-containing protein	FCC1311_000632	Hondaea fermentalgiana	902		FCC1311_000632		
GBG23842.1	A0A2R5FYL2	unreviewed	A0A2R5FYL2_9STRA	60S ribosomal protein L7	FCC1311_000622	Hondaea fermentalgiana	241		FCC1311_000622		
GBG23841.1	A0A2R5G724	unreviewed	A0A2R5G724_9STRA	Protein arginine N-methyltransferase	FCC1311_000612	Hondaea fermentalgiana	668		FCC1311_000612		
