80930	Amino acid transport and metabolism	K00681	not significant	80930	K00681	ko00001	ko01000			ko01002																																					
119642	Amino acid transport and metabolism	K00766	not significant	119642	K00766	ko00001	ko01000																																								
2082	Amino acid transport and metabolism	K00797	not significant	2082	K00797	ko00001	ko01000																																								
34581	Amino acid transport and metabolism	K00814	not significant	34581	K00814	ko00001	ko01000								ko01007																																
43893	Amino acid transport and metabolism	K00814	not significant	43893	K00814	ko00001	ko01000								ko01007																																
45740	Amino acid transport and metabolism	K00815	not significant	45740	K00815	ko00001	ko01000								ko01007																																
118763	Amino acid transport and metabolism	K00816	not significant	118763	K00816	ko00001	ko01000								ko01007																																
139443	Amino acid transport and metabolism	K00817	not significant	139443	K00817	ko00001	ko01000								ko01007																																
74103	Amino acid transport and metabolism	K00818	not significant	74103	K00818	ko00001	ko01000								ko01007																																
41827	Amino acid transport and metabolism	K00823	not significant	41827	K00823	ko00001	ko01000								ko01007																																
43535	Amino acid transport and metabolism	K00825	not significant	43535	K00825	ko00001	ko01000								ko01007																																
139967	Amino acid transport and metabolism	K00833	not significant	139967	K00833	ko00001	ko01000								ko01007																																
44216	Amino acid transport and metabolism	K00872	not significant	44216	K00872	ko00001	ko01000																																								
46351	Amino acid transport and metabolism	K00931	not significant	46351	K00931	ko00001	ko01000																																								
137794	Amino acid transport and metabolism	K01079	not significant	137794	K01079	ko00001	ko01000		ko01009																																						
142557	Amino acid transport and metabolism	K01262	not significant	142557	K01262	ko00001	ko01000			ko01002																																					
43171	Amino acid transport and metabolism	K01267	not significant	43171	K01267	ko00001	ko01000			ko01002																ko04131																					
138523	Amino acid transport and metabolism	K01424	not significant	138523	K01424	ko00001	ko01000																																								
42615	Amino acid transport and metabolism	K01438	not significant	42615	K01438	ko00001	ko01000																																								
8909	Amino acid transport and metabolism	K01469	not significant	8909	K01469	ko00001	ko01000																																								
85606	Amino acid transport and metabolism	K01476	not significant	85606	K01476	ko00001	ko01000																																								
140296	Amino acid transport and metabolism	K01476	not significant	140296	K01476	ko00001	ko01000																																								
123094	Amino acid transport and metabolism	K01556	not significant	123094	K01556	ko00001	ko01000																																								
142066	Amino acid transport and metabolism	K01580	not significant	142066	K01580	ko00001	ko01000																																								
32061	Amino acid transport and metabolism	K01581	not significant	32061	K01581	ko00001	ko01000																																								
141832	Amino acid transport and metabolism	K01620	not significant	141832	K01620	ko00001	ko01000																																								
43039	Amino acid transport and metabolism	K01653	not significant	43039	K01653	ko00001	ko01000																																								
46390	Amino acid transport and metabolism	K01682	not significant	46390	K01682	ko00001	ko01000																																								
142443	Amino acid transport and metabolism	K01733	not significant	142443	K01733	ko00001	ko01000																																								
139328	Amino acid transport and metabolism	K01735	not significant	139328	K01735	ko00001	ko01000																																								
75184	Amino acid transport and metabolism	K01736	not significant	75184	K01736	ko00001	ko01000																																								
43817	Amino acid transport and metabolism	K01738	not significant	43817	K01738	ko00001	ko01000																																								
114364	Amino acid transport and metabolism	K01738	not significant	114364	K01738	ko00001	ko01000																																								
141733	Amino acid transport and metabolism	K01739	not significant	141733	K01739	ko00001	ko01000																																								
45172	Amino acid transport and metabolism	K01740	not significant	45172	K01740	ko00001	ko01000																																								
138580	Amino acid transport and metabolism	K01740	not significant	138580	K01740	ko00001	ko01000																																								
140440	Amino acid transport and metabolism	K01754	not significant	140440	K01754	ko00001	ko01000																																								
141937	Amino acid transport and metabolism	K01754	not significant	141937	K01754	ko00001	ko01000																																								
69076	Amino acid transport and metabolism	K01755	not significant	69076	K01755	ko00001	ko01000																														ko04147										
136925	Amino acid transport and metabolism	K01758	not significant	136925	K01758	ko00001	ko01000																														ko04147										
137812	Amino acid transport and metabolism	K01758	not significant	137812	K01758	ko00001	ko01000																														ko04147										
59016	Amino acid transport and metabolism	K01760	not significant	59016	K01760	ko00001	ko01000																																								
70361	Amino acid transport and metabolism	K01760	not significant	70361	K01760	ko00001	ko01000																																								
47340	Amino acid transport and metabolism	K01814	not significant	47340	K01814	ko00001	ko01000																																								
139005	Amino acid transport and metabolism	K01845	not significant	139005	K01845	ko00001	ko01000								ko01007																																
42250	Amino acid transport and metabolism	K01850	not significant	42250	K01850	ko00001	ko01000																																								
42133	Amino acid transport and metabolism	K01915	not significant	42133	K01915	ko00001	ko01000																														ko04147										
73034	Amino acid transport and metabolism	K01915	not significant	73034	K01915	ko00001	ko01000																														ko04147										
114034	Amino acid transport and metabolism	K01915	not significant	114034	K01915	ko00001	ko01000																														ko04147										
115370	Amino acid transport and metabolism	K01915	not significant	115370	K01915	ko00001	ko01000																														ko04147										
54745	Amino acid transport and metabolism	K01953	not significant	54745	K01953	ko00001	ko01000			ko01002																																					
142565	Amino acid transport and metabolism	K02437	not significant	142565	K02437	ko00001																																									
116918	Amino acid transport and metabolism	K04487	not significant	116918	K04487	ko00001	ko01000																ko03016									ko03029						ko02048									
137208	Amino acid transport and metabolism	K04487	not significant	137208	K04487	ko00001	ko01000																ko03016									ko03029						ko02048									
140893	Amino acid transport and metabolism	K07386	not significant	140893	K07386	ko00001	ko01000			ko01002																																					
123630	Amino acid transport and metabolism	K11206	not significant	123630	K11206	ko00001	ko01000																																								
44025	Amino acid transport and metabolism	K12526	not significant	44025	K12526	ko00001	ko01000																																								
47491	Amino acid transport and metabolism	K12659	not significant	47491	K12659	ko00001	ko01000																																								
47322	Amino acid transport and metabolism	K13049	not significant	47322	K13049	ko00001	ko01000			ko01002																																					
43568	Amino acid transport and metabolism	K13501	not significant	43568	K13501	ko00001	ko01000																																								
138304	Amino acid transport and metabolism	K13830	not significant	138304	K13830	ko00001	ko01000																																								
141479	Amino acid transport and metabolism	K14152	not significant	141479	K14152	ko00001	ko01000																																								
143053	Amino acid transport and metabolism	K14155	not significant	143053	K14155	ko00001	ko01000								ko01007																																
75483	Amino acid transport and metabolism	K14209	not significant	75483	K14209	ko00001																				ko04131							ko02000														
111852	Amino acid transport and metabolism	K14267	not significant	111852	K14267	ko00001	ko01000								ko01007																																
138764	Amino acid transport and metabolism	K14454	not significant	138764	K14454	ko00001	ko01000								ko01007											ko04131											ko04147										
42417	Amino acid transport and metabolism	K14677	not significant	42417	K14677	ko00001	ko01000			ko01002																											ko04147										
138128	Amino acid transport and metabolism	K14682	not significant	138128	K14682	ko00001	ko01000																																								
72021	Amino acid transport and metabolism	K14997	not significant	72021	K14997	ko00001																											ko02000														
52164	Amino acid transport and metabolism	K17868	not significant	52164	K17868	ko00001	ko01000																	ko03012																							
139364	Amino acid transport and metabolism	K17989	not significant	139364	K17989	ko00001	ko01000																																								
139877	Amino acid transport and metabolism	K18477	not significant	139877	K18477	ko00001	ko01000																							ko03036																	
142059	Amino acid transport and metabolism	K18787	not significant	142059	K18787	ko00001	ko01000																																								
42033	Amino acid transport and metabolism	K22857	not significant	42033	K22857	ko00001	ko01000																	ko03012																							
139934	Amino acid transport and metabolism	K22857	not significant	139934	K22857	ko00001	ko01000																	ko03012																							
7310	Amino acid transport and metabolism	NA																																													
8441	Amino acid transport and metabolism	NA																																													
9881	Amino acid transport and metabolism	NA																																													
38931	Amino acid transport and metabolism	NA																																													
41688	Amino acid transport and metabolism	NA																																													
43854	Amino acid transport and metabolism	NA																																													
43907	Amino acid transport and metabolism	NA																																													
46982	Amino acid transport and metabolism	NA																																													
48031	Amino acid transport and metabolism	NA																																													
48227	Amino acid transport and metabolism	NA																																													
58278	Amino acid transport and metabolism	NA																																													
69572	Amino acid transport and metabolism	NA																																													
102883	Amino acid transport and metabolism	NA																																													
106824	Amino acid transport and metabolism	NA																																													
120536	Amino acid transport and metabolism	NA																																													
136507	Amino acid transport and metabolism	NA																																													
138548	Amino acid transport and metabolism	NA																																													
139036	Amino acid transport and metabolism	NA																																													
139766	Amino acid transport and metabolism	NA																																													
141031	Amino acid transport and metabolism	NA																																													
142114	Amino acid transport and metabolism	NA																																													
142223	Amino acid transport and metabolism	NA																																													
142511	Amino acid transport and metabolism	NA																																													
142919	Amino acid transport and metabolism	NA																																													
151245	Amino acid transport and metabolism	NA																																													
45216	Amino acid transport and metabolism; Carbohydrate transport and metabolism	K00140	G1	45216	K00140	ko00001	ko01000																																								
132136	Amino acid transport and metabolism; Carbohydrate transport and metabolism	K00140	not significant	132136	K00140	ko00001	ko01000																																								
62099	Amino acid transport and metabolism; Coenzyme transport and metabolism	K00953	not significant	62099	K00953	ko00001	ko01000																																								
42521&70957	Amino acid transport and metabolism; Coenzyme transport and metabolism	K01652	not significant	42521&70957	K01652	ko00001	ko01000																																								
53311	Amino acid transport and metabolism; Coenzyme transport and metabolism	K06133	not significant	53311	K06133	ko00001	ko01000																																								
140531	Amino acid transport and metabolism; Lipid transport and metabolism	K01965	G1	140531	K01965	ko00001	ko01000																																								
2136	Amino acid transport and metabolism; Lipid transport and metabolism	K01966	G1	2136	K01966	ko00001	ko01000																																								
138805	Amino acid transport and metabolism; Lipid transport and metabolism	K01968	G1	138805	K01968	ko00001	ko01000																																								
137157	Amino acid transport and metabolism; Lipid transport and metabolism	K01969	not significant	137157	K01969	ko00001	ko01000																																								
44487	Amino acid transport and metabolism; Posttranslational modification, protein turnover, chaperones	K08776	G1	44487	K08776	ko00001	ko01000			ko01002																																					
98848	Amino acid transport and metabolism; Posttranslational modification, protein turnover, chaperones	K08776	G1	98848	K08776	ko00001	ko01000			ko01002																																					
126688	Amino acid transport and metabolism; Posttranslational modification, protein turnover, chaperones	K01256	not significant	126688	K01256	ko00001	ko01000			ko01002																																					
42092	Carbohydrate transport and metabolism	K00134	G1	42092	K00134	ko00001	ko01000																			ko04131											ko04147										
142771	Carbohydrate transport and metabolism	K00164	G1	142771	K00164	ko00001	ko01000																																								
45653	Carbohydrate transport and metabolism	K00844	G1	45653	K00844	ko00001	ko01000																			ko04131																					
116490	Carbohydrate transport and metabolism	K00873	G1	116490	K00873	ko00001	ko01000																			ko04131											ko04147										
46347	Carbohydrate transport and metabolism	K01623	G1	46347	K01623	ko00001	ko01000																			ko04131				ko03036							ko04147										
80217	Carbohydrate transport and metabolism	K15276	G1	80217	K15276	ko00001																											ko02000														
137186	Carbohydrate transport and metabolism	K00927	G2	137186	K00927	ko00001	ko01000																														ko04147										
46246	Carbohydrate transport and metabolism	K01689	G2	46246	K01689	ko00001	ko01000												ko03019																		ko04147										
42278	Carbohydrate transport and metabolism	K01759	G2	42278	K01759	ko00001	ko01000																																								
136697	Carbohydrate transport and metabolism	K01759	G2	136697	K01759	ko00001	ko01000																																								
46627	Carbohydrate transport and metabolism	K00864	G3	46627	K00864	ko00001	ko01000																														ko04147										
137243	Carbohydrate transport and metabolism	K01783	G4	137243	K01783	ko00001	ko01000																																								
42411	Carbohydrate transport and metabolism	K01807	G4	42411	K01807	ko00001	ko01000																																								
34362	Carbohydrate transport and metabolism	K00033	not significant	34362	K00033	ko00001	ko01000																																								
70150	Carbohydrate transport and metabolism	K00036	not significant	70150	K00036	ko00001	ko01000																														ko04147										
72292	Carbohydrate transport and metabolism	K00134	not significant	72292	K00134	ko00001	ko01000																			ko04131											ko04147										
74731	Carbohydrate transport and metabolism	K00134	not significant	74731	K00134	ko00001	ko01000																			ko04131											ko04147										
71940	Carbohydrate transport and metabolism	K00236	not significant	71940	K00236	ko00001																																									
138997	Carbohydrate transport and metabolism	K00615	not significant	138997	K00615	ko00001	ko01000																																								
136227	Carbohydrate transport and metabolism	K00616	not significant	136227	K00616	ko00001	ko01000																																								
43850	Carbohydrate transport and metabolism	K00849	not significant	43850	K00849	ko00001	ko01000																														ko04147										
139427	Carbohydrate transport and metabolism	K00850	not significant	139427	K00850	ko00001	ko01000		ko01009										ko03019																												
8349	Carbohydrate transport and metabolism	K00851	not significant	8349	K00851	ko00001	ko01000																																								
67677	Carbohydrate transport and metabolism	K00852	not significant	67677	K00852	ko00001	ko01000																																								
69267	Carbohydrate transport and metabolism	K00852	not significant	69267	K00852	ko00001	ko01000																																								
43418	Carbohydrate transport and metabolism	K00854	not significant	43418	K00854	ko00001	ko01000																																								
99646	Carbohydrate transport and metabolism	K00854	not significant	99646	K00854	ko00001	ko01000																																								
136746	Carbohydrate transport and metabolism	K00856	not significant	136746	K00856	ko00001	ko01000																																								
137221	Carbohydrate transport and metabolism	K00856	not significant	137221	K00856	ko00001	ko01000																																								
46457	Carbohydrate transport and metabolism	K00863	not significant	46457	K00863	ko00001	ko01000																																								
140453	Carbohydrate transport and metabolism	K00873	not significant	140453	K00873	ko00001	ko01000																			ko04131											ko04147										
136463	Carbohydrate transport and metabolism	K00927	not significant	136463	K00927	ko00001	ko01000																														ko04147										
41722	Carbohydrate transport and metabolism	K01057	not significant	41722	K01057	ko00001	ko01000																																								
45760	Carbohydrate transport and metabolism	K01092	not significant	45760	K01092	ko00001	ko01000																																								
59520	Carbohydrate transport and metabolism	K01103	not significant	59520	K01103	ko00001	ko01000																																								
138428	Carbohydrate transport and metabolism	K01136	not significant	138428	K01136	ko00001	ko01000																																								
43775	Carbohydrate transport and metabolism	K01201	not significant	43775	K01201	ko00001	ko01000																																								
141086	Carbohydrate transport and metabolism	K01555	not significant	141086	K01555	ko00001	ko01000																														ko04147										
136192	Carbohydrate transport and metabolism	K01578	not significant	136192	K01578	ko00001	ko01000																																								
47804	Carbohydrate transport and metabolism	K01785	not significant	47804	K01785	ko00001	ko01000																																								
136608	Carbohydrate transport and metabolism	K01792	not significant	136608	K01792	ko00001	ko01000																																								
42275	Carbohydrate transport and metabolism	K01803	not significant	42275	K01803	ko00001	ko01000																														ko04147										
45035	Carbohydrate transport and metabolism	K01803	not significant	45035	K01803	ko00001	ko01000																														ko04147										
43598	Carbohydrate transport and metabolism	K01809	not significant	43598	K01809	ko00001	ko01000																																								
43379	Carbohydrate transport and metabolism	K01810	not significant	43379	K01810	ko00001	ko01000																														ko04147										
68928	Carbohydrate transport and metabolism	K01834	not significant	68928	K01834	ko00001	ko01000																			ko04131											ko04147										
106883	Carbohydrate transport and metabolism	K01834	not significant	106883	K01834	ko00001	ko01000																			ko04131											ko04147										
43799	Carbohydrate transport and metabolism	K01835	not significant	43799	K01835	ko00001	ko01000																																								
140373	Carbohydrate transport and metabolism	K01836	not significant	140373	K01836	ko00001	ko01000																																								
145904	Carbohydrate transport and metabolism	K01988	not significant	145904	K01988	ko00001	ko01000				ko01003																																				
120311	Carbohydrate transport and metabolism	K02564	not significant	120311	K02564	ko00001	ko01000																																								
139479	Carbohydrate transport and metabolism	K02564	not significant	139479	K02564	ko00001	ko01000																																								
82112	Carbohydrate transport and metabolism	K03083	not significant	82112	K03083	ko00001	ko01000	ko01001																						ko03036																	
43049	Carbohydrate transport and metabolism	K03841	not significant	43049	K03841	ko00001	ko01000																														ko04147										
70359	Carbohydrate transport and metabolism	K03841	not significant	70359	K03841	ko00001																															ko04147										
67993	Carbohydrate transport and metabolism	K07199	not significant	67993	K07199	ko00001																																									
117395	Carbohydrate transport and metabolism	K11529	not significant	117395	K11529	ko00001	ko01000																																								
48576	Carbohydrate transport and metabolism	K12311	not significant	48576	K12311	ko00001	ko01000																																								
140338	Carbohydrate transport and metabolism	K12373	not significant	140338	K12373	ko00001	ko01000																		ko03110																						
42054	Carbohydrate transport and metabolism	K13937	not significant	42054	K13937	ko00001	ko01000																																								
41925	Carbohydrate transport and metabolism	K14295	not significant	41925	K14295	ko00001													ko03019																												
147947	Carbohydrate transport and metabolism	K15633	not significant	147947	K15633	ko00001	ko01000																																								
114333	Carbohydrate transport and metabolism	K15634	not significant	114333	K15634	ko00001	ko01000																																								
133990	Carbohydrate transport and metabolism	K15634	not significant	133990	K15634	ko00001	ko01000																																								
139742	Carbohydrate transport and metabolism	K15779	not significant	139742	K15779	ko00001	ko01000																																								
106452	Carbohydrate transport and metabolism	K16055	not significant	106452	K16055	ko00001	ko01000				ko01003																																				
111508	Carbohydrate transport and metabolism	K16055	not significant	111508	K16055	ko00001	ko01000				ko01003																																				
141057	Carbohydrate transport and metabolism	K16055	not significant	141057	K16055	ko00001	ko01000				ko01003																																				
83930	Carbohydrate transport and metabolism	K17757	not significant	83930	K17757	ko00001	ko01000																																								
56540	Carbohydrate transport and metabolism	K19030	not significant	56540	K19030	ko00001	ko01000																																								
136598	Carbohydrate transport and metabolism	K19787	not significant	136598	K19787	ko00001	ko01000																																								
42624	Carbohydrate transport and metabolism	K22390	not significant	42624	K22390	ko00001																																									
243	Carbohydrate transport and metabolism	NA																																													
3025	Carbohydrate transport and metabolism	NA																																													
6283	Carbohydrate transport and metabolism	NA																																													
9259	Carbohydrate transport and metabolism	NA																																													
9639	Carbohydrate transport and metabolism	NA																																													
11037	Carbohydrate transport and metabolism	NA																																													
11960	Carbohydrate transport and metabolism	NA																																													
28915	Carbohydrate transport and metabolism	NA																																													
31050	Carbohydrate transport and metabolism	NA																																													
32030	Carbohydrate transport and metabolism	NA																																													
43072	Carbohydrate transport and metabolism	NA																																													
43997	Carbohydrate transport and metabolism	NA																																													
44336	Carbohydrate transport and metabolism	NA																																													
44570	Carbohydrate transport and metabolism	NA																																													
44694	Carbohydrate transport and metabolism	NA																																													
45032	Carbohydrate transport and metabolism	NA																																													
48743	Carbohydrate transport and metabolism	NA																																													
48758	Carbohydrate transport and metabolism	NA																																													
53261	Carbohydrate transport and metabolism	NA																																													
56726	Carbohydrate transport and metabolism	NA																																													
60018	Carbohydrate transport and metabolism	NA																																													
65929	Carbohydrate transport and metabolism	NA																																													
85100	Carbohydrate transport and metabolism	NA																																													
114081	Carbohydrate transport and metabolism	NA																																													
117106	Carbohydrate transport and metabolism	NA																																													
124817	Carbohydrate transport and metabolism	NA																																													
134884	Carbohydrate transport and metabolism	NA																																													
137263	Carbohydrate transport and metabolism	NA																																													
137603	Carbohydrate transport and metabolism	NA																																													
137611	Carbohydrate transport and metabolism	NA																																													
142621	Carbohydrate transport and metabolism	NA																																													
146434	Carbohydrate transport and metabolism	NA																																													
45218	Carbohydrate transport and metabolism; Cell wall/membrane/envelope biogenesis	K08678	not significant	45218	K08678	ko00001	ko01000																																								
141433	Carbohydrate transport and metabolism; Cell wall/membrane/envelope biogenesis	K08678	not significant	141433	K08678	ko00001	ko01000																																								
41691	Carbohydrate transport and metabolism; Cell wall/membrane/envelope biogenesis	K10046	not significant	41691	K10046	ko00001	ko01000																																								
43580	Carbohydrate transport and metabolism; Cell wall/membrane/envelope biogenesis	NA																																													
146030	Carbohydrate transport and metabolism; Cell wall/membrane/envelope biogenesis; Extracellular structures	NA																																													
73298	Carbohydrate transport and metabolism; Cell wall/membrane/envelope biogenesis; Posttranslational modification, protein turnover, chaperones	K05546	not significant	73298	K05546	ko00001	ko01000																																								
62195	Carbohydrate transport and metabolism; Cell wall/membrane/envelope biogenesis; Posttranslational modification, protein turnover, chaperones	NA																																													
48139	Carbohydrate transport and metabolism; Energy production and conversion	NA																																													
32751	Carbohydrate transport and metabolism; Posttranslational modification, protein turnover, chaperones	NA																																													
114974	Carbohydrate transport and metabolism; Posttranslational modification, protein turnover, chaperones	NA																																													
118892	Carbohydrate transport and metabolism; Posttranslational modification, protein turnover, chaperones	NA																																													
138609	Carbohydrate transport and metabolism; Posttranslational modification, protein turnover, chaperones	NA																																													
139025	Carbohydrate transport and metabolism; Posttranslational modification, protein turnover, chaperones	NA																																													
141169	Carbohydrate transport and metabolism; Posttranslational modification, protein turnover, chaperones	NA																																													
142632	Carbohydrate transport and metabolism; Posttranslational modification, protein turnover, chaperones	NA																																													
45128	Carbohydrate transport and metabolism; Posttranslational modification, protein turnover, chaperones; Intracellular trafficking, secretion, and vesicular transport	NA																																													
47036	Carbohydrate transport and metabolism; Posttranslational modification, protein turnover, chaperones; Intracellular trafficking, secretion, and vesicular transport	NA																																													
46067	Carbohydrate transport and metabolism; Posttranslational modification, protein turnover, chaperones; Signal transduction mechanisms	NA																																													
138432	Carbohydrate transport and metabolism; Posttranslational modification, protein turnover, chaperones; Signal transduction mechanisms	NA																																													
42736	Carbohydrate transport and metabolism; Secondary metabolites biosynthesis, transport and catabolism	NA																																													
70139	Carbohydrate transport and metabolism; Signal transduction mechanisms	K00012	not significant	70139	K00012	ko00001	ko01000																																								
141067	Cell cycle control, cell division, chromosome partitioning	K02219	not significant	141067	K02219	ko00001																																									
35059	Cell cycle control, cell division, chromosome partitioning	K03347	not significant	35059	K03347	ko00001																					ko04121																				
40425	Cell cycle control, cell division, chromosome partitioning	K03869	not significant	40425	K03869	ko00001																					ko04121				ko03400																
90723	Cell cycle control, cell division, chromosome partitioning	K06287	not significant	90723	K06287	ko00001	ko01000																																								
105083	Cell cycle control, cell division, chromosome partitioning	K06636	not significant	105083	K06636	ko00001																								ko03036																	
138319	Cell cycle control, cell division, chromosome partitioning	K06669	not significant	138319	K06669	ko00001																								ko03036													ko00535				
43994	Cell cycle control, cell division, chromosome partitioning	K06685	not significant	43994	K06685	ko00001																																									
48222	Cell cycle control, cell division, chromosome partitioning	K06685	not significant	48222	K06685	ko00001																																									
110008	Cell cycle control, cell division, chromosome partitioning	K06685	not significant	110008	K06685	ko00001																																									
138308	Cell cycle control, cell division, chromosome partitioning	K06875	not significant	138308	K06875	ko00001																																									
50759	Cell cycle control, cell division, chromosome partitioning	K08819	not significant	50759	K08819	ko00001	ko01000	ko01001																																							
139978	Cell cycle control, cell division, chromosome partitioning	K09554	not significant	139978	K09554	ko00001																			ko03110							ko03029												ko00536			
81852	Cell cycle control, cell division, chromosome partitioning	K10609	not significant	81852	K10609	ko00001																					ko04121				ko03400						ko04147										
37637	Cell cycle control, cell division, chromosome partitioning	K14309	not significant	37637	K14309	ko00001													ko03019																												
136649	Cell cycle control, cell division, chromosome partitioning	K15263	not significant	136649	K15263	ko00001											ko03000					ko03009																									
8914	Cell cycle control, cell division, chromosome partitioning	NA																																													
41791	Cell cycle control, cell division, chromosome partitioning	NA																																													
42345	Cell cycle control, cell division, chromosome partitioning	NA																																													
42610	Cell cycle control, cell division, chromosome partitioning	NA																																													
45552	Cell cycle control, cell division, chromosome partitioning	NA																																													
47361	Cell cycle control, cell division, chromosome partitioning	NA																																													
71990	Cell cycle control, cell division, chromosome partitioning	NA																																													
83316	Cell cycle control, cell division, chromosome partitioning	NA																																													
114895	Cell cycle control, cell division, chromosome partitioning	NA																																													
119324	Cell cycle control, cell division, chromosome partitioning	NA																																													
119716	Cell cycle control, cell division, chromosome partitioning	NA																																													
